Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Julian Edelman\EdelJu00,WR,32.257,2019-02-03,NFL,NWE,N,LAR,W 13-3,19,21,Sun,12,10,141,14.10,0,83.3%,11.75
2,Brandin Cooks\CookBr00,WR,25.131,2019-02-03,NFL,LAR,N,NWE,L 3-13,19,21,Sun,13,8,120,15.00,0,61.5%,9.23
3,Rob Gronkowski\GronRo00,TE,29.265,2019-02-03,NFL,NWE,N,LAR,W 13-3,19,21,Sun,7,6,87,14.50,0,85.7%,12.43
4,Robert Woods\WoodRo02,WR,26.299,2019-02-03,NFL,LAR,N,NWE,L 3-13,19,21,Sun,10,5,70,14.00,0,50.0%,7.00
5,Josh Reynolds\ReynJo00,WR,23.352,2019-02-03,NFL,LAR,N,NWE,L 3-13,19,21,Sun,7,3,28,9.33,0,42.9%,4.00
6,Rex Burkhead\BurkRe00,RB,28.216,2019-02-03,NFL,NWE,N,LAR,W 13-3,19,21,Sun,2,2,15,7.50,0,100.0%,7.50
7,Cordarrelle Patterson\PattCo00,WR,27.323,2019-02-03,NFL,NWE,N,LAR,W 13-3,19,21,Sun,2,2,14,7.00,0,100.0%,7.00
8,C.J. Anderson\AndeC.00,RB,27.358,2019-02-03,NFL,LAR,N,NWE,L 3-13,19,21,Sun,3,2,12,6.00,0,66.7%,4.00
9,James White\WhitJa02,RB,27.000,2019-02-03,NFL,NWE,N,LAR,W 13-3,19,21,Sun,4,1,5,5.00,0,25.0%,1.25
10,Todd Gurley\GurlTo01,HB,24.184,2019-02-03,NFL,LAR,N,NWE,L 3-13,19,21,Sun,2,1,-1,-1.00,0,50.0%,-0.50
