Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Mike Evans\EvanMi00,WR,25.068,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,13,6,179,29.83,1,46.2%,13.77
2,Tyler Boyd\BoydTy00,WR,23.347,2018-10-28,NFL,CIN,,TAM,W 37-34,8,8,Sun,10,9,138,15.33,1,90.0%,13.80
3,Odell Beckham\BeckOd00,WR,25.357,2018-10-28,NFL,NYG,,WAS,L 13-20,8,8,Sun,11,8,136,17.00,0,72.7%,12.36
4,DeVante Parker\ParkDe01,WR,25.278,2018-10-25,NFL,MIA,@,HOU,L 23-42,8,8,Thu,9,6,134,22.33,0,66.7%,14.89
5,Davante Adams\AdamDa01,WR,25.308,2018-10-28,NFL,GNB,@,LAR,L 27-29,7,8,Sun,7,5,133,26.60,0,71.4%,19.00
6,Will Fuller\FullWi01,WR,24.192,2018-10-25,NFL,HOU,,MIA,W 42-23,8,8,Thu,6,5,124,24.80,1,83.3%,20.67
7,Stefon Diggs\DiggSt00,WR,24.333,2018-10-28,NFL,MIN,,NOR,L 20-30,8,8,Sun,11,10,119,11.90,1,90.9%,10.82
8,Marvin Jones\JoneMa02,WR,28.230,2018-10-28,NFL,DET,,SEA,L 14-28,7,8,Sun,10,7,117,16.71,2,70.0%,11.70
9,Sammy Watkins\WatkSa00,WR,25.136,2018-10-28,NFL,KAN,,DEN,W 30-23,8,8,Sun,9,8,107,13.38,2,88.9%,11.89
10,Julian Edelman\EdelJu00,WR,32.160,2018-10-29,NFL,NWE,@,BUF,W 25-6,8,8,Mon,10,9,104,11.56,0,90.0%,10.40
11,Adam Thielen\ThieAd00,WR,28.067,2018-10-28,NFL,MIN,,NOR,L 20-30,8,8,Sun,7,7,103,14.71,1,100.0%,14.71
12,Larry Fitzgerald\FitzLa00,WR,35.058,2018-10-28,NFL,ARI,,SFO,W 18-15,8,8,Sun,12,8,102,12.75,1,66.7%,8.50
13,David Moore\MoorDa03,WR,23.286,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,4,4,97,24.25,1,100.0%,24.25
14,Jordan Matthews\MattJo00,WR,26.104,2018-10-28,NFL,PHI,@,JAX,W 24-18,8,8,Sun,5,4,93,23.25,0,80.0%,18.60
15,D.J. Moore\MoorD.00,WR,21.197,2018-10-28,NFL,CAR,,BAL,W 36-21,7,8,Sun,6,5,90,18.00,0,83.3%,15.00
16,T.J. Yeldon\YeldT.00,RB,25.026,2018-10-28,NFL,JAX,,PHI,L 18-24,8,8,Sun,9,7,83,11.86,0,77.8%,9.22
17,DeAndre Hopkins\HopkDe00,WR,26.141,2018-10-25,NFL,HOU,,MIA,W 42-23,8,8,Thu,7,6,82,13.67,2,85.7%,11.71
18,LeSean McCoy\McCoLe01,RB,30.109,2018-10-29,NFL,BUF,,NWE,L 6-25,8,8,Mon,8,6,82,13.67,0,75.0%,10.25
19,Todd Gurley\GurlTo01,HB,24.086,2018-10-28,NFL,LAR,,GNB,W 29-27,8,8,Sun,7,6,81,13.50,1,85.7%,11.57
20,Michael Thomas\ThomMi05,WR,25.239,2018-10-28,NFL,NOR,@,MIN,W 30-20,7,8,Sun,6,5,81,16.20,0,83.3%,13.50
21,Travis Kelce\KelcTr00,TE,29.023,2018-10-28,NFL,KAN,,DEN,W 30-23,8,8,Sun,10,6,79,13.17,1,60.0%,7.90
22,James White\WhitJa02,RB,26.268,2018-10-29,NFL,NWE,@,BUF,W 25-6,8,8,Mon,13,10,79,7.90,0,76.9%,6.08
23,Courtland Sutton\SuttCo00,WR,23.018,2018-10-28,NFL,DEN,@,KAN,L 23-30,8,8,Sun,4,3,78,26.00,0,75.0%,19.50
24,A.J. Green\GreeA.00,WR,30.089,2018-10-28,NFL,CIN,,TAM,W 37-34,8,8,Sun,7,5,76,15.20,1,71.4%,10.86
25,Adam Humphries\HumpAd00,WR,25.126,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,10,7,76,10.86,0,70.0%,7.60
26,Antonio Brown\BrowAn04,WR,30.110,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,8,6,74,12.33,2,75.0%,9.25
27,Jared Cook\CookJa02,TE,31.204,2018-10-28,NFL,OAK,,IND,L 28-42,7,8,Sun,5,4,74,18.50,1,80.0%,14.80
28,Brandin Cooks\CookBr00,WR,25.033,2018-10-28,NFL,LAR,,GNB,W 29-27,8,8,Sun,8,3,74,24.67,0,37.5%,9.25
29,Saquon Barkley\BarkSa00,RB,21.261,2018-10-28,NFL,NYG,,WAS,L 13-20,8,8,Sun,10,9,73,8.11,0,90.0%,7.30
30,Kendrick Bourne\BourKe00,WR,23.085,2018-10-28,NFL,SFO,@,ARI,L 15-18,8,8,Sun,10,7,71,10.14,0,70.0%,7.10
31,Tarik Cohen\CoheTa00,RB,23.094,2018-10-28,NFL,CHI,,NYJ,W 24-10,7,8,Sun,3,1,70,70.00,1,33.3%,23.33
32,Jack Doyle\DoylJa00,TE,28.176,2018-10-28,NFL,IND,@,OAK,W 42-28,8,8,Sun,7,6,70,11.67,1,85.7%,10.00
33,Tyreek Hill\HillTy00,WR,24.241,2018-10-28,NFL,KAN,,DEN,W 30-23,8,8,Sun,4,3,70,23.33,0,75.0%,17.50
34,Robert Woods\WoodRo02,WR,26.201,2018-10-28,NFL,LAR,,GNB,W 29-27,8,8,Sun,7,5,70,14.00,0,71.4%,10.00
