Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Demaryius Thomas\ThomDe03,WR,27.311,2015-11-01,NFL,DEN,,GNB,W 29-10,7,8,Sun,11,8,168,21.00,0,72.7%,15.27
2,Julio Jones\JoneJu02,WR,26.271,2015-11-01,NFL,ATL,,TAM,L 20-23,8,8,Sun,13,12,162,13.50,1,92.3%,12.46
3,Ben Watson\WatsBe00,TE,34.318,2015-11-01,NFL,NOR,,NYG,W 52-49,8,8,Sun,10,9,147,16.33,1,90.0%,14.70
4,Odell Beckham\BeckOd00,WR,22.361,2015-11-01,NFL,NYG,@,NOR,L 49-52,8,8,Sun,9,8,130,16.25,3,88.9%,14.44
5,A.J. Green\GreeA.00,WR,27.093,2015-11-01,NFL,CIN,@,PIT,W 16-10,7,8,Sun,17,11,118,10.73,1,64.7%,6.94
6,Alshon Jeffery\JeffAl00,WR,25.260,2015-11-01,NFL,CHI,,MIN,L 20-23,7,8,Sun,15,10,116,11.60,1,66.7%,7.73
7,Marques Colston\ColsMa00,WR,32.149,2015-11-01,NFL,NOR,,NYG,W 52-49,8,8,Sun,9,8,114,14.25,1,88.9%,12.67
8,Rob Gronkowski\GronRo00,TE,26.168,2015-10-29,NFL,NWE,,MIA,W 36-7,7,8,Thu,9,6,113,18.83,1,66.7%,12.56
9,Brandon Marshall\MarsBr00,WR,31.223,2015-11-01,NFL,NYJ,@,OAK,L 20-34,7,8,Sun,18,9,108,12.00,0,50.0%,6.00
10,Michael Floyd\FloyMi00,WR,25.339,2015-11-01,NFL,ARI,@,CLE,W 34-20,8,8,Sun,8,4,106,26.50,1,50.0%,13.25
11,Heath Miller\MillHe00,TE,33.010,2015-11-01,NFL,PIT,,CIN,L 10-16,8,8,Sun,13,10,105,10.50,0,76.9%,8.08
12,Jacob Tamme\TammJa00,TE,30.231,2015-11-01,NFL,ATL,,TAM,L 20-23,8,8,Sun,12,10,103,10.30,1,83.3%,8.58
13,Michael Crabtree\CrabMi00,WR,28.048,2015-11-01,NFL,OAK,,NYJ,W 34-20,7,8,Sun,12,7,102,14.57,1,58.3%,8.50
14,Tavon Austin\AustTa00,WR,25.231,2015-11-01,NFL,STL,,SFO,W 27-6,7,8,Sun,7,4,98,24.50,1,57.1%,14.00
15,Stefon Diggs\DiggSt00,WR,21.337,2015-11-01,NFL,MIN,@,CHI,W 23-20,7,8,Sun,12,6,95,15.83,1,50.0%,7.92
16,DeAndre Hopkins\HopkDe00,WR,23.148,2015-11-01,NFL,HOU,,TEN,W 20-6,8,8,Sun,11,8,94,11.75,1,72.7%,8.55
17,Dion Lewis\LewiDi00,RB,25.032,2015-10-29,NFL,NWE,,MIA,W 36-7,7,8,Thu,9,6,93,15.50,1,66.7%,10.33
18,Malcom Floyd\FloyMa00,WR,34.054,2015-11-01,NFL,SDG,@,BAL,L 26-29,8,8,Sun,6,4,92,23.00,2,66.7%,15.33
19,Brandin Cooks\CookBr00,WR,22.037,2015-11-01,NFL,NOR,,NYG,W 52-49,8,8,Sun,8,6,88,14.67,2,75.0%,11.00
20,Calvin Johnson\JohnCa00,WR,30.033,2015-11-01,NFL,DET,@,KAN,L 10-45,8,8,Sun,10,5,85,17.00,0,50.0%,8.50
21,Larry Fitzgerald\FitzLa00,WR,32.062,2015-11-01,NFL,ARI,@,CLE,W 34-20,8,8,Sun,11,9,84,9.33,1,81.8%,7.64
22,Steve Smith\SmitSt01,WR,36.173,2015-11-01,NFL,BAL,,SDG,W 29-26,8,8,Sun,7,5,82,16.40,0,71.4%,11.71
23,Julian Edelman\EdelJu00,WR,29.160,2015-10-29,NFL,NWE,,MIA,W 36-7,7,8,Thu,9,7,81,11.57,2,77.8%,9.00
24,Andre Johnson\JohnAn02,WR,34.114,2015-11-02,NFL,IND,@,CAR,L 26-29,8,8,Mon,8,4,81,20.25,1,50.0%,10.13
25,Greg Olsen\OlseGr00,TE,30.236,2015-11-02,NFL,CAR,,IND,W 29-26,7,8,Mon,12,6,79,13.17,1,50.0%,6.58
26,Jimmy Graham\GrahJi00,TE,28.342,2015-11-01,NFL,SEA,@,DAL,W 13-12,8,8,Sun,10,7,75,10.71,0,70.0%,7.50
27,Nate Washington\WashNa00,WR,32.065,2015-11-01,NFL,HOU,,TEN,W 20-6,8,8,Sun,6,4,74,18.50,1,66.7%,12.33
28,Jarvis Landry\LandJa00,WR,22.335,2015-10-29,NFL,MIA,@,NWE,L 7-36,7,8,Thu,8,6,71,11.83,0,75.0%,8.88
29,JJ Nelson\NelsJJ00,WR,23.191,2015-11-01,NFL,ARI,@,CLE,W 34-20,8,8,Sun,4,3,70,23.33,0,75.0%,17.50
30,Willie Snead\SneaWi00,WR,23.015,2015-11-01,NFL,NOR,,NYG,W 52-49,8,8,Sun,8,6,70,11.67,2,75.0%,8.75
31,Duke Johnson\JohnDu00,RB,22.039,2015-11-01,NFL,CLE,,ARI,L 20-34,8,8,Sun,2,2,68,34.00,0,100.0%,34.00
32,Jeremy Kerley\KerlJe00,WR,26.358,2015-11-01,NFL,NYJ,@,OAK,L 20-34,7,8,Sun,5,4,63,15.75,0,80.0%,12.60
33,Kamar Aiken\AikeKa00,WR,26.155,2015-11-01,NFL,BAL,,SDG,W 29-26,8,8,Sun,6,6,62,10.33,0,100.0%,10.33
34,Rishard Matthews\MattRi00,WR,26.017,2015-10-29,NFL,MIA,@,NWE,L 7-36,7,8,Thu,12,7,62,8.86,0,58.3%,5.17
35,Delanie Walker\WalkHu00,TE,31.081,2015-11-01,NFL,TEN,@,HOU,L 6-20,7,8,Sun,6,6,62,10.33,0,100.0%,10.33
36,Virgil Green\GreeVi00,TE,27.090,2015-11-01,NFL,DEN,,GNB,W 29-10,7,8,Sun,3,3,61,20.33,0,100.0%,20.33
37,Eric Decker\DeckEr00,WR,28.231,2015-11-01,NFL,NYJ,@,OAK,L 20-34,7,8,Sun,7,6,60,10.00,1,85.7%,8.57
38,Ted Ginn\GinnTe00,WR,30.204,2015-11-02,NFL,CAR,,IND,W 29-26,7,8,Mon,10,2,60,30.00,0,20.0%,6.00
39,Shane Vereen\VereSh00,RB,26.183,2015-11-01,NFL,NYG,@,NOR,L 49-52,8,8,Sun,9,8,60,7.50,1,88.9%,6.67
40,Taiwan Jones\JoneTa00,RB,27.098,2015-11-01,NFL,OAK,,NYJ,W 34-20,7,8,Sun,1,1,59,59.00,1,100.0%,59.00
41,Golden Tate\TateGo00,WR,27.091,2015-11-01,NFL,DET,@,KAN,L 10-45,8,8,Sun,7,6,59,9.83,0,85.7%,8.43
42,Kenny Stills\StilKe00,WR,23.190,2015-10-29,NFL,MIA,@,NWE,L 7-36,7,8,Thu,7,3,58,19.33,0,42.9%,8.29
43,Jared Cook\CookJa02,TE,28.208,2015-11-01,NFL,STL,,SFO,W 27-6,7,8,Sun,3,2,57,28.50,0,66.7%,19.00
44,Chris Givens\GiveCh00,WR,25.330,2015-11-01,NFL,BAL,,SDG,W 29-26,8,8,Sun,4,3,57,19.00,0,75.0%,14.25
45,Antonio Gates\GateAn00,TE,35.136,2015-11-01,NFL,SDG,@,BAL,L 26-29,8,8,Sun,5,4,56,14.00,0,80.0%,11.20
46,Rueben Randle\RandRu00,WR,24.178,2015-11-01,NFL,NYG,@,NOR,L 49-52,8,8,Sun,9,5,55,11.00,0,55.6%,6.11
47,Andre Holmes\HolmAn00,WR,27.138,2015-11-01,NFL,OAK,,NYJ,W 34-20,7,8,Sun,3,2,54,27.00,2,66.7%,18.00
48,Gary Barnidge\BarnGa01,TE,30.040,2015-11-01,NFL,CLE,,ARI,L 20-34,8,8,Sun,11,7,53,7.57,1,63.6%,4.82
49,Jonas Gray\GrayJo00,RB,25.124,2015-10-29,NFL,MIA,@,NWE,L 7-36,7,8,Thu,5,4,50,12.50,0,80.0%,10.00
50,Martavis Bryant\BryaMa00,WR,23.316,2015-11-01,NFL,PIT,,CIN,L 10-16,8,8,Sun,9,4,49,12.25,0,44.4%,5.44
51,Travis Kelce\KelcTr00,TE,26.027,2015-11-01,NFL,KAN,,DET,W 45-10,8,8,Sun,8,6,49,8.17,1,75.0%,6.13
52,Darren McFadden\McFaDa00,RB,28.066,2015-11-01,NFL,DAL,,SEA,L 12-13,7,8,Sun,8,6,49,8.17,0,75.0%,6.13
53,Cameron Brate\BratCa00,TE,24.121,2015-11-01,NFL,TAM,@,ATL,W 23-20,7,8,Sun,2,2,48,24.00,1,100.0%,24.00
54,Mike Evans\EvanMi00,WR,22.072,2015-11-01,NFL,TAM,@,ATL,W 23-20,7,8,Sun,9,3,48,16.00,0,33.3%,5.33
55,Griff Whalen\WhalGr00,WR,25.246,2015-11-02,NFL,IND,@,CAR,L 26-29,8,8,Mon,5,5,48,9.60,0,100.0%,9.60
