1,T.Y. Hilton\HiltT.00,WR,24.329,IND,@,HOU,9,9,223,24.78,1,100.0%,24.78,6,2014
2,Alshon Jeffery\JeffAl00,WR,24.240,CHI,@,ATL,7,5,136,27.20,0,71.4%,19.43,6,2014
3,Demaryius Thomas\ThomDe03,WR,26.291,DEN,@,NYJ,12,10,124,12.40,1,83.3%,10.33,6,2014
4,Andre Holmes\HolmAn00,WR,26.118,OAK,,SDG,8,4,121,30.25,2,50.0%,15.13,6,2014
5,Mohamed Sanu\SanuMo00,WR,25.051,CIN,,CAR,14,10,120,12.00,1,71.4%,8.57,6,2014
6,Antonio Brown\BrowAn04,WR,26.094,PIT,@,CLE,10,7,118,16.86,0,70.0%,11.80,6,2014
7,DeSean Jackson\JackDe00,WR,27.315,WAS,@,ARI,5,3,115,38.33,1,60.0%,23.00,6,2014
8,Brandon Marshall\MarsBr00,WR,30.203,CHI,@,ATL,9,6,113,18.83,0,66.7%,12.56,6,2014
9,Steve Smith\SmitSt01,WR,35.153,BAL,@,TAM,6,5,110,22.00,1,83.3%,18.33,6,2014
10,Jordy Nelson\NelsJo00,WR,29.134,GNB,@,MIA,16,9,107,11.89,1,56.3%,6.69,6,2014
11,Scott Chandler\ChanSc00,TE,29.081,BUF,,NWE,9,6,105,17.50,0,66.7%,11.67,6,2014
12,Malcom Floyd\FloyMa00,WR,33.034,SDG,@,OAK,7,5,103,20.60,1,71.4%,14.71,6,2014
13,Cecil Shorts\ShorCe00,WR,26.294,JAX,@,TEN,16,10,103,10.30,0,62.5%,6.44,6,2014
14,Jordan Cameron\CameJo00,TE,26.066,CLE,,PIT,5,3,102,34.00,1,60.0%,20.40,6,2014
15,Andre Johnson\JohnAn02,WR,33.090,HOU,,IND,12,7,99,14.14,1,58.3%,8.25,6,2014
16,Larry Fitzgerald\FitzLa00,WR,31.042,ARI,,WAS,6,6,98,16.33,1,100.0%,16.33,6,2014
17,Brandon LaFell\LaFeBr00,WR,27.342,NWE,@,BUF,6,4,97,24.25,2,66.7%,16.17,6,2014
18,Anquan Boldin\BoldAn00,WR,34.010,SFO,@,STL,9,7,94,13.43,1,77.8%,10.44,6,2014
19,Rob Gronkowski\GronRo00,TE,25.151,NWE,@,BUF,9,7,94,13.43,0,77.8%,10.44,6,2014
20,Jordan Reed\ReedJo02,TE,24.101,WAS,@,ARI,11,8,92,11.50,0,72.7%,8.36,6,2014
21,Julian Edelman\EdelJu00,WR,28.143,NWE,@,BUF,12,9,91,10.11,0,75.0%,7.58,6,2014
22,Clay Harbor\HarbCl00,TE,27.102,JAX,@,TEN,4,3,91,30.33,1,75.0%,22.75,6,2014
23,Brandon Lloyd\LloyBr00,WR,33.100,SFO,@,STL,1,1,80,80.00,1,100.0%,80.00,6,2014
24,Robert Woods\WoodRo02,WR,22.185,BUF,,NWE,10,7,78,11.14,1,70.0%,7.80,6,2014
25,Davante Adams\AdamDa01,WR,21.292,GNB,@,MIA,8,6,77,12.83,0,75.0%,9.63,6,2014
26,Matt Forte\FortMa00,RB,28.306,CHI,@,ATL,13,10,77,7.70,0,76.9%,5.92,6,2014
27,Justin Hunter\HuntJu00,WR,23.145,TEN,,JAX,5,3,77,25.67,0,60.0%,15.40,6,2014
28,Jarvis Landry\LandJa00,WR,21.318,MIA,,GNB,8,6,75,12.50,1,75.0%,9.38,6,2014
29,Theo Riddick\RiddTh00,RB,23.161,DET,@,MIN,6,5,75,15.00,1,83.3%,12.50,6,2014
30,Jared Cook\CookJa02,TE,27.189,STL,,SFO,11,4,74,18.50,0,36.4%,6.73,6,2014
31,Chris Hogan\HogaCh00,WR,25.353,BUF,,NWE,6,5,72,14.40,1,83.3%,12.00,6,2014
32,Louis Murphy\MurpLo00,WR,27.154,TAM,,BAL,9,7,72,10.29,1,77.8%,8.00,6,2014
33,Terrance Williams\WillTe01,WR,25.034,DAL,@,SEA,2,2,70,35.00,0,100.0%,35.00,6,2014
34,Jace Amaro\AmarJa00,TE,22.108,NYJ,,DEN,12,10,68,6.80,1,83.3%,5.67,6,2014
35,Jermaine Gresham\GresJe00,TE,26.118,CIN,,CAR,7,6,68,11.33,0,85.7%,9.71,6,2014
36,Julio Jones\JoneJu02,WR,25.251,ATL,,CHI,12,4,68,17.00,0,33.3%,5.67,6,2014
37,Allen Robinson\RobiAl02,WR,21.049,JAX,@,TEN,9,8,68,8.50,0,88.9%,7.56,6,2014
38,Mike Wallace\WallMi00,WR,28.072,MIA,,GNB,9,5,67,13.40,1,55.6%,7.44,6,2014
39,Vincent Jackson\JackVi00,WR,31.271,TAM,,BAL,13,4,66,16.50,0,30.8%,5.08,6,2014
40,Brice Butler\ButlBr00,WR,24.256,OAK,,SDG,5,3,64,21.33,1,60.0%,12.80,6,2014
41,Antone Smith\SmitAn01,RB,29.025,ATL,,CHI,4,4,64,16.00,1,100.0%,16.00,6,2014
42,Dez Bryant\BryaDe01,WR,25.342,DAL,@,SEA,10,4,63,15.75,0,40.0%,6.30,6,2014
43,Damaris Johnson\JohnDa04,WR,24.321,HOU,,IND,3,3,62,20.67,0,100.0%,20.67,6,2014
44,Jermaine Kearse\KearJe01,WR,24.248,SEA,,DAL,7,3,62,20.67,0,42.9%,8.86,6,2014
45,Greg Olsen\OlseGr00,TE,29.215,CAR,@,CIN,11,6,62,10.33,1,54.5%,5.64,6,2014
46,Ladarius Green\GreeLa00,TE,24.136,SDG,@,OAK,5,4,60,15.00,0,80.0%,12.00,6,2014
47,Riley Cooper\CoopRi00,WR,27.033,PHI,,NYG,7,5,59,11.80,0,71.4%,8.43,6,2014
48,Randall Cobb\CobbRa00,WR,24.051,GNB,@,MIA,7,5,58,11.60,1,71.4%,8.29,6,2014
49,Jerricho Cotchery\CotcJe00,WR,32.118,CAR,@,CIN,10,4,58,14.50,0,40.0%,5.80,6,2014
50,Rueben Randle\RandRu00,WR,23.158,NYG,@,PHI,9,5,58,11.60,0,55.6%,6.44,6,2014
51,Austin Seferian-Jenkins\SefeAu00,TE,22.013,TAM,,BAL,5,4,58,14.50,0,80.0%,11.60,6,2014
52,Delanie Walker\WalkHu00,TE,30.061,TEN,,JAX,8,3,57,19.00,0,37.5%,7.13,6,2014
53,James Jones\JoneJa04,WR,30.195,OAK,,SDG,7,5,56,11.20,1,71.4%,8.00,6,2014
