Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Antonio Brown\BrowAn04,WR,30.166,2018-12-23,NFL,PIT,@,NOR,L 28-31,15,16,Sun,19,14,185,13.21,2,73.7%,9.74
2,Robby Anderson\AndeRo04,WR,25.228,2018-12-23,NFL,NYJ,,GNB,L 38-44,15,16,Sun,13,9,140,15.56,1,69.2%,10.77
3,T.Y. Hilton\HiltT.00,WR,29.039,2018-12-23,NFL,IND,,NYG,W 28-27,15,16,Sun,8,7,138,19.71,0,87.5%,17.25
4,Doug Baldwin\BaldDo00,WR,30.093,2018-12-23,NFL,SEA,,KAN,W 38-31,15,16,Sun,12,7,126,18.00,1,58.3%,10.50
5,Kyle Rudolph\RudoKy00,TE,29.044,2018-12-23,NFL,MIN,@,DET,W 27-9,15,16,Sun,9,9,122,13.56,2,100.0%,13.56
6,Nelson Agholor\AghoNe00,WR,25.213,2018-12-23,NFL,PHI,,HOU,W 32-30,15,16,Sun,7,5,116,23.20,1,71.4%,16.57
7,JuJu Smith-Schuster\SmitJu00,WR,22.031,2018-12-23,NFL,PIT,@,NOR,L 28-31,15,16,Sun,15,11,115,10.45,0,73.3%,7.67
8,Sterling Shepard\ShepSt00,WR,25.316,2018-12-23,NFL,NYG,@,IND,L 27-28,15,16,Sun,7,6,113,18.83,0,85.7%,16.14
9,Zach Ertz\ErtzZa00,TE,28.043,2018-12-23,NFL,PHI,,HOU,W 32-30,15,16,Sun,16,12,110,9.17,2,75.0%,6.88
10,Michael Thomas\ThomMi05,WR,25.295,2018-12-23,NFL,NOR,,PIT,W 31-28,15,16,Sun,13,11,109,9.91,1,84.6%,8.38
11,DeAndre Hopkins\HopkDe00,WR,26.200,2018-12-23,NFL,HOU,@,PHI,L 30-32,15,16,Sun,12,9,104,11.56,0,75.0%,8.67
12,Tyler Lockett\LockTy00,WR,26.086,2018-12-23,NFL,SEA,,KAN,W 38-31,15,16,Sun,5,4,99,24.75,0,80.0%,19.80
13,Equanimeous St. Brown\St.BEq00,WR,22.084,2018-12-23,NFL,GNB,@,NYJ,W 44-38,15,16,Sun,5,5,94,18.80,0,100.0%,18.80
14,Mike Evans\EvanMi00,WR,25.124,2018-12-23,NFL,TAM,@,DAL,L 20-27,15,16,Sun,10,6,90,15.00,1,60.0%,9.00
