Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Sammy Watkins\WatkSa00,WR,25.220,2019-01-20,NFL,KAN,,NWE,L 31-37,18,20,Sun,8,4,114,28.50,0,50.0%,14.25
2,Brandin Cooks\CookBr00,WR,25.117,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,8,7,107,15.29,0,87.5%,13.38
3,Julian Edelman\EdelJu00,WR,32.243,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,10,7,96,13.71,0,70.0%,9.60
4,Alvin Kamara\KamaAl00,RB,23.179,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,13,11,96,8.73,0,84.6%,7.38
5,Rob Gronkowski\GronRo00,TE,29.251,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,11,6,79,13.17,0,54.5%,7.18
6,Josh Reynolds\ReynJo00,WR,23.338,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,7,4,74,18.50,0,57.1%,10.57
7,Damien Williams\WillDa05,RB,26.292,2019-01-20,NFL,KAN,,NWE,L 31-37,18,20,Sun,8,5,66,13.20,2,62.5%,8.25
8,Ted Ginn\GinnTe00,WR,33.283,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,6,3,58,19.33,0,50.0%,9.67
9,Gerald Everett\EverGe00,TE,24.209,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,4,2,50,25.00,0,50.0%,12.50
10,James White\WhitJa02,RB,26.351,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,6,4,49,12.25,0,66.7%,8.17
11,Chris Hogan\HogaCh00,WR,30.088,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,7,5,45,9.00,0,71.4%,6.43
12,Tyreek Hill\HillTy00,WR,24.325,2019-01-20,NFL,KAN,,NWE,L 31-37,18,20,Sun,3,1,42,42.00,0,33.3%,14.00
13,Michael Thomas\ThomMi05,WR,25.323,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,7,4,36,9.00,0,57.1%,5.14
14,Robert Woods\WoodRo02,WR,26.285,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,10,6,33,5.50,0,60.0%,3.30
15,Phillip Dorsett\DorsPh00,WR,26.015,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,3,1,29,29.00,1,33.3%,9.67
16,Demarcus Robinson\RobiDe01,WR,24.121,2019-01-20,NFL,KAN,,NWE,L 31-37,18,20,Sun,1,1,27,27.00,0,100.0%,27.00
17,Tyler Higbee\HigbTy00,TE,26.019,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,4,4,25,6.25,1,100.0%,6.25
18,Josh Hill\HillJo02,TE,28.244,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,1,1,24,24.00,0,100.0%,24.00
19,Rex Burkhead\BurkRe00,RB,28.202,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,4,4,23,5.75,0,100.0%,5.75
20,Travis Kelce\KelcTr00,TE,29.107,2019-01-20,NFL,KAN,,NWE,L 31-37,18,20,Sun,5,3,23,7.67,1,60.0%,4.60
21,Spencer Ware\WareSp00,RB,27.058,2019-01-20,NFL,KAN,,NWE,L 31-37,18,20,Sun,1,1,21,21.00,0,100.0%,21.00
22,Cordarrelle Patterson\PattCo00,WR,27.309,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,4,2,18,9.00,0,50.0%,4.50
23,Garrett Griffin\GrifGa00,TE,24.322,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,2,2,12,6.00,1,100.0%,6.00
24,Sam Shields\ShieSa00,CB,31.043,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,1,1,12,12.00,0,100.0%,12.00
25,Tre'Quan Smith\SmitTr03,WR,23.013,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,3,1,10,10.00,0,33.3%,3.33
26,James Develin\DeveJa00,FB,30.181,2019-01-20,NFL,NWE,@,KAN,W 37-31,18,20,Sun,1,1,9,9.00,0,100.0%,9.00
27,Mark Ingram\IngrMa01,RB,29.030,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,2,2,6,3.00,0,100.0%,3.00
28,C.J. Anderson\AndeC.00,RB,27.344,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,1,1,5,5.00,0,100.0%,5.00
29,Austin Carr\CarrAu00,WR,25.026,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,1,1,5,5.00,0,100.0%,5.00
30,Todd Gurley\GurlTo01,HB,24.170,2019-01-20,NFL,LAR,@,NOR,W 26-23,18,20,Sun,3,1,3,3.00,0,33.3%,1.00
31,Demetrius Harris\HarrDe03,TE,27.175,2019-01-20,NFL,KAN,,NWE,L 31-37,18,20,Sun,1,1,2,2.00,0,100.0%,2.00
32,Taysom Hill\HillTa00,QB,28.150,2019-01-20,NFL,NOR,,LAR,L 23-26,18,20,Sun,1,1,2,2.00,1,100.0%,2.00
