Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Antonio Brown\BrowAn04,WR,29.097,2017-10-15,NFL,PIT,@,KAN,W 19-13,6,6,Sun,10,8,155,19.38,1,80.0%,15.50
2,Larry Fitzgerald\FitzLa00,WR,34.045,2017-10-15,NFL,ARI,,TAM,W 38-33,6,6,Sun,11,10,138,13.80,1,90.9%,12.55
3,Demaryius Thomas\ThomDe03,WR,29.294,2017-10-15,NFL,DEN,,NYG,L 10-23,5,6,Sun,14,10,133,13.30,0,71.4%,9.50
4,Chris Thompson\ThomCh03,RB,26.360,2017-10-15,NFL,WAS,,SFO,W 26-24,5,6,Sun,5,4,105,26.25,0,80.0%,21.00
5,Kelvin Benjamin\BenjKe00,WR,26.249,2017-10-12,NFL,CAR,,PHI,L 23-28,6,6,Thu,13,9,99,11.00,0,69.2%,7.62
6,Marvin Jones\JoneMa02,WR,27.217,2017-10-15,NFL,DET,@,NOR,L 38-52,6,6,Sun,14,6,96,16.00,1,42.9%,6.86
7,Golden Tate\TateGo00,WR,29.074,2017-10-15,NFL,DET,@,NOR,L 38-52,6,6,Sun,7,7,96,13.71,1,100.0%,13.71
8,Adam Thielen\ThieAd00,WR,27.054,2017-10-15,NFL,MIN,,GNB,W 23-10,6,6,Sun,13,9,96,10.67,0,69.2%,7.38
9,Mike Evans\EvanMi00,WR,24.055,2017-10-15,NFL,TAM,@,ARI,L 33-38,5,6,Sun,8,3,95,31.67,1,37.5%,11.88
10,Brandin Cooks\CookBr00,WR,24.020,2017-10-15,NFL,NWE,@,NYJ,W 24-17,6,6,Sun,9,6,93,15.50,0,66.7%,10.33
11,Hunter Henry\HenrHu00,TE,22.312,2017-10-15,NFL,LAC,@,OAK,W 17-16,6,6,Sun,7,5,90,18.00,0,71.4%,12.86
12,Kareem Hunt\HuntKa00,RB,22.070,2017-10-15,NFL,KAN,,PIT,L 13-19,6,6,Sun,6,5,89,17.80,0,83.3%,14.83
13,Eric Decker\DeckEr00,WR,30.215,2017-10-16,NFL,TEN,,IND,W 36-22,6,6,Mon,9,7,88,12.57,0,77.8%,9.78
14,Rob Gronkowski\GronRo00,TE,28.154,2017-10-15,NFL,NWE,@,NYJ,W 24-17,6,6,Sun,10,6,83,13.83,2,60.0%,8.30
15,Marqise Lee\LeexMa00,WR,25.324,2017-10-15,NFL,JAX,,LAR,L 17-27,6,6,Sun,10,5,83,16.60,0,50.0%,8.30
16,Evan Engram\EngrEv00,TE,23.043,2017-10-15,NFL,NYG,@,DEN,W 23-10,6,6,Sun,7,5,82,16.40,1,71.4%,11.71
17,Jermaine Kearse\KearJe01,WR,27.251,2017-10-15,NFL,NYJ,,NWE,L 17-24,6,6,Sun,4,4,79,19.75,0,100.0%,19.75
18,Devontae Booker\BookDe00,RB,25.141,2017-10-15,NFL,DEN,,NYG,L 10-23,5,6,Sun,6,4,78,19.50,0,66.7%,13.00
19,Robby Anderson\AndeRo04,WR,24.159,2017-10-15,NFL,NYJ,,NWE,L 17-24,6,6,Sun,12,4,76,19.00,0,33.3%,6.33
20,Cameron Brate\BratCa00,TE,26.104,2017-10-15,NFL,TAM,@,ARI,L 33-38,5,6,Sun,8,6,76,12.67,1,75.0%,9.50
21,Emmanuel Sanders\SandEm00,WR,30.212,2017-10-15,NFL,DEN,,NYG,L 10-23,5,6,Sun,8,5,76,15.20,0,62.5%,9.50
22,Chris Ivory\IvorCh00,RB,29.207,2017-10-15,NFL,JAX,,LAR,L 17-27,6,6,Sun,10,9,74,8.22,1,90.0%,7.40
23,Julio Jones\JoneJu02,WR,28.254,2017-10-15,NFL,ATL,,MIA,L 17-20,5,6,Sun,7,6,72,12.00,0,85.7%,10.29
24,Alshon Jeffery\JeffAl00,WR,27.240,2017-10-12,NFL,PHI,@,CAR,W 28-23,6,6,Thu,10,4,71,17.75,0,40.0%,7.10
25,Robert Woods\WoodRo02,WR,25.188,2017-10-15,NFL,LAR,@,JAX,W 27-17,6,6,Sun,7,5,70,14.00,0,71.4%,10.00
26,Rishard Matthews\MattRi00,WR,28.004,2017-10-16,NFL,TEN,,IND,W 36-22,6,6,Mon,4,4,69,17.25,0,100.0%,17.25
27,Melvin Gordon\GordMe00,RB,24.185,2017-10-15,NFL,LAC,@,OAK,W 17-16,6,6,Sun,12,9,67,7.44,1,75.0%,5.58
28,Donte Moncrief\MoncDo00,WR,24.071,2017-10-16,NFL,IND,@,TEN,L 22-36,6,6,Mon,7,5,67,13.40,0,71.4%,9.57
29,Ted Ginn\GinnTe00,WR,32.186,2017-10-15,NFL,NOR,,DET,W 52-38,5,6,Sun,4,4,66,16.50,1,100.0%,16.50
30,Aldrick Robinson\RobiAl00,WR,29.021,2017-10-15,NFL,SFO,@,WAS,L 24-26,6,6,Sun,5,2,66,33.00,1,40.0%,13.20
31,Vernon Davis\DaviVe00,WR,33.257,2017-10-15,NFL,WAS,,SFO,W 26-24,5,6,Sun,4,3,65,21.67,0,75.0%,16.25
32,John Brown\BrowJo02,WR,27.195,2017-10-15,NFL,ARI,,TAM,W 38-33,6,6,Sun,4,3,63,21.00,1,75.0%,15.75
33,Will Fuller\FullWi01,WR,23.182,2017-10-15,NFL,HOU,,CLE,W 33-17,6,6,Sun,5,2,62,31.00,1,40.0%,12.40
34,Jarvis Landry\LandJa00,WR,24.321,2017-10-15,NFL,MIA,@,ATL,W 20-17,5,6,Sun,14,8,62,7.75,1,57.1%,4.43
35,Jeremy Kerley\KerlJe00,WR,28.341,2017-10-15,NFL,NYJ,,NWE,L 17-24,6,6,Sun,3,2,61,30.50,1,66.7%,20.33
36,Taywan Taylor\TaylTa00,WR,22.228,2017-10-16,NFL,TEN,,IND,W 36-22,6,6,Mon,4,2,61,30.50,1,50.0%,15.25
37,De'Anthony Thomas\ThomDe05,WR,24.283,2017-10-15,NFL,KAN,,PIT,L 13-19,6,6,Sun,4,3,61,20.33,1,75.0%,15.25
38,Jordy Nelson\NelsJo00,WR,32.137,2017-10-15,NFL,GNB,@,MIN,L 10-23,6,6,Sun,10,6,60,10.00,0,60.0%,6.00
39,Matt Forte\FortMa00,RB,31.309,2017-10-15,NFL,NYJ,,NWE,L 17-24,6,6,Sun,8,8,59,7.38,0,100.0%,7.38
40,Christian McCaffrey\McCaCh01,RB,21.127,2017-10-12,NFL,CAR,,PHI,L 23-28,6,6,Thu,14,10,56,5.60,1,71.4%,4.00
41,Nelson Agholor\AghoNe00,WR,24.141,2017-10-12,NFL,PHI,@,CAR,W 28-23,6,6,Thu,7,4,55,13.75,1,57.1%,7.86
42,Pierre Garcon\GarcPi00,WR,31.068,2017-10-15,NFL,SFO,@,WAS,L 24-26,6,6,Sun,12,5,55,11.00,0,41.7%,4.58
43,Davante Adams\AdamDa01,WR,24.295,2017-10-15,NFL,GNB,@,MIN,L 10-23,6,6,Sun,10,5,54,10.80,1,50.0%,5.40
44,Michael Crabtree\CrabMi00,WR,30.031,2017-10-15,NFL,OAK,,LAC,L 16-17,6,6,Sun,10,6,52,8.67,1,60.0%,5.20
45,Ryan Griffin\GrifRy00,TE,27.277,2017-10-15,NFL,HOU,,CLE,W 33-17,6,6,Sun,8,3,52,17.33,0,37.5%,6.50
46,Adam Humphries\HumpAd00,WR,24.113,2017-10-15,NFL,TAM,@,ARI,L 33-38,5,6,Sun,7,6,51,8.50,0,85.7%,7.29
47,Laquon Treadwell\TreaLa00,WR,22.123,2017-10-15,NFL,MIN,,GNB,W 23-10,6,6,Sun,3,3,51,17.00,0,100.0%,17.00
48,Jack Doyle\DoylJa00,TE,27.164,2017-10-16,NFL,IND,@,TEN,L 22-36,6,6,Mon,11,7,50,7.14,1,63.6%,4.55
49,Kenny Stills\StilKe00,WR,25.176,2017-10-15,NFL,MIA,@,ATL,W 20-17,5,6,Sun,4,4,49,12.25,1,100.0%,12.25
50,Austin Hooper\HoopAu00,TE,22.345,2017-10-15,NFL,ATL,,MIA,L 17-20,5,6,Sun,9,7,48,6.86,0,77.8%,5.33
51,Carlos Hyde\HydeCa00,RB,27.025,2017-10-15,NFL,SFO,@,WAS,L 24-26,6,6,Sun,6,5,47,9.40,0,83.3%,7.83
52,DeMarco Murray\MurrDe00,RB,29.246,2017-10-16,NFL,TEN,,IND,W 36-22,6,6,Mon,4,4,47,11.75,0,100.0%,11.75
53,Kyle Rudolph\RudoKy00,TE,27.340,2017-10-15,NFL,MIN,,GNB,W 23-10,6,6,Sun,9,5,47,9.40,0,55.6%,5.22
54,George Kittle\KittGe00,TE,24.006,2017-10-15,NFL,SFO,@,WAS,L 24-26,6,6,Sun,8,4,46,11.50,0,50.0%,5.75
55,Austin Seferian-Jenkins\SefeAu00,TE,25.016,2017-10-15,NFL,NYJ,,NWE,L 17-24,6,6,Sun,11,8,46,5.75,1,72.7%,4.18
56,Keenan Allen\AlleKe00,WR,25.171,2017-10-15,NFL,LAC,@,OAK,W 17-16,6,6,Sun,9,5,45,9.00,0,55.6%,5.00
57,Theo Riddick\RiddTh00,RB,26.164,2017-10-15,NFL,DET,@,NOR,L 38-52,6,6,Sun,7,5,45,9.00,0,71.4%,6.43
58,Charles Sims\SimsCh00,RB,27.026,2017-10-15,NFL,TAM,@,ARI,L 33-38,5,6,Sun,5,4,45,11.25,0,80.0%,9.00
59,Chris Moore\MoorCh00,WR,24.121,2017-10-15,NFL,BAL,,CHI,L 24-27,6,6,Sun,7,3,44,14.67,0,42.9%,6.29
60,Dion Sims\SimsDi00,TE,26.239,2017-10-15,NFL,CHI,@,BAL,W 27-24,6,6,Sun,4,2,42,21.00,1,50.0%,10.50
61,Kasen Williams\WillKa02,WR,24.314,2017-10-15,NFL,CLE,@,HOU,L 17-33,6,6,Sun,6,4,41,10.25,0,66.7%,6.83
62,Danny Amendola\AmenDa00,WR,31.347,2017-10-15,NFL,NWE,@,NYJ,W 24-17,6,6,Sun,5,3,40,13.33,0,60.0%,8.00
63,Marvin Hall\HallMa02,WR,24.188,2017-10-15,NFL,ATL,,MIA,L 17-20,5,6,Sun,2,1,40,40.00,1,50.0%,20.00
64,Lamar Miller\MillLa01,RB,26.173,2017-10-15,NFL,HOU,,CLE,W 33-17,6,6,Sun,4,3,40,13.33,0,75.0%,10.00
65,Taylor Gabriel\GabrTa00,WR,26.240,2017-10-15,NFL,ATL,,MIA,L 17-20,5,6,Sun,8,4,39,9.75,0,50.0%,4.88
66,Ryan Grant\GranRy01,WR,26.300,2017-10-15,NFL,WAS,,SFO,W 26-24,5,6,Sun,5,3,39,13.00,0,60.0%,7.80
67,Mack Hollins\HollMa00,WR,24.026,2017-10-12,NFL,PHI,@,CAR,W 28-23,6,6,Thu,2,2,38,19.00,0,100.0%,19.00
68,DeSean Jackson\JackDe00,WR,30.318,2017-10-15,NFL,TAM,@,ARI,L 33-38,5,6,Sun,6,3,38,12.67,1,50.0%,6.33
69,Allen Hurns\HurnAl01,WR,25.337,2017-10-15,NFL,JAX,,LAR,L 17-27,6,6,Sun,3,3,37,12.33,0,100.0%,12.33
70,Travis Kelce\KelcTr00,TE,28.010,2017-10-15,NFL,KAN,,PIT,L 13-19,6,6,Sun,7,4,37,9.25,0,57.1%,5.29
71,Jordan Reed\ReedJo02,TE,27.104,2017-10-15,NFL,WAS,,SFO,W 26-24,5,6,Sun,5,4,37,9.25,0,80.0%,7.40
72,Robert Turbin\TurbRo00,RB,27.318,2017-10-16,NFL,IND,@,TEN,L 22-36,6,6,Mon,5,4,37,9.25,0,80.0%,7.40
73,Ed Dickson\DickEd00,TE,30.079,2017-10-12,NFL,CAR,,PHI,L 23-28,6,6,Thu,8,4,36,9.00,0,50.0%,4.50
74,Devin Funchess\FuncDe00,WR,23.144,2017-10-12,NFL,CAR,,PHI,L 23-28,6,6,Thu,9,3,36,12.00,0,33.3%,4.00
75,Mark Ingram\IngrMa01,RB,27.298,2017-10-15,NFL,NOR,,DET,W 52-38,5,6,Sun,5,5,36,7.20,0,100.0%,7.20
76,Kendall Wright\WrigKe01,WR,27.337,2017-10-15,NFL,CHI,@,BAL,W 27-24,6,6,Sun,3,2,36,18.00,0,66.7%,12.00
77,Cooper Kupp\KuppCo00,WR,24.122,2017-10-15,NFL,LAR,@,JAX,W 27-17,6,6,Sun,3,2,35,17.50,0,66.7%,11.67
78,Seth Roberts\RobeSe00,WR,26.235,2017-10-15,NFL,OAK,,LAC,L 16-17,6,6,Sun,3,3,35,11.67,0,100.0%,11.67
