Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Steve Smith\SmitSt01,WR,35.139,2014-09-28,NFL,BAL,,CAR,W 38-10,4,4,Sun,10,7,139,19.86,2,70.0%,13.90
2,Keenan Allen\AlleKe00,WR,22.154,2014-09-28,NFL,SDG,,JAX,W 33-14,4,4,Sun,11,10,135,13.50,0,90.9%,12.27
3,Martellus Bennett\BennMa00,TE,27.202,2014-09-28,NFL,CHI,,GNB,L 17-38,4,4,Sun,11,9,134,14.89,0,81.8%,12.18
4,Jarius Wright\WrigJa02,WR,24.307,2014-09-28,NFL,MIN,,ATL,W 41-28,4,4,Sun,10,8,132,16.50,0,80.0%,13.20
5,Antonio Brown\BrowAn04,WR,26.080,2014-09-28,NFL,PIT,,TAM,L 24-27,4,4,Sun,11,7,131,18.71,2,63.6%,11.91
6,Brandon LaFell\LaFeBr00,WR,27.329,2014-09-29,NFL,NWE,@,KAN,L 14-41,4,4,Mon,10,6,119,19.83,1,60.0%,11.90
7,Reggie Wayne\WaynRe00,WR,35.315,2014-09-28,NFL,IND,,TEN,W 41-17,4,4,Sun,8,7,119,17.00,1,87.5%,14.88
8,Golden Tate\TateGo00,WR,26.057,2014-09-28,NFL,DET,@,NYJ,W 24-17,4,4,Sun,10,8,116,14.50,0,80.0%,11.60
9,Randall Cobb\CobbRa00,WR,24.037,2014-09-28,NFL,GNB,@,CHI,W 38-17,4,4,Sun,9,7,113,16.14,2,77.8%,12.56
10,Victor Cruz\CruzVi00,WR,27.318,2014-09-25,NFL,NYG,@,WAS,W 45-14,4,4,Thu,10,6,108,18.00,0,60.0%,10.80
11,Jordy Nelson\NelsJo00,WR,29.120,2014-09-28,NFL,GNB,@,CHI,W 38-17,4,4,Sun,12,10,108,10.80,2,83.3%,9.00
12,T.Y. Hilton\HiltT.00,WR,24.318,2014-09-28,NFL,IND,,TEN,W 41-17,4,4,Sun,10,6,105,17.50,0,60.0%,10.50
13,Eddie Royal\RoyaEd00,WR,28.130,2014-09-28,NFL,SDG,,JAX,W 33-14,4,4,Sun,7,5,105,21.00,2,71.4%,15.00
14,Louis Murphy\MurpLo00,WR,27.140,2014-09-28,NFL,TAM,@,PIT,W 27-24,4,4,Sun,11,6,99,16.50,0,54.5%,9.00
15,Travis Kelce\KelcTr00,TE,24.359,2014-09-29,NFL,KAN,,NWE,W 41-14,4,4,Mon,9,8,93,11.63,1,88.9%,10.33
16,Rueben Randle\RandRu00,WR,23.141,2014-09-25,NFL,NYG,@,WAS,W 45-14,4,4,Thu,10,8,89,11.13,0,80.0%,8.90
17,Jimmy Graham\GrahJi00,TE,27.308,2014-09-28,NFL,NOR,@,DAL,L 17-38,4,4,Sun,11,8,86,10.75,1,72.7%,7.82
18,Heath Miller\MillHe00,TE,31.341,2014-09-28,NFL,PIT,,TAM,L 24-27,4,4,Sun,11,10,85,8.50,1,90.9%,7.73
19,Delanie Walker\WalkHu00,TE,30.047,2014-09-28,NFL,TEN,@,IND,L 17-41,4,4,Sun,7,5,84,16.80,1,71.4%,12.00
20,Mike Williams\WillMi04,WR,27.133,2014-09-28,NFL,BUF,@,HOU,L 17-23,4,4,Sun,6,2,84,42.00,1,33.3%,14.00
21,James Jones\JoneJa04,WR,30.181,2014-09-28,NFL,OAK,,MIA,L 14-38,4,4,Sun,6,6,83,13.83,0,100.0%,13.83
22,Julio Jones\JoneJu02,WR,25.237,2014-09-28,NFL,ATL,@,MIN,L 28-41,4,4,Sun,8,6,82,13.67,0,75.0%,10.25
