Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,JJ Nelson\NelsJJ00,WR,25.146,2017-09-17,NFL,ARI,@,IND,W 16-13,2,2,Sun,7,5,120,24.00,1,71.4%,17.14
2,Rob Gronkowski\GronRo00,TE,28.126,2017-09-17,NFL,NWE,@,NOR,W 36-20,2,2,Sun,9,6,116,19.33,1,66.7%,12.89
3,Julio Jones\JoneJu02,WR,28.226,2017-09-17,NFL,ATL,,GNB,W 34-23,2,2,Sun,9,5,108,21.60,0,55.6%,12.00
4,Travis Kelce\KelcTr00,TE,27.347,2017-09-17,NFL,KAN,,PHI,W 27-20,2,2,Sun,10,8,103,12.88,1,80.0%,10.30
5,Keenan Allen\AlleKe00,WR,25.143,2017-09-17,NFL,LAC,,MIA,L 17-19,2,2,Sun,10,9,100,11.11,0,90.0%,10.00
6,Davante Adams\AdamDa01,WR,24.267,2017-09-17,NFL,GNB,@,ATL,L 23-34,2,2,Sun,10,8,99,12.38,1,80.0%,9.90
7,Zach Ertz\ErtzZa00,TE,26.311,2017-09-17,NFL,PHI,@,KAN,L 20-27,2,2,Sun,10,5,97,19.40,0,50.0%,9.70
8,Jason Witten\WittJa00,TE,35.134,2017-09-17,NFL,DAL,@,DEN,L 17-42,2,2,Sun,13,10,97,9.70,1,76.9%,7.46
9,Gerald Everett\EverGe00,TE,23.084,2017-09-17,NFL,LAR,,WAS,L 20-27,2,2,Sun,3,3,95,31.67,0,100.0%,31.67
10,Rashard Higgins\HiggRa00,WR,22.345,2017-09-17,NFL,CLE,@,BAL,L 10-24,2,2,Sun,11,7,95,13.57,0,63.6%,8.64
11,Mike Evans\EvanMi00,WR,24.027,2017-09-17,NFL,TAM,,CHI,W 29-7,1,2,Sun,9,7,93,13.29,1,77.8%,10.33
12,Alshon Jeffery\JeffAl00,WR,27.215,2017-09-17,NFL,PHI,@,KAN,L 20-27,2,2,Sun,13,7,92,13.14,1,53.8%,7.08
13,Martavis Bryant\BryaMa00,WR,25.271,2017-09-17,NFL,PIT,,MIN,W 26-9,2,2,Sun,4,3,91,30.33,1,75.0%,22.75
