Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Allen Robinson\RobiAl02,WR,25.135,2019-01-06,NFL,CHI,,PHI,L 15-16,17,18,Sun,13,10,143,14.30,1,76.9%,11.00
2,Tyler Lockett\LockTy00,WR,26.099,2019-01-05,NFL,SEA,@,DAL,L 22-24,17,18,Sat,6,4,120,30.00,0,66.7%,20.00
3,Keke Coutee\CoutKe00,WR,21.356,2019-01-05,NFL,HOU,,IND,L 7-21,17,18,Sat,14,11,110,10.00,1,78.6%,7.86
4,Amari Cooper\CoopAm00,WR,24.201,2019-01-05,NFL,DAL,,SEA,W 24-22,17,18,Sat,9,7,106,15.14,0,77.8%,11.78
5,T.Y. Hilton\HiltT.00,WR,29.052,2019-01-05,NFL,IND,@,HOU,W 21-7,17,18,Sat,10,5,85,17.00,0,50.0%,8.50
6,Alshon Jeffery\JeffAl00,WR,28.326,2019-01-06,NFL,PHI,@,CHI,W 16-15,17,18,Sun,9,6,82,13.67,0,66.7%,9.11
7,Lamar Miller\MillLa01,RB,27.255,2019-01-05,NFL,HOU,,IND,L 7-21,17,18,Sat,10,8,63,7.88,0,80.0%,6.30
8,Kenneth Dixon\DixoKe00,RB,24.350,2019-01-06,NFL,BAL,,LAC,L 17-23,17,18,Sun,3,3,53,17.67,0,100.0%,17.67
9,Dontrelle Inman\InmaDo00,WR,29.339,2019-01-05,NFL,IND,@,HOU,W 21-7,17,18,Sat,4,4,53,13.25,1,100.0%,13.25
10,Zach Ertz\ErtzZa00,TE,28.057,2019-01-06,NFL,PHI,@,CHI,W 16-15,17,18,Sun,7,5,52,10.40,0,71.4%,7.43
11,Willie Snead\SneaWi00,WR,26.081,2019-01-06,NFL,BAL,,LAC,L 17-23,17,18,Sun,6,3,50,16.67,0,50.0%,8.33
12,Chester Rogers\RogeCh02,WR,24.358,2019-01-05,NFL,IND,@,HOU,W 21-7,17,18,Sat,5,4,46,11.50,0,80.0%,9.20
13,Golden Tate\TateGo00,WR,30.157,2019-01-06,NFL,PHI,@,CHI,W 16-15,17,18,Sun,8,5,46,9.20,1,62.5%,5.75
14,Ed Dickson\DickEd00,TE,31.164,2019-01-05,NFL,SEA,@,DAL,L 22-24,17,18,Sat,5,4,42,10.50,0,80.0%,8.40
15,Mike Williams\WillMi07,WR,24.094,2019-01-06,NFL,LAC,@,BAL,W 23-17,17,18,Sun,5,2,42,21.00,0,40.0%,8.40
16,Michael Crabtree\CrabMi00,WR,31.114,2019-01-06,NFL,BAL,,LAC,L 17-23,17,18,Sun,4,2,38,19.00,2,50.0%,9.50
17,Keenan Allen\AlleKe00,WR,26.254,2019-01-06,NFL,LAC,@,BAL,W 23-17,17,18,Sun,6,4,37,9.25,0,66.7%,6.17
18,Taylor Gabriel\GabrTa00,WR,27.323,2019-01-06,NFL,CHI,,PHI,L 15-16,17,18,Sun,9,4,37,9.25,0,44.4%,4.11
19,DeAndre Hopkins\HopkDe00,WR,26.213,2019-01-05,NFL,HOU,,IND,L 7-21,17,18,Sat,10,5,37,7.40,0,50.0%,3.70
20,Antonio Gates\GateAn00,TE,38.202,2019-01-06,NFL,LAC,@,BAL,W 23-17,17,18,Sun,4,4,35,8.75,0,100.0%,8.75
21,Josh Bellamy\BellJo02,WR,29.233,2019-01-06,NFL,CHI,,PHI,L 15-16,17,18,Sun,1,1,34,34.00,0,100.0%,34.00
22,Anthony Miller\MillAn02,WR,24.089,2019-01-06,NFL,CHI,,PHI,L 15-16,17,18,Sun,5,3,34,11.33,0,60.0%,6.80
23,Nelson Agholor\AghoNe00,WR,25.227,2019-01-06,NFL,PHI,@,CHI,W 16-15,17,18,Sun,6,3,32,10.67,0,50.0%,5.33
