Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Eric Decker\DeckEr00,WR,27.288,2014-12-28,NFL,NYJ,@,MIA,W 37-24,16,17,Sun,11,10,221,22.10,1,90.9%,20.09
2,Odell Beckham\BeckOd00,WR,22.053,2014-12-28,NFL,NYG,,PHI,L 26-34,16,17,Sun,21,12,185,15.42,1,57.1%,8.81
3,Rueben Randle\RandRu00,WR,23.235,2014-12-28,NFL,NYG,,PHI,L 26-34,16,17,Sun,13,6,158,26.33,0,46.2%,12.15
4,Michael Floyd\FloyMi00,WR,25.031,2014-12-28,NFL,ARI,@,SFO,L 17-20,16,17,Sun,12,8,153,19.13,2,66.7%,12.75
5,Andre Johnson\JohnAn02,WR,33.170,2014-12-28,NFL,HOU,,JAX,W 23-17,16,17,Sun,15,10,134,13.40,1,66.7%,8.93
6,Antonio Brown\BrowAn04,WR,26.171,2014-12-28,NFL,PIT,,CIN,W 27-17,16,17,Sun,13,7,128,18.29,1,53.8%,9.85
7,Demaryius Thomas\ThomDe03,WR,27.003,2014-12-28,NFL,DEN,,OAK,W 47-14,16,17,Sun,17,8,115,14.38,0,47.1%,6.76
8,Jordan Matthews\MattJo00,WR,22.165,2014-12-28,NFL,PHI,@,NYG,W 34-26,16,17,Sun,10,8,105,13.13,1,80.0%,10.50
9,Roddy White\WhitRo00,WR,33.056,2014-12-28,NFL,ATL,,CAR,L 3-34,16,17,Sun,12,8,104,13.00,0,66.7%,8.67
10,Dez Bryant\BryaDe01,WR,26.054,2014-12-28,NFL,DAL,@,WAS,W 44-17,16,17,Sun,6,4,99,24.75,2,66.7%,16.50
11,Eddie Royal\RoyaEd00,WR,28.221,2014-12-28,NFL,SDG,@,KAN,L 7-19,16,17,Sun,8,4,95,23.75,0,50.0%,11.88
12,Brian Hartline\HartBr00,WR,28.036,2014-12-28,NFL,MIA,,NYJ,L 24-37,16,17,Sun,6,5,94,18.80,0,83.3%,15.67
13,Reggie Wayne\WaynRe00,WR,36.041,2014-12-28,NFL,IND,@,TEN,W 27-10,16,17,Sun,3,2,91,45.50,0,66.7%,30.33
14,Steve Smith\SmitSt01,WR,35.230,2014-12-28,NFL,BAL,,CLE,W 20-10,16,17,Sun,12,8,90,11.25,0,66.7%,7.50
15,DeSean Jackson\JackDe00,WR,28.027,2014-12-28,NFL,WAS,,DAL,L 17-44,16,17,Sun,3,2,86,43.00,1,66.7%,28.67
16,Jordy Nelson\NelsJo00,WR,29.211,2014-12-28,NFL,GNB,,DET,W 30-20,16,17,Sun,8,6,86,14.33,0,75.0%,10.75
17,Travis Kelce\KelcTr00,TE,25.084,2014-12-28,NFL,KAN,,SDG,W 19-7,16,17,Sun,8,7,84,12.00,0,87.5%,10.50
18,Torrey Smith\SmitTo02,WR,25.336,2014-12-28,NFL,BAL,,CLE,W 20-10,16,17,Sun,7,4,83,20.75,1,57.1%,11.86
19,A.J. Green\GreeA.00,WR,26.150,2014-12-28,NFL,CIN,@,PIT,L 17-27,16,17,Sun,13,8,82,10.25,0,61.5%,6.31
20,Kenny Stills\StilKe00,WR,22.250,2014-12-28,NFL,NOR,@,TAM,W 23-20,16,17,Sun,7,5,82,16.40,0,71.4%,11.71
21,Anquan Boldin\BoldAn00,WR,34.086,2014-12-28,NFL,SFO,,ARI,W 20-17,16,17,Sun,9,2,81,40.50,1,22.2%,9.00
22,Le'Veon Bell\BellLe00,RB,22.313,2014-12-28,NFL,PIT,,CIN,W 27-17,16,17,Sun,6,6,80,13.33,0,100.0%,13.33
23,Randall Cobb\CobbRa00,WR,24.128,2014-12-28,NFL,GNB,,DET,W 30-20,16,17,Sun,5,4,80,20.00,2,80.0%,16.00
24,Dontrelle Inman\InmaDo00,WR,25.331,2014-12-28,NFL,SDG,@,KAN,L 7-19,16,17,Sun,8,5,79,15.80,0,62.5%,9.88
25,Emmanuel Sanders\SandEm00,WR,27.286,2014-12-28,NFL,DEN,,OAK,W 47-14,16,17,Sun,9,6,73,12.17,0,66.7%,8.11
26,Brandon LaFell\LaFeBr00,WR,28.054,2014-12-28,NFL,NWE,,BUF,L 9-17,16,17,Sun,6,4,70,17.50,0,66.7%,11.67
27,Jordan Reed\ReedJo02,TE,24.178,2014-12-28,NFL,WAS,,DAL,L 17-44,16,17,Sun,10,9,70,7.78,0,90.0%,7.00
28,Adam Thielen\ThieAd00,WR,24.128,2014-12-28,NFL,MIN,,CHI,W 13-9,16,17,Sun,3,3,68,22.67,1,100.0%,22.67
29,Terrance Williams\WillTe01,WR,25.111,2014-12-28,NFL,DAL,@,WAS,W 44-17,16,17,Sun,5,3,68,22.67,0,60.0%,13.60
30,Antonio Gates\GateAn00,TE,34.193,2014-12-28,NFL,SDG,@,KAN,L 7-19,16,17,Sun,6,4,67,16.75,0,66.7%,11.17
31,Taylor Gabriel\GabrTa00,WR,23.314,2014-12-28,NFL,CLE,@,BAL,L 10-20,16,17,Sun,7,3,66,22.00,0,42.9%,9.43
32,Latavius Murray\MurrLa00,RB,24.344,2014-12-28,NFL,OAK,@,DEN,L 14-47,16,17,Sun,4,4,60,15.00,0,100.0%,15.00
33,Paul Richardson\RichPa01,WR,22.259,2014-12-28,NFL,SEA,,STL,W 20-6,16,17,Sun,7,5,60,12.00,0,71.4%,8.57
34,Martellus Bennett\BennMa00,TE,27.293,2014-12-28,NFL,CHI,@,MIN,L 9-13,16,17,Sun,11,8,59,7.38,0,72.7%,5.36
35,Julio Jones\JoneJu02,WR,25.328,2014-12-28,NFL,ATL,,CAR,L 3-34,16,17,Sun,8,4,58,14.50,0,50.0%,7.25
36,Cole Beasley\BeasCo00,WR,25.246,2014-12-28,NFL,DAL,@,WAS,W 44-17,16,17,Sun,9,6,57,9.50,0,66.7%,6.33
37,Benny Cunningham\CunnBe01,RB,24.174,2014-12-28,NFL,STL,@,SEA,L 6-20,16,17,Sun,7,7,57,8.14,0,100.0%,8.14
38,Sammy Watkins\WatkSa00,WR,21.197,2014-12-28,NFL,BUF,@,NWE,W 17-9,16,17,Sun,5,3,57,19.00,0,60.0%,11.40
39,Giovani Bernard\BernGi00,RB,23.036,2014-12-28,NFL,CIN,@,PIT,L 17-27,16,17,Sun,8,7,56,8.00,1,87.5%,7.00
40,Zach Ertz\ErtzZa00,TE,24.048,2014-12-28,NFL,PHI,@,NYG,W 34-26,16,17,Sun,6,4,56,14.00,0,66.7%,9.33
41,Coby Fleener\FleeCo00,TE,26.099,2014-12-28,NFL,IND,@,TEN,W 27-10,16,17,Sun,7,5,56,11.20,2,71.4%,8.00
42,Jarvis Landry\LandJa00,WR,22.030,2014-12-28,NFL,MIA,,NYJ,L 24-37,16,17,Sun,9,5,55,11.00,0,55.6%,6.11
43,Mike Evans\EvanMi00,WR,21.129,2014-12-28,NFL,TAM,,NOR,L 20-23,16,17,Sun,6,5,54,10.80,1,83.3%,9.00
44,Jimmy Graham\GrahJi00,TE,28.034,2014-12-28,NFL,NOR,@,TAM,W 23-20,16,17,Sun,9,6,54,9.00,0,66.7%,6.00
45,Pierre Garcon\GarcPi00,WR,28.142,2014-12-28,NFL,WAS,,DAL,L 17-44,16,17,Sun,5,2,53,26.50,0,40.0%,10.60
46,John Brown\BrowJo02,WR,24.269,2014-12-28,NFL,ARI,@,SFO,L 17-20,16,17,Sun,9,4,51,12.75,0,44.4%,5.67
47,Marques Colston\ColsMa00,WR,31.206,2014-12-28,NFL,NOR,@,TAM,W 23-20,16,17,Sun,7,2,51,25.50,1,28.6%,7.29
48,Jeremy Maclin\MaclJe00,WR,26.231,2014-12-28,NFL,PHI,@,NYG,W 34-26,16,17,Sun,6,3,49,16.33,0,50.0%,8.17
49,Jason Witten\WittJa00,TE,32.236,2014-12-28,NFL,DAL,@,WAS,W 44-17,16,17,Sun,6,4,49,12.25,0,66.7%,8.17
50,Cecil Shorts\ShorCe00,WR,27.006,2014-12-28,NFL,JAX,@,HOU,L 17-23,16,17,Sun,10,5,47,9.40,0,50.0%,4.70
51,Owen Daniels\DaniOw00,TE,32.049,2014-12-28,NFL,BAL,,CLE,W 20-10,16,17,Sun,4,2,46,23.00,0,50.0%,11.50
52,Virgil Green\GreeVi00,TE,26.147,2014-12-28,NFL,DEN,,OAK,W 47-14,16,17,Sun,3,3,46,15.33,1,100.0%,15.33
53,Hakeem Nicks\NickHa01,WR,26.348,2014-12-28,NFL,IND,@,TEN,W 27-10,16,17,Sun,6,3,46,15.33,0,50.0%,7.67
54,Jordan Todman\TodmJo00,RB,24.307,2014-12-28,NFL,JAX,@,HOU,L 17-23,16,17,Sun,6,5,46,9.20,1,83.3%,7.67
55,Charles Clay\ClayCh00,TE,25.318,2014-12-28,NFL,MIA,,NYJ,L 24-37,16,17,Sun,6,5,45,9.00,1,83.3%,7.50
56,Greg Jennings\JennGr00,WR,31.098,2014-12-28,NFL,MIN,,CHI,W 13-9,16,17,Sun,5,3,45,15.00,0,60.0%,9.00
