Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Brandin Cooks\CookBr00,WR,24.356,2018-09-16,NFL,LAR,,ARI,W 34-0,2,2,Sun,9,7,159,22.71,0,77.8%,17.67
2,Jesse James\JameJe00,TE,24.104,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,5,5,138,27.60,1,100.0%,27.60
3,Adam Thielen\ThieAd00,WR,28.025,2018-09-16,NFL,MIN,@,GNB,T 29-29,2,2,Sun,13,12,131,10.92,1,92.3%,10.08
4,DeSean Jackson\JackDe00,WR,31.289,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,4,4,129,32.25,1,100.0%,32.25
5,Stefon Diggs\DiggSt00,WR,24.291,2018-09-16,NFL,MIN,@,GNB,T 29-29,2,2,Sun,13,9,128,14.22,2,69.2%,9.85
6,JuJu Smith-Schuster\SmitJu00,WR,21.298,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,19,13,121,9.31,1,68.4%,6.37
7,Keelan Cole\ColeKe00,WR,25.149,2018-09-16,NFL,JAX,,NWE,W 31-20,2,2,Sun,8,7,116,16.57,1,87.5%,14.50
8,Amari Cooper\CoopAm00,WR,24.090,2018-09-16,NFL,OAK,@,DEN,L 19-20,2,2,Sun,10,10,116,11.60,0,100.0%,11.60
9,Will Fuller\FullWi01,WR,24.153,2018-09-16,NFL,HOU,@,TEN,L 17-20,2,2,Sun,9,8,113,14.13,1,88.9%,12.56
10,DeAndre Hopkins\HopkDe00,WR,26.102,2018-09-16,NFL,HOU,@,TEN,L 17-20,2,2,Sun,11,6,110,18.33,1,54.5%,10.00
11,Travis Kelce\KelcTr00,TE,28.346,2018-09-16,NFL,KAN,@,PIT,W 42-37,2,2,Sun,10,7,109,15.57,2,70.0%,10.90
12,Golden Tate\TateGo00,WR,30.045,2018-09-16,NFL,DET,@,SFO,L 27-30,2,2,Sun,13,7,109,15.57,0,53.8%,8.38
13,Christian McCaffrey\McCaCh01,RB,22.101,2018-09-16,NFL,CAR,@,ATL,L 24-31,2,2,Sun,15,14,102,7.29,0,93.3%,6.80
14,Sammy Watkins\WatkSa00,WR,25.094,2018-09-16,NFL,KAN,@,PIT,W 42-37,2,2,Sun,7,6,100,16.67,0,85.7%,14.29
15,O.J. Howard\HowaO.00,TE,23.301,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,4,3,96,32.00,1,75.0%,24.00
16,Emmanuel Sanders\SandEm00,WR,31.183,2018-09-16,NFL,DEN,,OAK,W 20-19,2,2,Sun,4,4,96,24.00,0,100.0%,24.00
17,Jimmy Graham\GrahJi00,TE,31.296,2018-09-16,NFL,GNB,,MIN,T 29-29,2,2,Sun,8,6,95,15.83,0,75.0%,11.88
18,Zach Ertz\ErtzZa00,TE,27.310,2018-09-16,NFL,PHI,@,TAM,L 21-27,2,2,Sun,13,11,94,8.55,0,84.6%,7.23
19,John Brown\BrowJo02,WR,28.163,2018-09-13,NFL,BAL,@,CIN,L 23-34,2,2,Thu,10,4,92,23.00,1,40.0%,9.20
