Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Keenan Allen\AlleKe00,WR,23.139,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,17,15,166,11.07,0,88.2%,9.76
2,Julio Jones\JoneJu02,WR,26.223,2015-09-14,NFL,ATL,,PHI,W 26-24,1,1,Mon,11,9,141,15.67,2,81.8%,12.82
3,Antonio Brown\BrowAn04,WR,27.062,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,11,9,133,14.78,1,81.8%,12.09
4,Austin Seferian-Jenkins\SefeAu00,TE,22.349,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,7,5,110,22.00,2,71.4%,15.71
5,Travis Kelce\KelcTr00,TE,25.343,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,6,6,106,17.67,2,100.0%,17.67
6,Nate Washington\WashNa00,WR,32.016,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,11,6,105,17.50,0,54.5%,9.55
7,Tyler Eifert\EifeTy00,TE,25.005,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,12,9,104,11.56,2,75.0%,8.67
8,Jordan Matthews\MattJo00,WR,23.060,2015-09-14,NFL,PHI,@,ATL,L 24-26,1,1,Mon,13,10,102,10.20,0,76.9%,7.85
9,Kendall Wright\WrigKe01,WR,25.305,2015-09-13,NFL,TEN,@,TAM,W 42-14,1,1,Sun,4,4,101,25.25,1,100.0%,25.25
10,DeAndre Hopkins\HopkDe00,WR,23.099,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,13,9,98,10.89,2,69.2%,7.54
11,Mark Ingram\IngrMa01,RB,25.266,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,9,8,98,12.25,0,88.9%,10.89
12,Julian Edelman\EdelJu00,WR,29.111,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,12,11,97,8.82,0,91.7%,8.08
13,Rob Gronkowski\GronRo00,TE,26.119,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,8,5,94,18.80,3,62.5%,11.75
