Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Michael Thomas\ThomMi05,WR,25.316,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,16,12,171,14.25,1,75.0%,10.69
2,Julian Edelman\EdelJu00,WR,32.236,2019-01-13,NFL,NWE,,LAC,W 41-28,17,19,Sun,13,9,151,16.78,0,69.2%,11.62
3,Michael Gallup\GallMi00,WR,22.283,2019-01-12,NFL,DAL,@,LAR,L 22-30,18,19,Sat,9,6,119,19.83,0,66.7%,13.22
4,Travis Kelce\KelcTr00,TE,29.099,2019-01-12,NFL,KAN,,IND,W 31-13,17,19,Sat,10,7,108,15.43,0,70.0%,10.80
5,James White\WhitJa02,RB,26.344,2019-01-13,NFL,NWE,,LAC,W 41-28,17,19,Sun,17,15,97,6.47,0,88.2%,5.71
6,Tyrell Williams\WillTy00,WR,26.335,2019-01-13,NFL,LAC,@,NWE,L 28-41,18,19,Sun,7,5,94,18.80,0,71.4%,13.43
7,Keenan Allen\AlleKe00,WR,26.261,2019-01-13,NFL,LAC,@,NWE,L 28-41,18,19,Sun,6,2,75,37.50,1,33.3%,12.50
8,Tyreek Hill\HillTy00,WR,24.317,2019-01-12,NFL,KAN,,IND,W 31-13,17,19,Sat,13,8,72,9.00,0,61.5%,5.54
9,Robert Woods\WoodRo02,WR,26.277,2019-01-12,NFL,LAR,,DAL,W 30-22,17,19,Sat,8,6,69,11.50,0,75.0%,8.63
10,Mike Williams\WillMi07,WR,24.101,2019-01-13,NFL,LAC,@,NWE,L 28-41,18,19,Sun,11,5,68,13.60,0,45.5%,6.18
11,Brandin Cooks\CookBr00,WR,25.109,2019-01-12,NFL,LAR,,DAL,W 30-22,17,19,Sat,6,4,65,16.25,0,66.7%,10.83
12,Amari Cooper\CoopAm00,WR,24.208,2019-01-12,NFL,DAL,@,LAR,L 22-30,18,19,Sat,9,6,65,10.83,1,66.7%,7.22
13,Alshon Jeffery\JeffAl00,WR,28.333,2019-01-13,NFL,PHI,@,NOR,L 14-20,18,19,Sun,8,5,63,12.60,0,62.5%,7.88
14,Sammy Watkins\WatkSa00,WR,25.212,2019-01-12,NFL,KAN,,IND,W 31-13,17,19,Sat,8,6,62,10.33,0,75.0%,7.75
15,T.Y. Hilton\HiltT.00,WR,29.059,2019-01-12,NFL,IND,@,KAN,L 13-31,18,19,Sat,11,4,60,15.00,1,36.4%,5.45
16,Dontrelle Inman\InmaDo00,WR,29.346,2019-01-12,NFL,IND,@,KAN,L 13-31,18,19,Sat,4,4,55,13.75,0,100.0%,13.75
17,Eric Ebron\EbroEr00,TE,25.277,2019-01-12,NFL,IND,@,KAN,L 13-31,18,19,Sat,9,5,51,10.20,0,55.6%,5.67
18,Zach Ertz\ErtzZa00,TE,28.064,2019-01-13,NFL,PHI,@,NOR,L 14-20,18,19,Sun,8,5,50,10.00,0,62.5%,6.25
19,Ted Ginn\GinnTe00,WR,33.276,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,7,3,44,14.67,0,42.9%,6.29
20,Phillip Dorsett\DorsPh00,WR,26.008,2019-01-13,NFL,NWE,,LAC,W 41-28,17,19,Sun,5,4,41,10.25,1,80.0%,8.20
21,Antonio Gates\GateAn00,TE,38.209,2019-01-13,NFL,LAC,@,NWE,L 28-41,18,19,Sun,8,5,41,8.20,1,62.5%,5.13
22,Jordan Matthews\MattJo00,WR,26.181,2019-01-13,NFL,PHI,@,NOR,L 14-20,18,19,Sun,2,1,37,37.00,1,50.0%,18.50
23,Alvin Kamara\KamaAl00,RB,23.172,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,4,4,35,8.75,0,100.0%,8.75
24,Tyler Higbee\HigbTy00,TE,26.011,2019-01-12,NFL,LAR,,DAL,W 30-22,17,19,Sat,4,2,30,15.00,0,50.0%,7.50
25,Chester Rogers\RogeCh02,WR,25.000,2019-01-12,NFL,IND,@,KAN,L 13-31,18,19,Sat,6,5,30,6.00,0,83.3%,5.00
26,Rob Gronkowski\GronRo00,TE,29.244,2019-01-13,NFL,NWE,,LAC,W 41-28,17,19,Sun,1,1,25,25.00,0,100.0%,25.00
27,Damien Williams\WillDa05,RB,26.284,2019-01-12,NFL,KAN,,IND,W 31-13,17,19,Sat,6,5,25,5.00,0,83.3%,4.17
28,Justin Jackson\JackJu01,RB,23.266,2019-01-13,NFL,LAC,@,NWE,L 28-41,18,19,Sun,4,3,22,7.33,0,75.0%,5.50
29,Darren Sproles\SproDa00,RB,35.207,2019-01-13,NFL,PHI,@,NOR,L 14-20,18,19,Sun,4,3,21,7.00,0,75.0%,5.25
30,Dalton Schultz\SchuDa00,TE,22.185,2019-01-12,NFL,DAL,@,LAR,L 22-30,18,19,Sat,2,1,20,20.00,0,50.0%,10.00
31,Austin Ekeler\EkelAu00,RB,23.241,2019-01-13,NFL,LAC,@,NWE,L 28-41,18,19,Sun,5,3,19,6.33,0,60.0%,3.80
32,Ezekiel Elliott\ElliEz00,RB,23.174,2019-01-12,NFL,DAL,@,LAR,L 22-30,18,19,Sat,5,2,19,9.50,0,40.0%,3.80
33,Josh Reynolds\ReynJo00,WR,23.330,2019-01-12,NFL,LAR,,DAL,W 30-22,17,19,Sat,4,1,19,19.00,0,25.0%,4.75
34,Golden Tate\TateGo00,WR,30.164,2019-01-13,NFL,PHI,@,NOR,L 14-20,18,19,Sun,5,2,18,9.00,0,40.0%,3.60
35,Blake Jarwin\JarwBl00,TE,24.180,2019-01-12,NFL,DAL,@,LAR,L 22-30,18,19,Sat,2,2,17,8.50,0,100.0%,8.50
36,Cole Beasley\BeasCo00,WR,29.261,2019-01-12,NFL,DAL,@,LAR,L 22-30,18,19,Sat,2,1,15,15.00,0,50.0%,7.50
37,Tre'Quan Smith\SmitTr03,WR,23.006,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,1,1,15,15.00,0,100.0%,15.00
38,Noah Brown\BrowNo00,WR,23.006,2019-01-12,NFL,DAL,@,LAR,L 22-30,18,19,Sat,1,1,13,13.00,0,100.0%,13.00
39,Chris Hogan\HogaCh00,WR,30.081,2019-01-13,NFL,NWE,,LAC,W 41-28,17,19,Sun,5,3,13,4.33,0,60.0%,2.60
40,Ben Watson\WatsBe00,TE,38.026,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,1,1,12,12.00,0,100.0%,12.00
41,Gehrig Dieter\DietGe00,WR,25.322,2019-01-12,NFL,KAN,,IND,W 31-13,17,19,Sat,1,1,11,11.00,0,100.0%,11.00
42,Melvin Gordon\GordMe00,RB,25.275,2019-01-13,NFL,LAC,@,NWE,L 28-41,18,19,Sun,2,1,11,11.00,0,50.0%,5.50
43,Mark Ingram\IngrMa01,RB,29.023,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,2,2,9,4.50,0,100.0%,4.50
44,Sony Michel\MichSo00,RB,23.330,2019-01-13,NFL,NWE,,LAC,W 41-28,17,19,Sun,1,1,9,9.00,0,100.0%,9.00
45,Keith Kirkwood\KirkKe00,WR,25.018,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,2,2,8,4.00,1,100.0%,4.00
46,Rex Burkhead\BurkRe00,RB,28.195,2019-01-13,NFL,NWE,,LAC,W 41-28,17,19,Sun,1,1,7,7.00,0,100.0%,7.00
47,Josh Hill\HillJo02,TE,28.237,2019-01-13,NFL,NOR,,PHI,W 20-14,17,19,Sun,3,3,7,2.33,0,100.0%,2.33
