Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Demaryius Thomas\ThomDe03,WR,26.298,2014-10-19,NFL,DEN,,SFO,W 42-17,6,7,Sun,9,8,171,21.38,2,88.9%,19.00
2,Golden Tate\TateGo00,WR,26.078,2014-10-19,NFL,DET,,NOR,W 24-23,7,7,Sun,13,10,154,15.40,1,76.9%,11.85
3,Dez Bryant\BryaDe01,WR,25.349,2014-10-19,NFL,DAL,,NYG,W 31-21,7,7,Sun,12,9,151,16.78,0,75.0%,12.58
4,Doug Baldwin\BaldDo00,WR,26.028,2014-10-19,NFL,SEA,@,STL,L 26-28,6,7,Sun,11,7,123,17.57,1,63.6%,11.18
5,Sammy Watkins\WatkSa00,WR,21.127,2014-10-19,NFL,BUF,,MIN,W 17-16,7,7,Sun,14,9,122,13.56,2,64.3%,8.71
6,Randall Cobb\CobbRa00,WR,24.058,2014-10-19,NFL,GNB,,CAR,W 38-17,7,7,Sun,7,6,121,20.17,1,85.7%,17.29
7,Andrew Hawkins\HawkAn00,WR,28.223,2014-10-19,NFL,CLE,@,JAX,L 6-24,6,7,Sun,9,5,112,22.40,0,55.6%,12.44
8,Marques Colston\ColsMa00,WR,31.136,2014-10-19,NFL,NOR,@,DET,L 23-24,6,7,Sun,10,6,111,18.50,0,60.0%,11.10
9,DeAndre Hopkins\HopkDe00,WR,22.136,2014-10-20,NFL,HOU,@,PIT,L 23-30,7,7,Mon,9,6,108,18.00,0,66.7%,12.00
10,T.Y. Hilton\HiltT.00,WR,24.339,2014-10-19,NFL,IND,,CIN,W 27-0,7,7,Sun,9,7,107,15.29,0,77.8%,11.89
11,Greg Olsen\OlseGr00,TE,29.222,2014-10-19,NFL,CAR,@,GNB,L 17-38,7,7,Sun,8,8,105,13.13,0,100.0%,13.13
12,Kenny Stills\StilKe00,WR,22.180,2014-10-19,NFL,NOR,@,DET,L 23-24,6,7,Sun,5,5,103,20.60,1,100.0%,20.60
13,Roddy White\WhitRo00,WR,32.351,2014-10-19,NFL,ATL,@,BAL,L 7-29,7,7,Sun,15,9,100,11.11,1,60.0%,6.67
14,Antonio Brown\BrowAn04,WR,26.102,2014-10-20,NFL,PIT,,HOU,W 30-23,7,7,Mon,13,9,90,10.00,0,69.2%,6.92
15,Larry Donnell\DonnLa00,TE,25.352,2014-10-19,NFL,NYG,@,DAL,L 21-31,7,7,Sun,7,7,90,12.86,0,100.0%,12.86
16,Le'Veon Bell\BellLe00,RB,22.244,2014-10-20,NFL,PIT,,HOU,W 30-23,7,7,Mon,8,8,88,11.00,1,100.0%,11.00
17,Pierre Garcon\GarcPi00,WR,28.072,2014-10-19,NFL,WAS,,TEN,W 19-17,7,7,Sun,6,5,87,17.40,1,83.3%,14.50
18,Dwayne Bowe\BoweDw00,WR,30.028,2014-10-19,NFL,KAN,@,SDG,W 23-20,6,7,Sun,7,5,84,16.80,0,71.4%,12.00
19,Torrey Smith\SmitTo02,WR,25.266,2014-10-19,NFL,BAL,,ATL,W 29-7,7,7,Sun,5,3,81,27.00,1,60.0%,16.20
20,Jordy Nelson\NelsJo00,WR,29.141,2014-10-19,NFL,GNB,,CAR,W 38-17,7,7,Sun,5,4,80,20.00,1,80.0%,16.00
21,Steve Johnson\JohnSt00,WR,27.325,2014-10-19,NFL,SFO,@,DEN,L 17-42,7,7,Sun,7,5,79,15.80,1,71.4%,11.29
22,Greg Jennings\JennGr00,WR,31.028,2014-10-19,NFL,MIN,@,BUF,L 16-17,7,7,Sun,7,6,77,12.83,0,85.7%,11.00
23,Andre Johnson\JohnAn02,0,33.101,2014-10-20,NFL,HOU,@,PIT,L 23-30,7,7,Mon,9,5,77,15.40,0,55.6%,8.56
24,Rueben Randle\RandRu00,WR,23.165,2014-10-19,NFL,NYG,@,DAL,L 21-31,7,7,Sun,9,6,74,12.33,0,66.7%,8.22
25,Andre Ellington\ElliAn00,RB,25.258,2014-10-19,NFL,ARI,@,OAK,W 24-13,6,7,Sun,9,6,72,12.00,0,66.7%,8.00
26,Shane Vereen\VereSh00,RB,25.167,2014-10-16,NFL,NWE,,NYJ,W 27-25,7,7,Thu,8,5,71,14.20,2,62.5%,8.88
27,Rob Gronkowski\GronRo00,TE,25.155,2014-10-16,NFL,NWE,,NYJ,W 27-25,7,7,Thu,10,5,68,13.60,0,50.0%,6.80
28,Kendall Wright\WrigKe01,WR,24.341,2014-10-19,NFL,TEN,@,WAS,L 17-19,7,7,Sun,9,6,68,11.33,1,66.7%,7.56
29,Steve Smith\SmitSt01,WR,35.160,2014-10-19,NFL,BAL,,ATL,W 29-7,7,7,Sun,5,3,67,22.33,0,60.0%,13.40
30,Eric Decker\DeckEr00,WR,27.215,2014-10-16,NFL,NYJ,@,NWE,L 25-27,7,7,Thu,7,4,65,16.25,0,57.1%,9.29
31,Gavin Escobar\EscoGa00,TE,23.258,2014-10-19,NFL,DAL,,NYG,W 31-21,7,7,Sun,3,3,65,21.67,2,100.0%,21.67
32,Coby Fleener\FleeCo00,TE,26.029,2014-10-19,NFL,IND,,CIN,W 27-0,7,7,Sun,5,4,64,16.00,0,80.0%,12.80
33,Chris Hogan\HogaCh00,WR,25.360,2014-10-19,NFL,BUF,,MIN,W 17-16,7,7,Sun,6,5,63,12.60,0,83.3%,10.50
34,Brandon Lloyd\LloyBr00,WR,33.106,2014-10-19,NFL,SFO,@,DEN,L 17-42,7,7,Sun,6,3,63,21.00,0,50.0%,10.50
35,Kelvin Benjamin\BenjKe00,WR,23.256,2014-10-19,NFL,CAR,@,GNB,L 17-38,7,7,Sun,6,3,61,20.33,1,50.0%,10.17
36,Antonio Gates\GateAn00,TE,34.123,2014-10-19,NFL,SDG,,KAN,L 20-23,7,7,Sun,5,3,61,20.33,1,60.0%,12.20
37,Cooper Helfet\HelfCo00,TE,25.139,2014-10-19,NFL,SEA,@,STL,L 26-28,6,7,Sun,6,3,61,20.33,1,50.0%,10.17
38,Matt Forte\FortMa00,RB,28.313,2014-10-19,NFL,CHI,,MIA,L 14-27,7,7,Sun,7,6,60,10.00,1,85.7%,8.57
39,Allen Robinson\RobiAl02,WR,21.056,2014-10-19,NFL,JAX,,CLE,W 24-6,7,7,Sun,7,4,60,15.00,1,57.1%,8.57
40,Jarius Wright\WrigJa02,WR,24.328,2014-10-19,NFL,MIN,@,BUF,L 16-17,7,7,Sun,4,4,60,15.00,0,100.0%,15.00
41,Keenan Allen\AlleKe00,WR,22.175,2014-10-19,NFL,SDG,,KAN,L 20-23,7,7,Sun,10,6,58,9.67,0,60.0%,5.80
42,Martellus Bennett\BennMa00,TE,27.223,2014-10-19,NFL,CHI,,MIA,L 14-27,7,7,Sun,8,5,58,11.60,0,62.5%,7.25
43,Charles Clay\ClayCh00,TE,25.248,2014-10-19,NFL,MIA,@,CHI,W 27-14,6,7,Sun,5,4,58,14.50,1,80.0%,11.60
44,Owen Daniels\DaniOw00,TE,31.344,2014-10-19,NFL,BAL,,ATL,W 29-7,7,7,Sun,9,6,58,9.67,1,66.7%,6.44
45,Niles Paul\PaulNi00,TE,25.071,2014-10-19,NFL,WAS,,TEN,W 19-17,7,7,Sun,2,2,58,29.00,0,100.0%,29.00
46,Julio Jones\JoneJu02,WR,25.258,2014-10-19,NFL,ATL,@,BAL,L 7-29,7,7,Sun,8,5,56,11.20,0,62.5%,7.00
47,Brice Butler\ButlBr00,WR,24.263,2014-10-19,NFL,OAK,,ARI,L 13-24,6,7,Sun,1,1,55,55.00,0,100.0%,55.00
48,Brandon LaFell\LaFeBr00,WR,27.346,2014-10-16,NFL,NWE,,NYJ,W 27-25,7,7,Thu,5,4,55,13.75,0,80.0%,11.00
49,Jordan Reed\ReedJo02,TE,24.108,2014-10-19,NFL,WAS,,TEN,W 19-17,7,7,Sun,6,5,54,10.80,0,83.3%,9.00
50,Mohamed Sanu\SanuMo00,WR,25.058,2014-10-19,NFL,CIN,@,IND,L 0-27,6,7,Sun,9,3,54,18.00,0,33.3%,6.00
51,Miles Austin\AustMi00,WR,30.111,2014-10-19,NFL,CLE,@,JAX,L 6-24,6,7,Sun,8,3,53,17.67,0,37.5%,6.63
52,Dwayne Allen\AlleDw00,TE,24.237,2014-10-19,NFL,IND,,CIN,W 27-0,7,7,Sun,6,3,52,17.33,1,50.0%,8.67
53,Travaris Cadet\CadeTr00,RB,25.260,2014-10-19,NFL,NOR,@,DET,L 23-24,6,7,Sun,9,6,51,8.50,0,66.7%,5.67
54,Anquan Boldin\BoldAn00,WR,34.016,2014-10-19,NFL,SFO,@,DEN,L 17-42,7,7,Sun,10,7,50,7.14,0,70.0%,5.00
55,Jeff Cumberland\CumbJe00,TE,27.167,2014-10-16,NFL,NYJ,@,NWE,L 25-27,7,7,Thu,4,3,50,16.67,1,75.0%,12.50
56,Malcom Floyd\FloyMa00,WR,33.041,2014-10-19,NFL,SDG,,KAN,L 20-23,7,7,Sun,7,3,50,16.67,0,42.9%,7.14
57,Jermaine Kearse\KearJe01,WR,24.255,2014-10-19,NFL,SEA,@,STL,L 26-28,6,7,Sun,7,3,50,16.67,0,42.9%,7.14
58,Wes Welker\WelkWe00,WR,33.171,2014-10-19,NFL,DEN,,SFO,W 42-17,6,7,Sun,3,3,50,16.67,1,100.0%,16.67
