Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,A.J. Green\GreeA.00,WR,27.058,2015-09-27,NFL,CIN,@,BAL,W 28-24,3,3,Sun,13,10,227,22.70,2,76.9%,17.46
2,Steve Smith\SmitSt01,WR,36.138,2015-09-27,NFL,BAL,,CIN,L 24-28,3,3,Sun,17,13,186,14.31,2,76.5%,10.94
3,Julio Jones\JoneJu02,WR,26.236,2015-09-27,NFL,ATL,@,DAL,W 39-28,3,3,Sun,20,12,164,13.67,2,60.0%,8.20
4,Jeremy Maclin\MaclJe00,WR,27.140,2015-09-28,NFL,KAN,@,GNB,L 28-38,3,3,Mon,11,8,141,17.63,1,72.7%,12.82
5,James Jones\JoneJa04,WR,31.181,2015-09-28,NFL,GNB,,KAN,W 38-28,3,3,Mon,8,7,139,19.86,1,87.5%,17.38
6,Amari Cooper\CoopAm00,WR,21.101,2015-09-27,NFL,OAK,@,CLE,W 27-20,3,3,Sun,11,8,134,16.75,0,72.7%,12.18
7,Larry Fitzgerald\FitzLa00,WR,32.027,2015-09-27,NFL,ARI,,SFO,W 47-7,3,3,Sun,11,9,134,14.89,2,81.8%,12.18
8,Greg Olsen\OlseGr00,TE,30.200,2015-09-27,NFL,CAR,,NOR,W 27-22,3,3,Sun,11,8,134,16.75,2,72.7%,12.18
9,Keenan Allen\AlleKe00,WR,23.153,2015-09-27,NFL,SDG,@,MIN,L 14-31,3,3,Sun,18,12,133,11.08,2,66.7%,7.39
10,Rueben Randle\RandRu00,WR,24.140,2015-09-24,NFL,NYG,,WAS,W 32-21,3,3,Thu,7,7,116,16.57,1,100.0%,16.57
11,Rishard Matthews\MattRi00,WR,25.350,2015-09-27,NFL,MIA,,BUF,L 14-41,3,3,Sun,10,6,113,18.83,2,60.0%,11.30
12,Brandon Marshall\MarsBr00,WR,31.188,2015-09-27,NFL,NYJ,,PHI,L 17-24,3,3,Sun,14,10,109,10.90,1,71.4%,7.79
13,Antonio Brown\BrowAn04,WR,27.079,2015-09-27,NFL,PIT,@,STL,W 12-6,3,3,Sun,13,11,108,9.82,0,84.6%,8.31
14,Gary Barnidge\BarnGa01,TE,30.005,2015-09-27,NFL,CLE,,OAK,L 20-27,3,3,Sun,10,6,105,17.50,1,60.0%,10.50
15,Kenny Britt\BritKe00,WR,27.008,2015-09-27,NFL,STL,,PIT,L 6-12,3,3,Sun,10,7,102,14.57,0,70.0%,10.20
16,Mike Evans\EvanMi00,WR,22.037,2015-09-27,NFL,TAM,@,HOU,L 9-19,3,3,Sun,17,7,101,14.43,0,41.2%,5.94
17,Rob Gronkowski\GronRo00,TE,26.136,2015-09-27,NFL,NWE,,JAX,W 51-17,3,3,Sun,7,4,101,25.25,0,57.1%,14.43
18,DeAndre Hopkins\HopkDe00,WR,23.113,2015-09-27,NFL,HOU,,TAM,W 19-9,3,3,Sun,14,8,101,12.63,1,57.1%,7.21
19,Lance Dunbar\DunbLa00,RB,25.245,2015-09-27,NFL,DAL,,ATL,L 28-39,3,3,Sun,10,10,100,10.00,0,100.0%,10.00
20,Brian Hartline\HartBr00,WR,28.309,2015-09-27,NFL,CLE,,OAK,L 20-27,3,3,Sun,7,5,96,19.20,0,71.4%,13.71
21,Jordan Reed\ReedJo02,TE,25.083,2015-09-24,NFL,WAS,@,NYG,L 21-32,3,3,Thu,9,6,96,16.00,0,66.7%,10.67
22,Kendall Wright\WrigKe01,WR,25.319,2015-09-27,NFL,TEN,,IND,L 33-35,3,3,Sun,12,7,95,13.57,1,58.3%,7.92
23,T.Y. Hilton\HiltT.00,WR,25.317,2015-09-27,NFL,IND,@,TEN,W 35-33,3,3,Sun,7,4,94,23.50,0,57.1%,13.43
24,Marvin Jones\JoneMa02,WR,25.199,2015-09-27,NFL,CIN,@,BAL,W 28-24,3,3,Sun,8,5,94,18.80,1,62.5%,11.75
25,Ted Ginn\GinnTe00,WR,30.168,2015-09-27,NFL,CAR,,NOR,W 27-22,3,3,Sun,6,4,93,23.25,0,66.7%,15.50
26,Demaryius Thomas\ThomDe03,WR,27.276,2015-09-27,NFL,DEN,@,DET,W 24-12,3,3,Sun,13,9,92,10.22,1,69.2%,7.08
27,Randall Cobb\CobbRa00,WR,25.037,2015-09-28,NFL,GNB,,KAN,W 38-28,3,3,Mon,12,7,91,13.00,3,58.3%,7.58
28,Emmanuel Sanders\SandEm00,WR,28.194,2015-09-27,NFL,DEN,@,DET,W 24-12,3,3,Sun,9,6,87,14.50,0,66.7%,9.67
29,Julian Edelman\EdelJu00,WR,29.128,2015-09-27,NFL,NWE,,JAX,W 51-17,3,3,Sun,11,8,85,10.63,0,72.7%,7.73
30,Jimmy Graham\GrahJi00,TE,28.307,2015-09-27,NFL,SEA,,CHI,W 26-0,3,3,Sun,8,7,83,11.86,1,87.5%,10.38
31,Charles Clay\ClayCh00,TE,26.226,2015-09-27,NFL,BUF,@,MIA,W 41-14,3,3,Sun,7,5,82,16.40,1,71.4%,11.71
32,Travis Kelce\KelcTr00,TE,25.358,2015-09-28,NFL,KAN,@,GNB,L 28-38,3,3,Mon,10,6,80,13.33,0,60.0%,8.00
33,Odell Beckham\BeckOd00,WR,22.323,2015-09-24,NFL,NYG,,WAS,W 32-21,3,3,Thu,9,7,79,11.29,1,77.8%,8.78
34,Brandin Cooks\CookBr00,WR,22.002,2015-09-27,NFL,NOR,@,CAR,L 22-27,3,3,Sun,8,7,79,11.29,0,87.5%,9.88
35,Calvin Johnson\JohnCa00,WR,29.363,2015-09-27,NFL,DET,,DEN,L 12-24,3,3,Sun,13,8,77,9.63,0,61.5%,5.92
36,Jermaine Kearse\KearJe01,WR,25.233,2015-09-27,NFL,SEA,,CHI,W 26-0,3,3,Sun,6,6,76,12.67,0,100.0%,12.67
37,Le'Veon Bell\BellLe00,RB,23.221,2015-09-27,NFL,PIT,@,STL,W 12-6,3,3,Sun,8,7,70,10.00,0,87.5%,8.75
38,Allen Hurns\HurnAl01,WR,23.319,2015-09-27,NFL,JAX,@,NWE,L 17-51,3,3,Sun,4,2,70,35.00,1,50.0%,17.50
39,Allen Robinson\RobiAl02,WR,22.034,2015-09-27,NFL,JAX,@,NWE,L 17-51,3,3,Sun,9,4,68,17.00,0,44.4%,7.56
40,Delanie Walker\WalkHu00,TE,31.046,2015-09-27,NFL,TEN,,IND,L 33-35,3,3,Sun,10,7,68,9.71,0,70.0%,6.80
