1,Jared Cook\CookJa02,TE,31.156,OAK,,LAR,12,9,180,20.00,0,75.0%,15.00,1,2018
2,Michael Thomas\ThomMi05,WR,25.190,NOR,,TAM,17,16,180,11.25,1,94.1%,10.59,1,2018
3,Tyreek Hill\HillTy00,WR,24.192,KAN,@,LAC,8,7,169,24.14,2,87.5%,21.13,1,2018
4,Julio Jones\JoneJu02,WR,29.215,ATL,@,PHI,19,10,169,16.90,0,52.6%,8.89,1,2018
5,Mike Evans\EvanMi00,WR,25.019,TAM,@,NOR,7,7,147,21.00,1,100.0%,21.00,1,2018
6,DeSean Jackson\JackDe00,WR,31.282,TAM,@,NOR,5,5,146,29.20,2,100.0%,29.20,1,2018
7,Randall Cobb\CobbRa00,WR,28.018,GNB,,CHI,10,9,142,15.78,1,90.0%,14.20,1,2018
8,Emmanuel Sanders\SandEm00,WR,31.176,DEN,,SEA,11,10,135,13.50,1,90.9%,12.27,1,2018
9,Rob Gronkowski\GronRo00,TE,29.118,NWE,,HOU,8,7,123,17.57,1,87.5%,15.38,1,2018
10,JuJu Smith-Schuster\SmitJu00,WR,21.291,PIT,@,CLE,8,5,119,23.80,0,62.5%,14.88,1,2018
11,Kenny Golladay\GollKe00,WR,24.311,DET,,NYJ,12,7,114,16.29,0,58.3%,9.50,1,2018
12,Alvin Kamara\KamaAl00,RB,23.046,NOR,,TAM,12,9,112,12.44,1,75.0%,9.33,1,2018
13,Odell Beckham\BeckOd00,WR,25.308,NYG,,JAX,15,11,111,10.09,0,73.3%,7.40,1,2018
14,Keenan Allen\AlleKe00,WR,26.135,LAC,,KAN,11,8,108,13.50,1,72.7%,9.82,1,2018
15,Jarvis Landry\LandJa00,WR,25.285,CLE,,PIT,15,7,106,15.14,0,46.7%,7.07,1,2018
16,Kenny Stills\StilKe00,WR,26.140,MIA,,TEN,5,4,106,26.50,2,80.0%,21.20,1,2018
17,Will Dissly\DissWi00,TE,22.063,SEA,@,DEN,5,3,105,35.00,1,60.0%,21.00,1,2018
18,Melvin Gordon\GordMe00,RB,25.149,LAC,,KAN,13,9,102,11.33,0,69.2%,7.85,1,2018
19,Adam Thielen\ThieAd00,WR,28.018,MIN,,SFO,12,6,102,17.00,0,50.0%,8.50,1,2018
20,Antonio Brown\BrowAn04,WR,30.061,PIT,@,CLE,16,9,93,10.33,1,56.3%,5.81,1,2018
21,A.J. Green\GreeA.00,WR,30.040,CIN,@,IND,8,6,92,15.33,1,75.0%,11.50,1,2018
22,George Kittle\KittGe00,TE,24.335,SFO,@,MIN,9,5,90,18.00,0,55.6%,10.00,1,2018
23,Davante Adams\AdamDa01,WR,25.259,GNB,,CHI,8,5,88,17.60,1,62.5%,11.00,1,2018
24,Brandin Cooks\CookBr00,WR,24.350,LAR,@,OAK,8,5,87,17.40,0,62.5%,10.88,1,2018
25,Austin Ekeler\EkelAu00,RB,23.115,LAC,,KAN,5,5,87,17.40,1,100.0%,17.40,1,2018
26,Mike Williams\WillMi07,WR,23.340,LAC,,KAN,6,5,81,16.20,0,83.3%,13.50,1,2018
27,Golden Tate\TateGo00,WR,30.039,DET,,NYJ,15,7,79,11.29,1,46.7%,5.27,1,2018
28,DeAndre Hopkins\HopkDe00,WR,26.095,HOU,@,NWE,11,8,78,9.75,0,72.7%,7.09,1,2018
29,Larry Fitzgerald\FitzLa00,WR,35.009,ARI,,WAS,10,7,76,10.86,0,70.0%,7.60,1,2018
30,Cole Beasley\BeasCo00,WR,29.136,DAL,@,CAR,8,7,73,10.43,0,87.5%,9.13,1,2018
