Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
159,Vance McDonald\McDoVa00,TE,28.186,2018-12-16,NFL,PIT,,NWE,W 17-10,14,15,Sun,3,2,13,6.50,1,66.7%,4.33
160,Brice Butler\ButlBr00,WR,28.321,2018-12-16,NFL,MIA,@,MIN,L 17-41,14,15,Sun,3,1,12,12.00,0,33.3%,4.00
161,Dallas Goedert\GoedDa00,TE,23.347,2018-12-16,NFL,PHI,@,LAR,W 30-23,14,15,Sun,2,2,12,6.00,0,100.0%,6.00
162,D.J. Moore\MoorD.00,WR,21.247,2018-12-17,NFL,CAR,,NOR,L 9-12,14,15,Mon,3,2,12,6.00,0,66.7%,4.00
163,Zach Pascal\PascZa00,WR,23.363,2018-12-16,NFL,IND,,DAL,W 23-0,14,15,Sun,3,1,12,12.00,0,33.3%,4.00
164,Marquez Valdes-Scantling\ValdMa00,WR,24.067,2018-12-16,NFL,GNB,@,CHI,L 17-24,14,15,Sun,2,1,12,12.00,0,50.0%,6.00
165,Mark Ingram\IngrMa01,RB,28.361,2018-12-17,NFL,NOR,@,CAR,W 12-9,14,15,Mon,2,2,11,5.50,0,100.0%,5.50
166,Zay Jones\JoneZa00,WR,23.261,2018-12-16,NFL,BUF,,DET,W 14-13,14,15,Sun,6,1,11,11.00,0,16.7%,1.83
167,Brandon Powell\PoweBr00,WR,22.095,2018-12-16,NFL,DET,@,BUF,L 13-14,14,15,Sun,3,3,11,3.67,0,100.0%,3.67
168,Eric Tomlinson\TomlEr01,TE,26.237,2018-12-15,NFL,NYJ,,HOU,L 22-29,14,15,Sat,1,1,11,11.00,0,100.0%,11.00
169,Cody Core\CoreCo00,WR,24.243,2018-12-16,NFL,CIN,,OAK,W 30-16,14,15,Sun,4,1,10,10.00,0,25.0%,2.50
170,Marvin Hall\HallMa02,WR,25.250,2018-12-16,NFL,ATL,,ARI,W 40-14,14,15,Sun,3,1,10,10.00,0,33.3%,3.33
171,Marlon Mack\MackMa00,RB,22.284,2018-12-16,NFL,IND,,DAL,W 23-0,14,15,Sun,1,1,10,10.00,0,100.0%,10.00
172,Chester Rogers\RogeCh02,WR,24.338,2018-12-16,NFL,IND,,DAL,W 23-0,14,15,Sun,1,1,10,10.00,0,100.0%,10.00
173,Alfred Blue\BlueAl00,RB,27.232,2018-12-15,NFL,HOU,@,NYJ,W 29-22,14,15,Sat,2,2,9,4.50,0,100.0%,4.50
174,Cameron Brate\BratCa00,TE,27.166,2018-12-16,NFL,TAM,@,BAL,L 12-20,14,15,Sun,2,1,9,9.00,0,50.0%,4.50
175,John Brown\BrowJo02,WR,28.257,2018-12-16,NFL,BAL,,TAM,W 20-12,14,15,Sun,3,1,9,9.00,0,33.3%,3.00
176,Virgil Green\GreeVi00,TE,30.132,2018-12-13,NFL,LAC,@,KAN,W 29-28,14,15,Thu,3,2,9,4.50,0,66.7%,3.00
177,Allen Hurns\HurnAl01,WR,27.034,2018-12-16,NFL,DAL,@,IND,L 0-23,14,15,Sun,2,1,9,9.00,0,50.0%,4.50
178,Jesse James\JameJe00,TE,24.195,2018-12-16,NFL,PIT,,NWE,W 17-10,14,15,Sun,1,1,9,9.00,0,100.0%,9.00
179,Andy Jones\JoneAn01,WR,24.171,2018-12-16,NFL,DET,@,BUF,L 13-14,14,15,Sun,2,2,9,4.50,1,100.0%,4.50
180,Jermaine Kearse\KearJe01,WR,28.312,2018-12-15,NFL,NYJ,,HOU,L 22-29,14,15,Sat,5,2,9,4.50,0,40.0%,1.80
181,Dion Lewis\LewiDi00,RB,28.080,2018-12-16,NFL,TEN,@,NYG,W 17-0,14,15,Sun,3,3,9,3.00,0,100.0%,3.00
182,Taquan Mizzell\MizzTa00,RB,25.056,2018-12-16,NFL,CHI,,GNB,W 24-17,14,15,Sun,1,1,9,9.00,0,100.0%,9.00
183,David Moore\MoorDa03,TE,23.335,2018-12-16,NFL,SEA,@,SFO,L 23-26,14,15,Sun,3,1,9,9.00,0,33.3%,3.00
184,Theo Riddick\RiddTh00,WR,27.226,2018-12-16,NFL,DET,@,BUF,L 13-14,14,15,Sun,3,2,9,4.50,0,66.7%,3.00
185,Wendell Smallwood\SmalWe00,RB,24.321,2018-12-16,NFL,PHI,@,LAR,W 30-23,14,15,Sun,2,2,9,4.50,0,100.0%,4.50
186,Ryan Switzer\SwitRy00,WR,24.042,2018-12-16,NFL,PIT,,NWE,W 17-10,14,15,Sun,2,2,9,4.50,0,100.0%,4.50
187,Nelson Agholor\AghoNe00,WR,25.206,2018-12-16,NFL,PHI,@,LAR,W 30-23,14,15,Sun,2,1,8,8.00,0,50.0%,4.00
188,Corey Coleman\ColeCo00,WR,24.163,2018-12-16,NFL,NYG,,TEN,L 0-17,14,15,Sun,2,1,8,8.00,0,50.0%,4.00
189,Eric Ebron\EbroEr00,TE,25.250,2018-12-16,NFL,IND,,DAL,W 23-0,14,15,Sun,3,1,8,8.00,0,33.3%,2.67
190,Jordan Leggett\LeggJo00,TE,23.318,2018-12-15,NFL,NYJ,,HOU,L 22-29,14,15,Sat,1,1,8,8.00,0,100.0%,8.00
191,Trent Taylor\TaylTr02,WR,24.230,2018-12-16,NFL,SFO,,SEA,W 26-23,14,15,Sun,2,1,8,8.00,0,50.0%,4.00
192,Keith Ford\FordKe00,RB,24.242,2018-12-16,NFL,BUF,,DET,W 14-13,14,15,Sun,1,1,7,7.00,0,100.0%,7.00
193,Marquise Goodwin\GoodMa00,WR,28.027,2018-12-16,NFL,SFO,,SEA,W 26-23,14,15,Sun,1,1,7,7.00,0,100.0%,7.00
194,Rishard Matthews\MattRi00,WR,29.064,2018-12-15,NFL,NYJ,,HOU,L 22-29,14,15,Sat,1,1,7,7.00,0,100.0%,7.00
195,James O'Shaughnessy\O'ShJa00,TE,26.336,2018-12-16,NFL,JAX,,WAS,L 13-16,14,15,Sun,1,1,7,7.00,0,100.0%,7.00
196,Demarcus Robinson\RobiDe01,WR,24.083,2018-12-13,NFL,KAN,,LAC,L 28-29,14,15,Thu,3,2,7,3.50,1,66.7%,2.33
197,Equanimeous St. Brown\St.BEq00,WR,22.077,2018-12-16,NFL,GNB,@,CHI,L 17-24,14,15,Sun,3,1,7,7.00,0,33.3%,2.33
198,Blake Bell\BellBl00,TE,27.131,2018-12-16,NFL,JAX,,WAS,L 13-16,14,15,Sun,1,1,6,6.00,0,100.0%,6.00
199,John Ross\RossJo00,WR,24.019,2018-12-16,NFL,CIN,,OAK,W 30-16,14,15,Sun,5,1,6,6.00,0,20.0%,1.20
200,Tajae Sharpe\SharTa00,WR,23.358,2018-12-16,NFL,TEN,@,NYG,W 17-0,14,15,Sun,1,1,6,6.00,0,100.0%,6.00
201,Jordan Wilkins\WilkJo01,RB,24.151,2018-12-16,NFL,IND,,DAL,W 23-0,14,15,Sun,1,1,6,6.00,0,100.0%,6.00
202,Maxx Williams\WillMa04,TE,24.248,2018-12-16,NFL,BAL,,TAM,W 20-12,14,15,Sun,2,1,6,6.00,0,50.0%,3.00
203,Andre Holmes\HolmAn00,WR,30.182,2018-12-15,NFL,DEN,,CLE,L 16-17,14,15,Sat,1,1,5,5.00,0,100.0%,5.00
204,T.J. Jones\JoneT.00,WR,26.150,2018-12-16,NFL,DET,@,BUF,L 13-14,14,15,Sun,3,1,5,5.00,0,33.3%,1.67
205,Jake Kumerow\KumeJa00,WR,26.302,2018-12-16,NFL,GNB,@,CHI,L 17-24,14,15,Sun,2,1,5,5.00,0,50.0%,2.50
206,Chris Moore\MoorCh00,WR,25.183,2018-12-16,NFL,BAL,,TAM,W 20-12,14,15,Sun,1,1,5,5.00,1,100.0%,5.00
207,Ito Smith\SmitIt00,RB,23.096,2018-12-16,NFL,ATL,,ARI,W 40-14,14,15,Sun,3,2,5,2.50,0,66.7%,1.67
208,T.J. Yeldon\YeldT.00,RB,25.075,2018-12-16,NFL,JAX,,WAS,L 13-16,14,15,Sun,2,1,5,5.00,0,50.0%,2.50
209,Peyton Barber\BarbPe01,RB,24.292,2018-12-16,NFL,TAM,@,BAL,L 12-20,14,15,Sun,2,2,4,2.00,0,100.0%,2.00
210,Chris Thompson\ThomCh03,RB,28.057,2018-12-16,NFL,WAS,@,JAX,W 16-13,14,15,Sun,2,1,4,4.00,0,50.0%,2.00
