Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Julio Jones\JoneJu02,WR,27.242,2016-10-02,NFL,ATL,,CAR,W 48-33,4,4,Sun,15,12,300,25.00,1,80.0%,20.00
2,A.J. Green\GreeA.00,WR,28.060,2016-09-29,NFL,CIN,,MIA,W 22-7,4,4,Thu,12,10,173,17.30,1,83.3%,14.42
3,John Brown\BrowJo02,WR,26.182,2016-10-02,NFL,ARI,,LAR,L 13-17,4,4,Sun,16,10,144,14.40,0,62.5%,9.00
4,Dontrelle Inman\InmaDo00,WR,27.245,2016-10-02,NFL,SDG,,NOR,L 34-35,4,4,Sun,11,7,120,17.14,1,63.6%,10.91
5,Jimmy Graham\GrahJi00,TE,29.313,2016-10-02,NFL,SEA,@,NYJ,W 27-17,4,4,Sun,8,6,113,18.83,0,75.0%,14.13
6,Eddie Royal\RoyaEd00,WR,30.134,2016-10-02,NFL,CHI,,DET,W 17-14,4,4,Sun,7,7,111,15.86,1,100.0%,15.86
7,Steve Smith\SmitSt01,WR,37.143,2016-10-02,NFL,BAL,,OAK,L 27-28,4,4,Sun,11,8,111,13.88,1,72.7%,10.09
8,Martellus Bennett\BennMa00,TE,29.206,2016-10-02,NFL,NWE,,BUF,L 0-16,4,4,Sun,6,5,109,21.80,0,83.3%,18.17
9,Demaryius Thomas\ThomDe03,WR,28.282,2016-10-02,NFL,DEN,@,TAM,W 27-7,4,4,Sun,7,6,94,15.67,1,85.7%,13.43
10,Brandon Marshall\MarsBr00,WR,32.193,2016-10-02,NFL,NYJ,,SEA,L 17-27,4,4,Sun,12,4,89,22.25,1,33.3%,7.42
11,Robert Woods\WoodRo02,WR,24.175,2016-10-02,NFL,BUF,@,NWE,W 16-0,4,4,Sun,10,7,89,12.71,0,70.0%,8.90
12,Michael Crabtree\CrabMi00,WR,29.018,2016-10-02,NFL,OAK,@,BAL,W 28-27,4,4,Sun,12,7,88,12.57,3,58.3%,7.33
13,Jeremy Kerley\KerlJe00,WR,27.329,2016-10-02,NFL,SFO,,DAL,L 17-24,4,4,Sun,9,6,88,14.67,1,66.7%,9.78
14,Emmanuel Sanders\SandEm00,WR,29.199,2016-10-02,NFL,DEN,@,TAM,W 27-7,4,4,Sun,13,8,88,11.00,1,61.5%,6.77
15,Fozzy Whittaker\WhitFo00,RB,27.243,2016-10-02,NFL,CAR,@,ATL,L 33-48,4,4,Sun,9,9,86,9.56,0,100.0%,9.56
16,Kenny Britt\BritKe00,WR,28.013,2016-10-02,NFL,LAR,@,ARI,W 17-13,4,4,Sun,4,4,82,20.50,0,100.0%,20.50
17,Rishard Matthews\MattRi00,WR,26.356,2016-10-02,NFL,TEN,@,HOU,L 20-27,4,4,Sun,2,2,82,41.00,0,100.0%,41.00
18,Will Fuller\FullWi01,WR,22.169,2016-10-02,NFL,HOU,,TEN,W 27-20,4,4,Sun,9,7,81,11.57,1,77.8%,9.00
19,Garrett Celek\CeleGa00,TE,28.126,2016-10-02,NFL,SFO,,DAL,L 17-24,4,4,Sun,5,5,79,15.80,0,100.0%,15.80
20,Sammie Coates\CoatSa00,WR,23.185,2016-10-02,NFL,PIT,,KAN,W 43-14,4,4,Sun,8,6,79,13.17,0,75.0%,9.88
21,Jeremy Maclin\MaclJe00,WR,28.144,2016-10-02,NFL,KAN,@,PIT,L 14-43,4,4,Sun,8,5,78,15.60,0,62.5%,9.75
22,Greg Olsen\OlseGr00,TE,31.205,2016-10-02,NFL,CAR,@,ATL,L 33-48,4,4,Sun,13,6,76,12.67,1,46.2%,5.85
23,Marvin Jones\JoneMa02,WR,26.204,2016-10-02,NFL,DET,@,CHI,L 14-17,4,4,Sun,7,5,74,14.80,0,71.4%,10.57
24,Kenny Stills\StilKe00,WR,24.160,2016-09-29,NFL,MIA,@,CIN,L 7-22,4,4,Thu,3,1,74,74.00,1,33.3%,24.67
25,Jordan Reed\ReedJo02,TE,26.091,2016-10-02,NFL,WAS,,CLE,W 31-20,4,4,Sun,10,9,73,8.11,2,90.0%,7.30
26,Paul Perkins\PerkPa00,RB,21.322,2016-10-03,NFL,NYG,@,MIN,L 10-24,4,4,Mon,3,2,72,36.00,0,66.7%,24.00
27,Chris Conley\ConlCh00,WR,23.343,2016-10-02,NFL,KAN,@,PIT,L 14-43,4,4,Sun,7,6,70,11.67,0,85.7%,10.00
28,Charles Johnson\JohnCh08,WR,27.219,2016-10-03,NFL,MIN,,NYG,W 24-10,4,4,Mon,4,2,70,35.00,0,50.0%,17.50
29,Brian Quick\QuicBr00,WR,27.119,2016-10-02,NFL,LAR,@,ARI,W 17-13,4,4,Sun,6,2,69,34.50,2,33.3%,11.50
30,Cameron Brate\BratCa00,TE,25.091,2016-10-02,NFL,TAM,,DEN,L 7-27,4,4,Sun,8,5,67,13.40,0,62.5%,8.38
31,Cole Beasley\BeasCo00,WR,27.159,2016-10-02,NFL,DAL,@,SFO,W 24-17,4,4,Sun,4,3,66,22.00,0,75.0%,16.50
32,Antonio Brown\BrowAn04,WR,28.084,2016-10-02,NFL,PIT,,KAN,W 43-14,4,4,Sun,5,4,64,16.00,2,80.0%,12.80
33,Phillip Dorsett\DorsPh00,WR,23.271,2016-10-02,NFL,IND,@,JAX,L 27-30,4,4,Sun,3,1,64,64.00,1,33.3%,21.33
34,Larry Fitzgerald\FitzLa00,WR,33.032,2016-10-02,NFL,ARI,,LAR,L 13-17,4,4,Sun,7,5,62,12.40,0,71.4%,8.86
35,Hunter Henry\HenrHu00,TE,21.300,2016-10-02,NFL,SDG,,NOR,L 34-35,4,4,Sun,7,4,61,15.25,1,57.1%,8.71
36,Jarvis Landry\LandJa00,WR,23.306,2016-09-29,NFL,MIA,@,CIN,L 7-22,4,4,Thu,10,7,61,8.71,0,70.0%,6.10
37,Quincy Enunwa\EnunQu00,WR,24.124,2016-10-02,NFL,NYJ,,SEA,L 17-27,4,4,Sun,7,6,60,10.00,0,85.7%,8.57
38,Mike Evans\EvanMi00,WR,23.042,2016-10-02,NFL,TAM,,DEN,L 7-27,4,4,Sun,11,5,59,11.80,0,45.5%,5.36
39,Gary Barnidge\BarnGa01,TE,31.010,2016-10-02,NFL,CLE,@,WAS,L 20-31,4,4,Sun,7,7,57,8.14,0,100.0%,8.14
40,Devin Funchess\FuncDe00,WR,22.134,2016-10-02,NFL,CAR,@,ATL,L 33-48,4,4,Sun,3,2,56,28.00,0,66.7%,18.67
41,Kyle Juszczyk\JuszKy00,RB,25.162,2016-10-02,NFL,BAL,,OAK,L 27-28,4,4,Sun,7,6,56,9.33,0,85.7%,8.00
42,Allen Robinson\RobiAl02,WR,23.039,2016-10-02,NFL,JAX,,IND,W 30-27,4,4,Sun,10,5,55,11.00,1,50.0%,5.50
43,Kyle Rudolph\RudoKy00,TE,26.329,2016-10-03,NFL,MIN,,NYG,W 24-10,4,4,Mon,7,5,55,11.00,1,71.4%,7.86
44,Kevin White\WhitKe00,WR,24.099,2016-10-02,NFL,CHI,,DET,W 17-14,4,4,Sun,9,6,55,9.17,0,66.7%,6.11
45,Doug Baldwin\BaldDo00,WR,28.011,2016-10-02,NFL,SEA,@,NYJ,W 27-17,4,4,Sun,4,4,54,13.50,0,100.0%,13.50
