1,A.J. Green\GreeA.00,WR,28.042,CIN,@,NYJ,13,12,180,15.00,1,92.3%,13.85,1,2016
2,Willie Snead\SneaWi00,WR,23.330,NOR,,OAK,9,9,172,19.11,1,100.0%,19.11,1,2016
3,Brandin Cooks\CookBr00,WR,22.352,NOR,,OAK,9,6,143,23.83,2,66.7%,15.89,1,2016
4,Amari Cooper\CoopAm00,WR,22.085,OAK,@,NOR,11,6,137,22.83,0,54.5%,12.45,1,2016
5,Spencer Ware\WareSp00,RB,24.293,KAN,,SDG,8,7,129,18.43,0,87.5%,16.13,1,2016
6,Antonio Brown\BrowAn04,WR,28.064,PIT,@,WAS,11,8,126,15.75,2,72.7%,11.45,1,2016
7,Jordan Matthews\MattJo00,WR,24.057,PHI,,CLE,14,7,114,16.29,1,50.0%,8.14,1,2016
8,Will Fuller\FullWi01,WR,22.148,HOU,,CHI,11,5,107,21.40,1,45.5%,9.73,1,2016
9,Alshon Jeffery\JeffAl00,WR,26.210,CHI,@,HOU,6,4,105,26.25,0,66.7%,17.50,1,2016
10,Stefon Diggs\DiggSt00,WR,22.287,MIN,@,TEN,9,7,103,14.71,0,77.8%,11.44,1,2016
11,DeSean Jackson\JackDe00,WR,29.286,WAS,,PIT,10,6,102,17.00,0,60.0%,10.20,1,2016
12,Mike Evans\EvanMi00,WR,23.021,TAM,@,ATL,7,5,99,19.80,1,71.4%,14.14,1,2016
13,Tevin Coleman\ColeTe01,RB,23.148,ATL,,TAM,6,5,95,19.00,0,83.3%,15.83,1,2016
14,Phillip Dorsett\DorsPh00,WR,23.250,IND,,DET,6,4,94,23.50,0,66.7%,15.67,1,2016
15,Doug Baldwin\BaldDo00,WR,27.356,SEA,,MIA,11,9,92,10.22,1,81.8%,8.36,1,2016
16,Kelvin Benjamin\BenjKe00,WR,25.216,CAR,@,DEN,12,6,91,15.17,1,50.0%,7.58,1,2016
17,Brandon LaFell\LaFeBr00,WR,29.312,CIN,@,NYJ,4,4,91,22.75,0,100.0%,22.75,1,2016
18,Mike Wallace\WallMi00,WR,30.041,BAL,,BUF,6,3,91,30.33,1,50.0%,15.17,1,2016
19,Michael Crabtree\CrabMi00,WR,28.363,OAK,@,NOR,9,7,87,12.43,0,77.8%,9.67,1,2016
20,Marvin Jones\JoneMa02,WR,26.183,DET,@,IND,10,4,85,21.25,0,40.0%,8.50,1,2016
21,Larry Fitzgerald\FitzLa00,WR,33.011,ARI,,NWE,10,8,81,10.13,2,80.0%,8.10,1,2016
22,Mohamed Sanu\SanuMo00,WR,27.020,ATL,,TAM,8,5,80,16.00,1,62.5%,10.00,1,2016
23,T.Y. Hilton\HiltT.00,WR,26.302,IND,,DET,12,6,79,13.17,0,50.0%,6.58,1,2016
24,Tajae Sharpe\SharTa00,WR,21.263,TEN,,MIN,11,7,76,10.86,0,63.6%,6.91,1,2016
25,Allen Hurns\HurnAl01,WR,24.304,JAX,,GNB,5,4,75,18.75,0,80.0%,15.00,1,2016
26,Travis Kelce\KelcTr00,TE,26.342,KAN,,SDG,7,6,74,12.33,0,85.7%,10.57,1,2016
27,Odell Beckham\BeckOd00,WR,23.311,NYG,@,DAL,8,4,73,18.25,0,50.0%,9.13,1,2016
28,Greg Olsen\OlseGr00,TE,31.181,CAR,@,DEN,9,7,73,10.43,0,77.8%,8.11,1,2016
29,Allen Robinson\RobiAl02,WR,23.018,JAX,,GNB,15,6,72,12.00,0,40.0%,4.80,1,2016
30,Tyrell Williams\WillTy00,WR,24.212,SDG,@,KAN,5,2,71,35.50,0,40.0%,14.20,1,2016
31,Corey Coleman\ColeCo00,WR,22.067,CLE,@,PHI,5,2,69,34.50,0,40.0%,13.80,1,2016
32,Terrelle Pryor\PryoTe00,WR,27.083,CLE,@,PHI,7,3,68,22.67,0,42.9%,9.71,1,2016
33,Kenny Britt\BritKe00,WR,27.359,LAR,@,SFO,6,4,67,16.75,0,66.7%,11.17,1,2016
34,Julian Edelman\EdelJu00,WR,30.112,NWE,@,ARI,7,7,66,9.43,0,100.0%,9.43,1,2016
35,Julio Jones\JoneJu02,WR,27.221,ATL,,TAM,8,4,66,16.50,1,50.0%,8.25,1,2016
36,Jason Witten\WittJa00,TE,34.128,DAL,,NYG,14,9,66,7.33,0,64.3%,4.71,1,2016
37,Cole Beasley\BeasCo00,WR,27.138,DAL,,NYG,12,8,65,8.13,0,66.7%,5.42,1,2016
38,Kyle Rudolph\RudoKy00,TE,26.307,MIN,@,TEN,8,4,65,16.25,0,50.0%,8.13,1,2016
39,Donte Moncrief\MoncDo00,WR,23.036,IND,,DET,7,6,64,10.67,1,85.7%,9.14,1,2016
40,Jordan Reed\ReedJo02,TE,26.071,WAS,,PIT,11,7,64,9.14,0,63.6%,5.82,1,2016
41,Julius Thomas\ThomJu00,TE,28.076,JAX,,GNB,5,5,64,12.80,1,100.0%,12.80,1,2016
42,Keenan Allen\AlleKe00,WR,24.137,SDG,@,KAN,7,6,63,10.50,0,85.7%,9.00,1,2016
43,Jeremy Maclin\MaclJe00,WR,28.123,KAN,,SDG,7,5,63,12.60,1,71.4%,9.00,1,2016
44,Theo Riddick\RiddTh00,RB,25.130,DET,@,IND,5,5,63,12.60,1,100.0%,12.60,1,2016
45,Arian Foster\FostAr00,WR,30.018,MIA,@,SEA,5,3,62,20.67,0,60.0%,12.40,1,2016
46,Michael Floyd\FloyMi00,WR,26.289,ARI,,NWE,7,3,61,20.33,0,42.9%,8.71,1,2016
47,Jeremy Kerley\KerlJe00,WR,27.309,SFO,,LAR,11,7,61,8.71,0,63.6%,5.55,1,2016
48,Chris Hogan\HogaCh00,WR,27.323,NWE,@,ARI,4,3,60,20.00,1,75.0%,15.00,1,2016
49,Quinton Patton\PattQu00,WR,26.034,SFO,,LAR,5,5,60,12.00,0,100.0%,12.00,1,2016
50,Matt Forte\FortMa00,RB,30.276,NYJ,,CIN,7,5,59,11.80,0,71.4%,8.43,1,2016
51,Jarvis Landry\LandJa00,WR,23.288,MIA,@,SEA,10,7,59,8.43,0,70.0%,5.90,1,2016
52,Eli Rogers\RogeEl00,TE,23.264,PIT,@,WAS,7,6,59,9.83,1,85.7%,8.43,1,2016
53,C.J. Uzomah\UzomC.00,TE,23.241,CIN,@,NYJ,5,2,59,29.50,0,40.0%,11.80,1,2016
54,Jamison Crowder\CrowJa00,WR,23.087,WAS,,PIT,10,6,58,9.67,0,60.0%,5.80,1,2016
