Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
152,Darrin Reaves\ReavDa00,RB,21.171,2014-10-05,NFL,CAR,,CHI,W 31-24,5,5,Sun,1,1,16,16.00,0,100.0%,16.00
153,Kenny Stills\StilKe00,WR,22.166,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,3,1,16,16.00,0,33.3%,5.33
154,Brent Celek\CeleBr00,TE,29.253,2014-10-05,NFL,PHI,,STL,W 34-28,5,5,Sun,3,3,15,5.00,0,100.0%,5.00
155,Arian Foster\FostAr00,RB,28.042,2014-10-05,NFL,HOU,@,DAL,L 17-20,5,5,Sun,5,2,15,7.50,0,40.0%,3.00
156,Jermaine Gresham\GresJe00,TE,26.111,2014-10-05,NFL,CIN,@,NWE,L 17-43,4,5,Sun,4,2,15,7.50,0,50.0%,3.75
157,Jermaine Kearse\KearJe01,WR,24.242,2014-10-06,NFL,SEA,@,WAS,W 27-17,4,5,Mon,2,1,15,15.00,1,50.0%,7.50
158,Travis Kelce\KelcTr00,TE,25.000,2014-10-05,NFL,KAN,@,SFO,L 17-22,5,5,Sun,3,2,15,7.50,1,66.7%,5.00
159,Jeremy Ross\RossJe01,WR,26.203,2014-10-05,NFL,DET,,BUF,L 14-17,5,5,Sun,2,1,13,13.00,0,50.0%,6.50
160,Ray Agnew\AgneRa00,FB,23.221,2014-10-05,NFL,CLE,@,TEN,W 29-28,4,5,Sun,2,1,12,12.00,0,50.0%,6.00
161,Jeff Cumberland\CumbJe00,TE,27.156,2014-10-05,NFL,NYJ,@,SDG,L 0-31,5,5,Sun,6,2,12,6.00,0,33.3%,2.00
162,Rhett Ellison\ElliRh00,TE,25.364,2014-10-02,NFL,MIN,@,GNB,L 10-42,5,5,Thu,2,1,12,12.00,0,50.0%,6.00
163,Will Johnson\JohnWi00,FB,24.325,2014-10-05,NFL,PIT,@,JAX,W 17-9,5,5,Sun,1,1,12,12.00,0,100.0%,12.00
164,Brandon Pettigrew\PettBr00,TE,29.224,2014-10-05,NFL,DET,,BUF,L 14-17,5,5,Sun,3,2,12,6.00,0,66.7%,4.00
165,Greg Salas\SalaGr00,WR,26.041,2014-10-05,NFL,NYJ,@,SDG,L 0-31,5,5,Sun,7,2,12,6.00,0,28.6%,1.71
166,Ace Sanders\SandAc00,WR,22.328,2014-10-05,NFL,JAX,,PIT,L 9-17,5,5,Sun,2,2,12,6.00,0,100.0%,6.00
167,Anthony Sherman\SherAn00,FB,25.298,2014-10-05,NFL,KAN,@,SFO,L 17-22,5,5,Sun,2,1,12,12.00,0,50.0%,6.00
168,Will Ta'ufo'ou\TaufWi00,FB,28.108,2014-10-05,NFL,JAX,,PIT,L 9-17,5,5,Sun,1,1,12,12.00,0,100.0%,12.00
169,Trey Watts\WattTr00,RB,23.234,2014-10-05,NFL,STL,@,PHI,L 28-34,4,5,Sun,2,2,12,6.00,0,100.0%,6.00
170,Davante Adams\AdamDa01,WR,21.282,2014-10-02,NFL,GNB,,MIN,W 42-10,5,5,Thu,4,1,11,11.00,1,25.0%,2.75
171,Seyi Ajirotutu\AjirSe00,WR,27.115,2014-10-05,NFL,SDG,,NYJ,W 31-0,5,5,Sun,1,1,11,11.00,0,100.0%,11.00
172,Montee Ball\BallMo00,RB,23.304,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,3,2,11,5.50,0,66.7%,3.67
173,Joe Banyard\BanyJo00,RB,25.324,2014-10-02,NFL,MIN,@,GNB,L 10-42,5,5,Thu,2,2,11,5.50,0,100.0%,5.50
174,James Develin\DeveJa00,RB,26.074,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,1,1,11,11.00,0,100.0%,11.00
175,Logan Paulsen\PaulLo00,WR,27.222,2014-10-06,NFL,WAS,,SEA,L 17-27,5,5,Mon,3,2,11,5.50,0,66.7%,3.67
176,Austin Seferian-Jenkins\SefeAu00,TE,22.006,2014-10-05,NFL,TAM,@,NOR,L 31-37,5,5,Sun,3,1,11,11.00,0,33.3%,3.67
177,Giovani Bernard\BernGi00,HB,22.317,2014-10-05,NFL,CIN,@,NWE,L 17-43,4,5,Sun,3,2,10,5.00,0,66.7%,3.33
178,Bruce Miller\MillBr02,FB,27.060,2014-10-05,NFL,SFO,,KAN,W 22-17,5,5,Sun,1,1,10,10.00,0,100.0%,10.00
179,Trent Richardson\RichTr00,RB,24.087,2014-10-05,NFL,IND,,BAL,W 20-13,5,5,Sun,5,4,10,2.50,0,80.0%,2.00
180,Robert Herron\HerrRo00,WR,22.125,2014-10-05,NFL,TAM,@,NOR,L 31-37,5,5,Sun,1,1,9,9.00,1,100.0%,9.00
