Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,Mike Evans\EvanMi00,WR,21.087,2014-11-16,NFL,TAM,@,WAS,W 27-7,10,11,Sun,9,7,209,29.86,2,77.8%,23.22
2,Coby Fleener\FleeCo00,TE,26.057,2014-11-16,NFL,IND,,NWE,L 20-42,10,11,Sun,7,7,144,20.57,0,100.0%,20.57
3,Alshon Jeffery\JeffAl00,WR,24.275,2014-11-16,NFL,CHI,,MIN,W 21-13,10,11,Sun,17,11,135,12.27,1,64.7%,7.94
4,Randall Cobb\CobbRa00,WR,24.086,2014-11-16,NFL,GNB,,PHI,W 53-20,10,11,Sun,13,10,129,12.90,0,76.9%,9.92
5,Kenny Britt\BritKe00,WR,26.058,2014-11-16,NFL,STL,,DEN,W 22-7,10,11,Sun,7,4,128,32.00,1,57.1%,18.29
6,A.J. Green\GreeA.00,WR,26.108,2014-11-16,NFL,CIN,@,NOR,W 27-10,10,11,Sun,8,6,127,21.17,1,75.0%,15.88
7,Rueben Randle\RandRu00,WR,23.193,2014-11-16,NFL,NYG,,SFO,L 10-16,10,11,Sun,15,7,112,16.00,0,46.7%,7.47
8,Kelvin Benjamin\BenjKe00,WR,23.284,2014-11-16,NFL,CAR,,ATL,L 17-19,11,11,Sun,13,9,109,12.11,1,69.2%,8.38
9,Jordy Nelson\NelsJo00,WR,29.169,2014-11-16,NFL,GNB,,PHI,W 53-20,10,11,Sun,10,4,109,27.25,1,40.0%,10.90
10,Jordan Matthews\MattJo00,WR,22.123,2014-11-16,NFL,PHI,@,GNB,L 20-53,10,11,Sun,8,5,107,21.40,1,62.5%,13.38
11,Demaryius Thomas\ThomDe03,WR,26.326,2014-11-16,NFL,DEN,@,STL,L 7-22,10,11,Sun,10,7,103,14.71,0,70.0%,10.30
12,Emmanuel Sanders\SandEm00,WR,27.244,2014-11-16,NFL,DEN,@,STL,L 7-22,10,11,Sun,8,5,102,20.40,1,62.5%,12.75
13,Andrew Hawkins\HawkAn00,WR,28.251,2014-11-16,NFL,CLE,,HOU,L 7-23,10,11,Sun,13,6,97,16.17,1,46.2%,7.46
14,Odell Beckham\BeckOd00,WR,22.011,2014-11-16,NFL,NYG,,SFO,L 10-16,10,11,Sun,13,6,93,15.50,0,46.2%,7.15
15,Jeremy Maclin\MaclJe00,WR,26.189,2014-11-16,NFL,PHI,@,GNB,L 20-53,10,11,Sun,11,9,93,10.33,1,81.8%,8.45
16,Taylor Gabriel\GabrTa00,WR,23.272,2014-11-16,NFL,CLE,,HOU,L 7-23,10,11,Sun,13,5,92,18.40,0,38.5%,7.08
17,Antonio Brown\BrowAn04,WR,26.130,2014-11-17,NFL,PIT,@,TEN,W 27-24,11,11,Mon,11,9,91,10.11,1,81.8%,8.27
18,Reggie Wayne\WaynRe00,WR,35.364,2014-11-16,NFL,IND,,NWE,L 20-42,10,11,Sun,9,5,91,18.20,0,55.6%,10.11
19,Brandon Marshall\MarsBr00,WR,30.238,2014-11-16,NFL,CHI,,MIN,W 21-13,10,11,Sun,10,7,90,12.86,2,70.0%,9.00
20,Charles Johnson\JohnCh08,WR,25.262,2014-11-16,NFL,MIN,@,CHI,L 13-21,10,11,Sun,7,6,87,14.50,0,85.7%,12.43
21,C.J. Anderson\AndeC.00,RB,23.279,2014-11-16,NFL,DEN,@,STL,L 7-22,10,11,Sun,10,8,86,10.75,0,80.0%,8.60
22,Michael Crabtree\CrabMi00,WR,27.063,2014-11-16,NFL,SFO,@,NYG,W 16-10,10,11,Sun,8,3,85,28.33,1,37.5%,10.63
23,DeAndre Hopkins\HopkDe00,WR,22.163,2014-11-16,NFL,HOU,@,CLE,W 23-7,10,11,Sun,8,4,80,20.00,0,50.0%,10.00
24,Nate Washington\WashNa00,WR,31.081,2014-11-17,NFL,TEN,,PIT,L 24-27,10,11,Mon,2,1,80,80.00,1,50.0%,40.00
25,Roddy White\WhitRo00,WR,33.014,2014-11-16,NFL,ATL,@,CAR,W 19-17,10,11,Sun,12,8,75,9.38,1,66.7%,6.25
