Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,DeMarco Murray\MurrDe00,RB,26.249,2014-10-19,NFL,DAL,,NYG,W 31-21,7,7,Sun,28,128,4.57,1
2,Denard Robinson\RobiDe00,RB,24.027,2014-10-19,NFL,JAX,,CLE,W 24-6,7,7,Sun,22,127,5.77,1
3,Chris Ivory\IvorCh00,RB,26.208,2014-10-16,NFL,NYJ,@,NWE,L 25-27,7,7,Thu,21,107,5.10,1
4,Russell Wilson\WilsRu00,QB,25.324,2014-10-19,NFL,SEA,@,STL,L 26-28,6,7,Sun,7,106,15.14,1
5,Jerick McKinnon\McKiJe00,RB,22.169,2014-10-19,NFL,MIN,@,BUF,L 16-17,7,7,Sun,19,103,5.42,0
6,Arian Foster\FostAr00,RB,28.057,2014-10-20,NFL,HOU,@,PIT,L 23-30,7,7,Mon,20,102,5.10,0
7,Jamaal Charles\CharJa00,RB,27.296,2014-10-19,NFL,KAN,@,SDG,W 23-20,6,7,Sun,22,95,4.32,1
8,Justin Forsett\ForsJu00,RB,29.005,2014-10-19,NFL,BAL,,ATL,W 29-7,7,7,Sun,23,95,4.13,0
9,Andre Ellington\ElliAn00,RB,25.258,2014-10-19,NFL,ARI,@,OAK,W 24-13,6,7,Sun,24,88,3.67,0
10,Tre Mason\MasoTr00,RB,21.074,2014-10-19,NFL,STL,,SEA,W 28-26,6,7,Sun,18,85,4.72,1
11,Trent Richardson\RichTr00,RB,24.101,2014-10-19,NFL,IND,,CIN,W 27-0,7,7,Sun,14,77,5.50,0
12,Ronnie Hillman\HillRo00,RB,23.035,2014-10-19,NFL,DEN,,SFO,W 42-17,6,7,Sun,14,74,5.29,2
13,Branden Oliver\OlivBr01,RB,23.165,2014-10-19,NFL,SDG,,KAN,L 20-23,7,7,Sun,15,67,4.47,0
14,Eddie Lacy\LacyEd00,RB,24.139,2014-10-19,NFL,GNB,,CAR,W 38-17,7,7,Sun,12,63,5.25,1
15,Chris Johnson\JohnCh04,RB,29.023,2014-10-16,NFL,NYJ,@,NWE,L 25-27,7,7,Thu,13,61,4.69,0
16,Lamar Miller\MillLa01,RB,23.177,2014-10-19,NFL,MIA,@,CHI,W 27-14,6,7,Sun,18,61,3.39,1
17,Le'Veon Bell\BellLe00,RB,22.244,2014-10-20,NFL,PIT,,HOU,W 30-23,7,7,Mon,12,57,4.75,0
18,Bishop Sankey\SankBi00,RB,22.034,2014-10-19,NFL,TEN,@,WAS,L 17-19,7,7,Sun,16,56,3.50,0
19,Alfred Morris\MorrAl00,RB,25.311,2014-10-19,NFL,WAS,,TEN,W 19-17,7,7,Sun,18,54,3.00,0
20,Marshawn Lynch\LyncMa00,RB,28.180,2014-10-19,NFL,SEA,@,STL,L 26-28,6,7,Sun,18,53,2.94,0
21,C.J. Spiller\SpilC.00,RB,27.075,2014-10-19,NFL,BUF,,MIN,W 17-16,7,7,Sun,1,53,53.00,0
22,Ahmad Bradshaw\BradAh00,RB,28.214,2014-10-19,NFL,IND,,CIN,W 27-0,7,7,Sun,10,52,5.20,1
23,Anthony Dixon\DixoAn00,RB,27.025,2014-10-19,NFL,BUF,,MIN,W 17-16,7,7,Sun,13,51,3.92,0
24,Andre Williams\WillAn00,RB,22.052,2014-10-19,NFL,NYG,@,DAL,L 21-31,7,7,Sun,18,51,2.83,0
