Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,C.J. Anderson\AndeC.00,RB,23.293,2014-11-30,NFL,DEN,@,KAN,W 29-16,12,13,Sun,32,168,5.25,0
2,LeSean McCoy\McCoLe01,RB,26.138,2014-11-27,NFL,PHI,@,DAL,W 33-10,12,13,Thu,25,159,6.36,1
3,Mark Ingram\IngrMa01,RB,24.344,2014-11-30,NFL,NOR,@,PIT,W 35-32,12,13,Sun,23,122,5.30,0
4,Tre Mason\MasoTr00,RB,21.116,2014-11-30,NFL,STL,,OAK,W 52-0,12,13,Sun,14,117,8.36,2
5,Justin Forsett\ForsJu00,RB,29.047,2014-11-30,NFL,BAL,,SDG,L 33-34,12,13,Sun,24,106,4.42,0
6,Chris Johnson\JohnCh04,RB,29.069,2014-12-01,NFL,NYJ,,MIA,L 13-16,12,13,Mon,17,105,6.18,0
7,Marshawn Lynch\LyncMa00,RB,28.219,2014-11-27,NFL,SEA,@,SFO,W 19-3,12,13,Thu,20,104,5.20,0
8,Steven Jackson\JackSt00,RB,31.131,2014-11-30,NFL,ATL,,ARI,W 29-18,12,13,Sun,18,101,5.61,0
9,Eddie Lacy\LacyEd00,RB,24.181,2014-11-30,NFL,GNB,,NWE,W 26-21,12,13,Sun,21,98,4.67,0
10,Le'Veon Bell\BellLe00,RB,22.285,2014-11-30,NFL,PIT,,NOR,L 32-35,12,13,Sun,21,95,4.52,1
11,Joique Bell\BellJo01,RB,28.115,2014-11-27,NFL,DET,,CHI,W 34-17,12,13,Thu,23,91,3.96,2
12,Rashad Jennings\JennRa00,RB,29.249,2014-11-30,NFL,NYG,@,JAX,L 24-25,12,13,Sun,26,91,3.50,2
13,Dan Herron\HerrDa00,RB,25.254,2014-11-30,NFL,IND,,WAS,W 49-27,12,13,Sun,8,88,11.00,1
