Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Devonta Freeman\FreeDe00,RB,24.195,2016-09-26,NFL,ATL,@,NOR,W 45-32,3,3,Mon,14,152,10.86,0
2,Ezekiel Elliott\ElliEz00,RB,21.065,2016-09-25,NFL,DAL,,CHI,W 31-17,3,3,Sun,30,140,4.67,0
3,DeMarco Murray\MurrDe00,RB,28.226,2016-09-25,NFL,TEN,,OAK,L 10-17,3,3,Sun,16,114,7.13,1
4,LeSean McCoy\McCoLe01,RB,28.075,2016-09-25,NFL,BUF,,ARI,W 33-18,3,3,Sun,17,110,6.47,2
5,Christine Michael\MichCh00,RB,25.321,2016-09-25,NFL,SEA,,SFO,W 37-18,3,3,Sun,20,106,5.30,2
6,LeGarrette Blount\BlouLe00,RB,29.292,2016-09-22,NFL,NWE,,HOU,W 27-0,3,3,Thu,24,105,4.38,2
7,Carlos Hyde\HydeCa00,RB,26.005,2016-09-25,NFL,SFO,@,SEA,L 18-37,3,3,Sun,21,103,4.90,2
8,Eddie Lacy\LacyEd00,RB,26.115,2016-09-25,NFL,GNB,,DET,W 34-27,3,3,Sun,17,103,6.06,0
9,Jeremy Hill\HillJe01,HB,23.341,2016-09-25,NFL,CIN,,DEN,L 17-29,3,3,Sun,17,97,5.71,2
10,Todd Gurley\GurlTo01,HB,22.053,2016-09-25,NFL,LAR,@,TAM,W 37-32,3,3,Sun,27,85,3.15,2
11,David Johnson\JohnDa08,RB,24.284,2016-09-25,NFL,ARI,@,BUF,L 18-33,3,3,Sun,19,83,4.37,2
12,Frank Gore\GoreFr00,RB,33.134,2016-09-25,NFL,IND,,SDG,W 26-22,3,3,Sun,21,82,3.90,1
13,Lamar Miller\MillLa01,RB,25.150,2016-09-22,NFL,HOU,@,NWE,L 0-27,3,3,Thu,21,80,3.81,0
14,Isaiah Crowell\CrowIs00,RB,23.261,2016-09-25,NFL,CLE,@,MIA,L 24-30,3,3,Sun,15,79,5.27,0
15,Wendell Smallwood\SmalWe00,RB,22.240,2016-09-25,NFL,PHI,,PIT,W 34-3,3,3,Sun,17,79,4.65,1
16,Mark Ingram\IngrMa01,RB,26.280,2016-09-26,NFL,NOR,,ATL,L 32-45,3,3,Mon,15,77,5.13,0
17,Tyrod Taylor\TaylTy00,QB,27.053,2016-09-25,NFL,BUF,,ARI,W 33-18,3,3,Sun,9,76,8.44,1
18,Spencer Ware\WareSp00,RB,24.307,2016-09-25,NFL,KAN,,NYJ,W 24-3,3,3,Sun,20,75,3.75,0
19,Duke Johnson\JohnDu00,RB,23.002,2016-09-25,NFL,CLE,@,MIA,L 24-30,3,3,Sun,10,69,6.90,0
20,Shane Vereen\VereSh00,RB,27.146,2016-09-25,NFL,NYG,,WAS,L 27-29,3,3,Sun,11,67,6.09,1
21,Matt Forte\FortMa00,RB,30.290,2016-09-25,NFL,NYJ,@,KAN,L 3-24,3,3,Sun,15,65,4.33,0
22,Matt Jones\JoneMa04,RB,23.202,2016-09-25,NFL,WAS,@,NYG,W 29-27,3,3,Sun,17,65,3.82,0
23,DeAndre Washington\WashDe00,RB,23.216,2016-09-25,NFL,OAK,@,TEN,W 17-10,3,3,Sun,6,57,9.50,0
24,Charles Sims\SimsCh00,RB,26.006,2016-09-25,NFL,TAM,,LAR,L 32-37,3,3,Sun,13,55,4.23,1
25,Orleans Darkwa\DarkOr00,RB,24.210,2016-09-25,NFL,NYG,,WAS,L 27-29,3,3,Sun,10,53,5.30,1
26,Jacoby Brissett\BrisJa00,QB,23.286,2016-09-22,NFL,NWE,,HOU,W 27-0,3,3,Thu,8,48,6.00,1
27,Cameron Artis-Payne\ArtiCa00,RB,26.094,2016-09-25,NFL,CAR,,MIN,L 10-22,3,3,Sun,12,47,3.92,0
28,Derrick Henry\HenrDe00,RB,22.265,2016-09-25,NFL,TEN,,OAK,L 10-17,3,3,Sun,10,45,4.50,0
