1,Kerryon Johnson\JohnKe06,RB,21.113,DET,@,MIA,19,158,8.320,0,7,2018
2,Marlon Mack\MackMa00,RB,22.228,IND,,BUF,19,126,6.630,1,7,2018
3,Lamar Miller\MillLa01,RB,27.179,HOU,@,JAX,22,100,4.550,1,7,2018
4,Adrian Peterson\PeteAd01,RB,33.214,WAS,,DAL,24,99,4.130,0,7,2018
5,Dion Lewis\LewiDi00,RB,28.024,TEN,@,LAC,13,91,7.000,0,7,2018
6,Phillip Lindsay\LindPh00,RB,24.086,DEN,@,ARI,14,90,6.430,1,7,2018
7,Kareem Hunt\HuntKa00,RB,23.076,KAN,,CIN,15,86,5.730,1,7,2018
8,Chris Ivory\IvorCh00,RB,30.213,BUF,@,IND,16,81,5.060,0,7,2018
9,Mitchell Trubisky\TrubMi00,QB,24.062,CHI,,NWE,6,81,13.500,1,7,2018
10,Nick Chubb\ChubNi00,RB,22.298,CLE,@,TAM,18,80,4.440,1,7,2018
11,Kenyan Drake\DrakKe00,RB,24.268,MIA,,DET,6,72,12.000,1,7,2018
12,Latavius Murray\MurrLa00,RB,28.276,MIN,@,NYJ,15,69,4.600,2,7,2018
13,Malcolm Brown\BrowMa03,RB,25.159,LAR,@,SFO,13,65,5.000,0,7,2018
14,Alvin Kamara\KamaAl00,RB,23.088,NOR,@,BAL,17,64,3.760,1,7,2018
15,Todd Gurley\GurlTo01,HB,24.079,LAR,@,SFO,15,63,4.200,2,7,2018
16,Raheem Mostert\MostRa00,RB,26.195,SFO,,LAR,7,59,8.430,0,7,2018
17,Spencer Ware\WareSp00,RB,26.332,KAN,,CIN,8,59,7.380,0,7,2018
18,Jameis Winston\WinsJa00,QB,24.288,TAM,,CLE,10,55,5.500,1,7,2018
19,Marcus Murphy\MurpMa03,RB,27.225,BUF,@,IND,4,53,13.250,0,7,2018
20,LeGarrette Blount\BlouLe00,RB,31.320,DET,@,MIA,10,50,5.000,1,7,2018
21,Tevin Coleman\ColeTe01,RB,25.189,ATL,,NYG,11,50,4.550,1,7,2018
22,Joe Mixon\MixoJo00,HB,22.089,CIN,@,KAN,13,50,3.850,0,7,2018
23,Cam Newton\NewtCa00,QB,29.163,CAR,@,PHI,7,49,7.000,0,7,2018
24,Nyheim Hines\HineNy00,RB,21.343,IND,,BUF,5,47,9.400,0,7,2018
25,Jordan Wilkins\WilkJo01,RB,24.095,IND,,BUF,6,46,7.670,0,7,2018
26,Patrick Mahomes\MahoPa00,QB,23.034,KAN,,CIN,4,45,11.250,0,7,2018
27,Saquon Barkley\BarkSa00,RB,21.255,NYG,@,ATL,14,43,3.070,1,7,2018
28,Baker Mayfield\MayfBa00,QB,23.190,CLE,@,TAM,4,43,10.750,0,7,2018
