Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,David Johnson\JohnDa08,RB,24.004,2015-12-20,NFL,ARI,@,PHI,W 40-17,14,15,Sun,29,187,6.45,3
2,Alfred Blue\BlueAl00,RB,24.237,2015-12-20,NFL,HOU,@,IND,W 16-10,14,15,Sun,20,107,5.35,0
3,Rashad Jennings\JennRa00,RB,30.269,2015-12-20,NFL,NYG,,CAR,L 35-38,14,15,Sun,16,107,6.69,1
4,Darren McFadden\McFaDa00,RB,28.114,2015-12-19,NFL,DAL,,NYJ,L 16-19,14,15,Sat,16,100,6.25,0
5,Cam Newton\NewtCa00,QB,26.223,2015-12-20,NFL,CAR,@,NYG,W 38-35,14,15,Sun,8,100,12.50,0
6,Doug Martin\MartDo00,RB,26.338,2015-12-17,NFL,TAM,@,STL,L 23-31,14,15,Thu,18,91,5.06,0
7,Donald Brown\BrowDo00,RB,28.253,2015-12-20,NFL,SDG,,MIA,W 30-14,14,15,Sun,12,90,7.50,0
8,Christine Michael\MichCh00,RB,25.041,2015-12-20,NFL,SEA,,CLE,W 30-13,14,15,Sun,16,84,5.25,0
9,Alfred Morris\MorrAl00,RB,27.008,2015-12-20,NFL,WAS,,BUF,W 35-25,14,15,Sun,14,84,6.00,0
10,Mike Gillislee\GillMi00,RB,25.049,2015-12-20,NFL,BUF,@,WAS,L 25-35,14,15,Sun,4,81,20.25,1
11,Tyrod Taylor\TaylTy00,QB,26.139,2015-12-20,NFL,BUF,@,WAS,L 25-35,14,15,Sun,9,79,8.78,0
12,Latavius Murray\MurrLa00,RB,25.336,2015-12-20,NFL,OAK,,GNB,L 20-30,14,15,Sun,21,78,3.71,0
13,Ameer Abdullah\AbduAm00,RB,22.191,2015-12-21,NFL,DET,@,NOR,W 35-27,14,15,Mon,9,77,8.56,1
14,Charcandrick West\WestCh01,RB,24.201,2015-12-20,NFL,KAN,@,BAL,W 34-14,14,15,Sun,16,76,4.75,1
15,Joique Bell\BellJo01,RB,29.139,2015-12-21,NFL,DET,@,NOR,W 35-27,14,15,Mon,8,71,8.88,1
16,Adrian Peterson\PeteAd01,HB,30.274,2015-12-20,NFL,MIN,,CHI,W 38-17,14,15,Sun,18,63,3.50,0
17,Cameron Artis-Payne\ArtiCa00,RB,25.180,2015-12-20,NFL,CAR,@,NYG,W 38-35,14,15,Sun,14,59,4.21,0
18,Ryan Mathews\MathRy00,RB,28.071,2015-12-20,NFL,PHI,,ARI,L 17-40,14,15,Sun,11,58,5.27,0
19,Devonta Freeman\FreeDe00,RB,23.280,2015-12-20,NFL,ATL,@,JAX,W 23-17,14,15,Sun,25,56,2.24,1
20,Tim Hightower\HighTi00,RB,29.212,2015-12-21,NFL,NOR,,DET,L 27-35,14,15,Mon,13,54,4.15,0
21,Joey Iosefa\IoseJo00,RB,24.184,2015-12-20,NFL,NWE,,TEN,W 33-16,14,15,Sun,14,51,3.64,0
22,James Starks\StarJa00,RB,29.298,2015-12-20,NFL,GNB,@,OAK,W 30-20,14,15,Sun,9,51,5.67,0
23,Charles Sims\SimsCh00,RB,25.089,2015-12-17,NFL,TAM,@,STL,L 23-31,14,15,Thu,7,50,7.14,0
24,Todd Gurley\GurlTo01,RB,21.136,2015-12-17,NFL,STL,,TAM,W 31-23,14,15,Thu,21,48,2.29,1
