1,Mark Ingram\IngrMa01,RB,24.309,NOR,,GNB,24,172,7.170,1,8,2014
2,Arian Foster\FostAr00,RB,28.063,HOU,@,TEN,20,151,7.550,2,8,2014
3,DeMarco Murray\MurrDe00,RB,26.257,DAL,,WAS,19,141,7.420,0,8,2014
4,Matt Forte\FortMa00,RB,28.320,CHI,@,NWE,19,114,6.000,0,8,2014
5,Ronnie Hillman\HillRo00,RB,23.039,DEN,,SDG,20,109,5.450,0,8,2014
6,Denard Robinson\RobiDe00,RB,24.034,JAX,,MIA,18,108,6.000,0,8,2014
7,Le'Veon Bell\BellLe00,RB,22.250,PIT,,IND,24,92,3.830,0,8,2014
8,Jonas Gray\GrayJo00,RB,24.121,NWE,,CHI,17,86,5.060,0,8,2014
9,LeSean McCoy\McCoLe01,RB,26.106,PHI,@,ARI,20,83,4.150,0,8,2014
10,Jerick McKinnon\McKiJe00,HB,22.176,MIN,@,TAM,16,83,5.190,0,8,2014
11,Jonathan Stewart\StewJo00,RB,27.219,CAR,,SEA,16,79,4.940,0,8,2014
12,Lamar Miller\MillLa01,RB,23.184,MIA,@,JAX,14,78,5.570,0,8,2014
13,Alfred Morris\MorrAl00,RB,25.319,WAS,@,DAL,18,73,4.060,1,8,2014
14,Andre Ellington\ElliAn00,RB,25.265,ARI,,PHI,23,71,3.090,1,8,2014
15,Michael Vick\VickMi00,QB,34.122,NYJ,,BUF,8,69,8.630,0,8,2014
16,Justin Forsett\ForsJu00,RB,29.012,BAL,@,CIN,17,68,4.000,0,8,2014
17,Jamaal Charles\CharJa00,RB,27.303,KAN,,STL,14,67,4.790,2,8,2014
18,Marshawn Lynch\LyncMa00,RB,28.187,SEA,@,CAR,14,62,4.430,0,8,2014
19,Steven Jackson\JackSt00,RB,31.096,ATL,,DET,18,60,3.330,1,8,2014
20,Eddie Lacy\LacyEd00,RB,24.146,GNB,@,NOR,13,59,4.540,0,8,2014
21,Darren McFadden\McFaDa00,RB,27.060,OAK,@,CLE,12,59,4.920,0,8,2014
22,Knile Davis\DaviKn00,RB,23.021,KAN,,STL,16,49,3.060,1,8,2014
23,Blake Bortles\BortBl00,QB,22.181,JAX,,MIA,6,48,8.000,0,8,2014
24,Ryan Tannehill\TannRy00,QB,26.091,MIA,@,JAX,5,48,9.600,0,8,2014
25,Giovani Bernard\BernGi00,HB,22.338,CIN,,BAL,16,45,2.810,1,8,2014
26,Anthony Dixon\DixoAn00,RB,27.032,BUF,@,NYJ,22,44,2.000,0,8,2014
27,Chris Ivory\IvorCh00,RB,26.218,NYJ,,BUF,13,43,3.310,2,8,2014
28,Alfred Blue\BlueAl00,RB,23.182,HOU,@,TEN,14,42,3.000,0,8,2014
29,Joique Bell\BellJo01,RB,28.083,DET,@,ATL,14,39,2.790,0,8,2014
30,Branden Oliver\OlivBr01,RB,23.169,SDG,@,DEN,13,36,2.770,0,8,2014
31,Ahmad Bradshaw\BradAh00,RB,28.221,IND,@,PIT,6,35,5.830,1,8,2014
32,Bishop Sankey\SankBi00,RB,22.041,TEN,,HOU,9,35,3.890,0,8,2014
33,Russell Wilson\WilsRu00,QB,25.331,SEA,@,CAR,6,35,5.830,0,8,2014
34,Ka'Deem Carey\CareKa00,RB,21.361,CHI,@,NWE,6,33,5.500,0,8,2014
35,Tre Mason\MasoTr00,RB,21.081,STL,@,KAN,7,32,4.570,0,8,2014
36,Roy Helu\HeluRo00,RB,25.324,WAS,@,DAL,5,29,5.800,0,8,2014
37,Percy Harvin\HarvPe00,WR,26.151,NYJ,,BUF,4,28,7.000,0,8,2014
38,Bilal Powell\PoweBi00,RB,25.364,NYJ,,BUF,4,28,7.000,1,8,2014
39,Benny Cunningham\CunnBe01,RB,24.111,STL,@,KAN,4,27,6.750,0,8,2014
40,Doug Martin\MartDo00,RB,25.286,TAM,,MIN,10,27,2.700,0,8,2014
41,Mohamed Sanu\SanuMo00,WR,25.065,CIN,,BAL,2,27,13.500,0,8,2014
42,Lorenzo Taliaferro\TaliLo00,RB,22.307,BAL,@,CIN,7,27,3.860,2,8,2014
43,Andrew Luck\LuckAn00,QB,25.044,IND,@,PIT,3,26,8.670,0,8,2014
44,Ben Tate\TateBe00,RB,26.066,CLE,,OAK,15,26,1.730,1,8,2014
45,Jeremy Hill\HillJe01,HB,22.006,CIN,,BAL,10,25,2.500,0,8,2014
46,Bobby Rainey\RainBo00,RB,27.010,TAM,,MIN,8,25,3.130,0,8,2014
47,Cam Newton\NewtCa00,QB,25.168,CAR,,SEA,12,24,2.000,0,8,2014
48,Alex Smith\SmitAl03,QB,30.172,KAN,,STL,3,24,8.000,0,8,2014
49,Juwan Thompson\ThomJu01,RB,22.163,DEN,,SDG,7,24,3.430,2,8,2014
50,Joseph Randle\RandJo01,RB,22.302,DAL,,WAS,3,23,7.670,0,8,2014
51,Shane Vereen\VereSh00,RB,25.177,NWE,,CHI,5,22,4.400,0,8,2014
52,LeGarrette Blount\BlouLe00,RB,27.325,PIT,,IND,6,21,3.500,0,8,2014
53,Aaron Rodgers\RodgAa00,QB,30.328,GNB,@,NOR,2,21,10.500,1,8,2014
54,Daniel Thomas\ThomDa03,RB,26.362,MIA,@,JAX,4,18,4.500,0,8,2014
55,Philip Rivers\RivePh00,QB,32.319,SDG,@,DEN,1,17,17.000,0,8,2014
56,Zac Stacy\StacZa00,RB,23.200,STL,@,KAN,5,17,3.400,0,8,2014
57,James White\WhitJa02,RB,22.265,NWE,,CHI,6,17,2.830,0,8,2014
58,Colt McCoy\McCoCo00,QB,28.052,WAS,@,DAL,7,16,2.290,1,8,2014
59,Bryce Brown\BrowBr02,RB,23.165,BUF,@,NYJ,7,15,2.140,0,8,2014
60,Andy Dalton\DaltAn00,QB,26.362,CIN,,BAL,6,14,2.330,2,8,2014
61,Nick Foles\FoleNi00,QB,25.279,PHI,@,ARI,2,14,7.000,0,8,2014
62,Mike Glennon\GlenMi00,QB,24.318,TAM,,MIN,3,13,4.330,0,8,2014
63,Chris Polk\PolkCh00,RB,24.314,PHI,@,ARI,3,13,4.330,0,8,2014
64,Ryan Fitzpatrick\FitzRy00,QB,31.336,HOU,@,TEN,4,12,3.000,0,8,2014
65,Joe Flacco\FlacJo00,QB,29.283,BAL,@,CIN,2,12,6.000,0,8,2014
66,Christine Michael\MichCh00,RB,23.351,SEA,@,CAR,4,12,3.000,0,8,2014
67,Terrance West\WestTe00,RB,23.271,CLE,,OAK,7,11,1.570,0,8,2014
68,Toby Gerhart\GerhTo00,RB,27.212,JAX,,MIA,4,10,2.500,0,8,2014
69,Cordarrelle Patterson\PattCo00,WR,23.223,MIN,@,TAM,1,10,10.000,0,8,2014
70,Jordan Todman\TodmJo00,RB,24.244,JAX,,MIA,2,10,5.000,0,8,2014
71,Robert Turbin\TurbRo00,RB,24.328,SEA,@,CAR,2,10,5.000,0,8,2014
72,Chris Ogbonnaya\OgboCh00,RB,28.159,CAR,,SEA,1,9,9.000,0,8,2014
73,Matthew Stafford\StafMa00,QB,26.261,DET,@,ATL,3,9,3.000,0,8,2014
74,Ronnie Brown\BrowRo05,RB,32.315,SDG,@,DEN,1,8,8.000,0,8,2014
75,Maurice Jones-Drew\DrewMa00,RB,29.217,OAK,@,CLE,6,8,1.330,0,8,2014
76,Tavon Austin\AustTa00,WR,24.225,STL,@,KAN,2,7,3.500,0,8,2014
77,Travaris Cadet\CadeTr00,RB,25.267,NOR,,GNB,1,7,7.000,0,8,2014
78,Jonathan Grimes\GrimJo01,RB,24.309,HOU,@,TEN,2,7,3.500,0,8,2014
79,Chris Johnson\JohnCh04,RB,29.033,NYJ,,BUF,3,7,2.330,0,8,2014
80,Kenbrell Thompkins\ThomKe02,WR,26.089,OAK,@,CLE,1,7,7.000,0,8,2014
81,Drew Brees\BreeDr00,QB,35.284,NOR,,GNB,1,6,6.000,0,8,2014
82,Jay Cutler\CutlJa00,QB,31.180,CHI,@,NWE,1,6,6.000,0,8,2014
83,Lance Dunbar\DunbLa00,RB,24.275,DAL,,WAS,1,6,6.000,0,8,2014
84,Kyle Orton\OrtoKy00,QB,31.346,BUF,@,NYJ,2,6,3.000,0,8,2014
85,Matt Ryan\RyanMa00,QB,29.162,ATL,,DET,1,6,6.000,0,8,2014
86,Emmanuel Sanders\SandEm00,WR,27.220,DEN,,SDG,1,6,6.000,0,8,2014
87,Antonio Brown\BrowAn04,WR,26.108,PIT,,IND,1,5,5.000,0,8,2014
88,Jed Collins\CollJe01,FB,28.237,DET,@,ATL,2,5,2.500,0,8,2014
89,Devonta Freeman\FreeDe00,RB,22.225,ATL,,DET,3,5,1.670,0,8,2014
90,Silas Redd\ReddSi00,RB,22.240,WAS,@,DAL,1,5,5.000,0,8,2014
91,Theo Riddick\RiddTh00,RB,23.175,DET,@,ATL,3,5,1.670,0,8,2014
92,Antone Smith\SmitAn01,RB,29.039,ATL,,DET,3,5,1.670,0,8,2014
93,James Starks\StarJa00,RB,28.243,GNB,@,NOR,2,5,2.500,0,8,2014
