Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Le'Veon Bell\BellLe00,RB,24.227,2016-10-02,NFL,PIT,,KAN,W 43-14,4,4,Sun,18,144,8.00,0
2,Ezekiel Elliott\ElliEz00,RB,21.072,2016-10-02,NFL,DAL,@,SFO,W 24-17,4,4,Sun,23,138,6.00,1
3,Isaiah Crowell\CrowIs00,RB,23.268,2016-10-02,NFL,CLE,@,WAS,L 20-31,4,4,Sun,16,120,7.50,1
4,Matt Jones\JoneMa04,RB,23.209,2016-10-02,NFL,WAS,,CLE,W 31-20,4,4,Sun,22,117,5.32,1
5,Terrance West\WestTe00,RB,25.248,2016-10-02,NFL,BAL,,OAK,L 27-28,4,4,Sun,21,113,5.38,1
6,Jordan Howard\HowaJo00,RB,21.335,2016-10-02,NFL,CHI,,DET,W 17-14,4,4,Sun,23,111,4.83,0
7,DeMarco Murray\MurrDe00,RB,28.233,2016-10-02,NFL,TEN,@,HOU,L 20-27,4,4,Sun,25,95,3.80,2
8,Jerick McKinnon\McKiJe00,RB,24.153,2016-10-03,NFL,MIN,,NYG,W 24-10,4,4,Mon,18,85,4.72,1
9,David Johnson\JohnDa08,RB,24.291,2016-10-02,NFL,ARI,,LAR,L 13-17,4,4,Sun,17,83,4.88,0
10,Lamar Miller\MillLa01,RB,25.160,2016-10-02,NFL,HOU,,TEN,W 27-20,4,4,Sun,19,82,4.32,0
11,Spencer Ware\WareSp00,RB,24.314,2016-10-02,NFL,KAN,@,PIT,L 14-43,4,4,Sun,13,82,6.31,0
12,Carlos Hyde\HydeCa00,RB,26.012,2016-10-02,NFL,SFO,,DAL,L 17-24,4,4,Sun,15,74,4.93,1
13,Jeremy Hill\HillJe01,HB,23.345,2016-09-29,NFL,CIN,,MIA,W 22-7,4,4,Thu,21,71,3.38,0
14,T.J. Yeldon\YeldT.00,RB,23.000,2016-10-02,NFL,JAX,,IND,W 30-27,4,4,Sun,14,71,5.07,0
15,LeSean McCoy\McCoLe01,RB,28.082,2016-10-02,NFL,BUF,@,NWE,W 16-0,4,4,Sun,19,70,3.68,0
16,Frank Gore\GoreFr00,RB,33.141,2016-10-02,NFL,IND,@,JAX,L 27-30,4,4,Sun,16,68,4.25,1
17,Christine Michael\MichCh00,RB,25.328,2016-10-02,NFL,SEA,@,NYJ,W 27-17,4,4,Sun,18,58,3.22,0
18,Devonta Freeman\FreeDe00,RB,24.201,2016-10-02,NFL,ATL,,CAR,W 48-33,4,4,Sun,13,57,4.38,1
19,Mark Ingram\IngrMa01,RB,26.286,2016-10-02,NFL,NOR,@,SDG,W 35-34,4,4,Sun,18,56,3.11,1
20,LeGarrette Blount\BlouLe00,RB,29.302,2016-10-02,NFL,NWE,,BUF,L 0-16,4,4,Sun,13,54,4.15,0
21,C.J. Anderson\AndeC.00,RB,25.235,2016-10-02,NFL,DEN,@,TAM,W 27-7,4,4,Sun,19,49,2.58,1
22,Orleans Darkwa\DarkOr00,RB,24.218,2016-10-03,NFL,NYG,@,MIN,L 10-24,4,4,Mon,12,48,4.00,1
23,Duke Johnson\JohnDu00,RB,23.009,2016-10-02,NFL,CLE,@,WAS,L 20-31,4,4,Sun,8,45,5.63,0
24,Blake Bortles\BortBl00,QB,24.157,2016-10-02,NFL,JAX,,IND,W 30-27,4,4,Sun,7,36,5.14,1
25,Melvin Gordon\GordMe00,RB,23.172,2016-10-02,NFL,SDG,,NOR,L 34-35,4,4,Sun,19,36,1.89,2
26,Chris Johnson\JohnCh04,RB,31.009,2016-10-02,NFL,ARI,,LAR,L 13-17,4,4,Sun,6,34,5.67,0
27,Alfred Morris\MorrAl00,RB,27.295,2016-10-02,NFL,DAL,@,SFO,W 24-17,4,4,Sun,7,34,4.86,0
28,Jay Ajayi\AjayJa00,RB,23.106,2016-09-29,NFL,MIA,@,CIN,L 7-22,4,4,Thu,6,33,5.50,0
29,Todd Gurley\GurlTo01,HB,22.060,2016-10-02,NFL,LAR,@,ARI,W 17-13,4,4,Sun,19,33,1.74,0
30,Theo Riddick\RiddTh00,RB,25.151,2016-10-02,NFL,DET,@,CHI,L 14-17,4,4,Sun,11,31,2.82,0
31,Devontae Booker\BookDe00,RB,24.128,2016-10-02,NFL,DEN,@,TAM,W 27-7,4,4,Sun,7,30,4.29,0
32,Mike Gillislee\GillMi00,RB,25.336,2016-10-02,NFL,BUF,@,NWE,W 16-0,4,4,Sun,6,30,5.00,0
33,Cam Newton\NewtCa00,QB,27.144,2016-10-02,NFL,CAR,@,ATL,L 33-48,4,4,Sun,5,30,6.00,0
34,DeAndre Washington\WashDe00,RB,23.223,2016-10-02,NFL,OAK,@,BAL,W 28-27,4,4,Sun,5,30,6.00,0
35,Chris Ivory\IvorCh00,RB,28.194,2016-10-02,NFL,JAX,,IND,W 30-27,4,4,Sun,8,29,3.63,0
36,Charles Sims\SimsCh00,RB,26.013,2016-10-02,NFL,TAM,,DEN,L 7-27,4,4,Sun,15,28,1.87,0
37,Tyrod Taylor\TaylTy00,QB,27.060,2016-10-02,NFL,BUF,@,NWE,W 16-0,4,4,Sun,5,28,5.60,0
38,Matt Forte\FortMa00,RB,30.297,2016-10-02,NFL,NYJ,,SEA,L 17-27,4,4,Sun,14,27,1.93,0
