Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Mark Ingram\IngrMa01,RB,26.342,2016-11-27,NFL,NOR,,LAR,W 49-21,11,12,Sun,14,146,10.43,1
2,Le'Veon Bell\BellLe00,RB,24.280,2016-11-24,NFL,PIT,@,IND,W 28-7,11,12,Thu,23,120,5.22,1
3,Colin Kaepernick\KaepCo00,QB,29.024,2016-11-27,NFL,SFO,@,MIA,L 24-31,11,12,Sun,10,113,11.30,0
4,LeSean McCoy\McCoLe01,RB,28.138,2016-11-27,NFL,BUF,,JAX,W 28-21,11,12,Sun,19,103,5.42,2
5,Ezekiel Elliott\ElliEz00,RB,21.125,2016-11-24,NFL,DAL,,WAS,W 31-26,11,12,Thu,20,97,4.85,2
6,Jonathan Stewart\StewJo00,RB,29.251,2016-11-27,NFL,CAR,@,OAK,L 32-35,11,12,Sun,17,96,5.65,2
7,Doug Martin\MartDo00,RB,27.319,2016-11-27,NFL,TAM,,SEA,W 14-5,11,12,Sun,23,87,3.78,0
8,Jordan Howard\HowaJo00,RB,22.025,2016-11-27,NFL,CHI,,TEN,L 21-27,11,12,Sun,18,84,4.67,0
9,Blake Bortles\BortBl00,QB,24.213,2016-11-27,NFL,JAX,@,BUF,L 21-28,11,12,Sun,8,81,10.13,0
10,Russell Wilson\WilsRu00,QB,27.364,2016-11-27,NFL,SEA,@,TAM,L 5-14,11,12,Sun,8,80,10.00,0
11,Devontae Booker\BookDe00,RB,24.184,2016-11-27,NFL,DEN,,KAN,L 27-30,11,12,Sun,24,79,3.29,0
12,Melvin Gordon\GordMe00,RB,23.228,2016-11-27,NFL,SDG,@,HOU,W 21-13,11,12,Sun,17,70,4.12,0
13,LeGarrette Blount\BlouLe00,RB,29.358,2016-11-27,NFL,NWE,@,NYJ,W 22-17,11,12,Sun,11,67,6.09,0
14,Carlos Hyde\HydeCa00,RB,26.068,2016-11-27,NFL,SFO,@,MIA,L 24-31,11,12,Sun,13,65,5.00,0
15,Spencer Ware\WareSp00,RB,25.004,2016-11-27,NFL,KAN,@,DEN,W 30-27,11,12,Sun,17,64,3.76,0
16,Devonta Freeman\FreeDe00,RB,24.257,2016-11-27,NFL,ATL,,ARI,W 38-19,11,12,Sun,16,60,3.75,2
17,Derrick Henry\HenrDe00,RB,22.328,2016-11-27,NFL,TEN,@,CHI,W 27-21,12,12,Sun,8,60,7.50,1
18,David Johnson\JohnDa08,RB,24.347,2016-11-27,NFL,ARI,@,ATL,L 19-38,11,12,Sun,13,58,4.46,0
19,Lamar Miller\MillLa01,RB,25.216,2016-11-27,NFL,HOU,,SDG,L 13-21,11,12,Sun,19,57,3.00,0
