Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Mark Ingram\IngrMa01,RB,27.326,2017-11-12,NFL,NOR,@,BUF,W 47-10,9,10,Sun,21,131,6.24,3
2,Jonathan Stewart\StewJo00,RB,30.237,2017-11-13,NFL,CAR,,MIA,W 45-21,10,10,Mon,17,110,6.47,0
3,Alvin Kamara\KamaAl00,RB,22.110,2017-11-12,NFL,NOR,@,BUF,W 47-10,9,10,Sun,12,106,8.83,1
4,Carlos Hyde\HydeCa00,RB,27.053,2017-11-12,NFL,SFO,,NYG,W 31-21,10,10,Sun,17,98,5.76,0
5,Cam Newton\NewtCa00,QB,28.186,2017-11-13,NFL,CAR,,MIA,W 45-21,10,10,Mon,5,95,19.00,0
6,Isaiah Crowell\CrowIs00,RB,24.308,2017-11-12,NFL,CLE,@,DET,L 24-38,9,10,Sun,16,90,5.63,1
7,Tevin Coleman\ColeTe01,RB,24.210,2017-11-12,NFL,ATL,,DAL,W 27-7,9,10,Sun,20,83,4.15,1
8,Kenyan Drake\DrakKe00,RB,23.291,2017-11-13,NFL,MIA,@,CAR,L 21-45,9,10,Mon,7,82,11.71,1
9,Le'Veon Bell\BellLe00,RB,25.267,2017-11-12,NFL,PIT,@,IND,W 20-17,9,10,Sun,26,80,3.08,0
10,Orleans Darkwa\DarkOr00,RB,25.257,2017-11-12,NFL,NYG,@,SFO,L 21-31,9,10,Sun,14,70,5.00,0
11,Cameron Artis-Payne\ArtiCa00,RB,27.143,2017-11-13,NFL,CAR,,MIA,W 45-21,10,10,Mon,7,68,9.71,1
12,Todd Gurley\GurlTo01,RB,23.101,2017-11-12,NFL,LAR,,HOU,W 33-7,9,10,Sun,11,68,6.18,0
13,Latavius Murray\MurrLa00,RB,27.298,2017-11-12,NFL,MIN,@,WAS,W 38-30,9,10,Sun,17,68,4.00,1
14,Jamaal Williams\WillJa06,RB,22.223,2017-11-12,NFL,GNB,@,CHI,W 23-16,9,10,Sun,20,67,3.35,0
15,Lamar Miller\MillLa01,RB,26.201,2017-11-12,NFL,HOU,@,LAR,L 7-33,9,10,Sun,11,60,5.45,0
16,DeShone Kizer\KizeDe00,QB,21.313,2017-11-12,NFL,CLE,@,DET,L 24-38,9,10,Sun,7,57,8.14,1
17,Corey Grant\GranCo00,RB,25.328,2017-11-12,NFL,JAX,,LAC,W 20-17,9,10,Sun,1,56,56.00,1
18,Matt Breida\BreiMa00,RB,22.257,2017-11-12,NFL,SFO,,NYG,W 31-21,10,10,Sun,9,55,6.11,1
19,Dion Lewis\LewiDi00,RB,27.046,2017-11-12,NFL,NWE,@,DEN,W 41-16,9,10,Sun,14,55,3.93,1
20,C.J. Anderson\AndeC.00,RB,26.275,2017-11-12,NFL,DEN,,NWE,L 16-41,9,10,Sun,10,54,5.40,0
