1,Le'Veon Bell\BellLe00,RB,24.276,PIT,@,CLE,28,146,5.210,1,11,2016
2,Robert Kelley\KellRo00,RB,24.048,WAS,,GNB,24,137,5.710,3,11,2016
3,LeGarrette Blount\BlouLe00,RB,29.351,NWE,@,SFO,19,124,6.530,0,11,2016
4,Lamar Miller\MillLa01,RB,25.210,HOU,@,OAK,24,104,4.330,1,11,2016
5,David Johnson\JohnDa08,RB,24.340,ARI,@,MIN,22,103,4.680,1,11,2016
6,Ezekiel Elliott\ElliEz00,RB,21.121,DAL,,BAL,25,97,3.880,0,11,2016
7,Carlos Hyde\HydeCa00,RB,26.061,SFO,,NWE,19,86,4.530,0,11,2016
8,Rashad Jennings\JennRa00,RB,31.239,NYG,,CHI,21,85,4.050,1,11,2016
9,Jay Ajayi\AjayJa00,RB,23.158,MIA,@,LAR,16,77,4.810,0,11,2016
10,Jordan Howard\HowaJo00,RB,22.018,CHI,@,NYG,17,77,4.530,0,11,2016
11,Todd Gurley\GurlTo01,HB,22.109,LAR,,MIA,20,76,3.800,1,11,2016
12,C.J. Prosise\ProsC.00,RB,22.184,SEA,,PHI,4,76,19.000,1,11,2016
13,Mike Gillislee\GillMi00,RB,26.019,BUF,@,CIN,14,72,5.140,0,11,2016
14,DeMarco Murray\MurrDe00,RB,28.282,TEN,@,IND,21,70,3.330,0,11,2016
15,Tim Hightower\HighTi00,RB,30.178,NOR,@,CAR,12,69,5.750,0,11,2016
16,Spencer Ware\WareSp00,RB,24.363,KAN,,TAM,17,69,4.060,0,11,2016
17,Doug Martin\MartDo00,RB,27.312,TAM,@,KAN,24,63,2.630,0,11,2016
18,Jeremy Hill\HillJe01,HB,24.031,CIN,,BUF,16,62,3.880,0,11,2016
19,Thomas Rawls\RawlTh00,RB,23.109,SEA,,PHI,14,57,4.070,0,11,2016
20,Frank Gore\GoreFr00,RB,33.190,IND,,TEN,18,50,2.780,0,11,2016
21,Wendell Smallwood\SmalWe00,RB,22.296,PHI,@,SEA,13,48,3.690,0,11,2016
22,Jerick McKinnon\McKiJe00,RB,24.201,MIN,,ARI,16,44,2.750,0,11,2016
23,Terrance West\WestTe00,RB,25.297,BAL,@,DAL,8,42,5.250,1,11,2016
24,Kenneth Dixon\DixoKe00,RB,22.304,BAL,@,DAL,6,40,6.670,0,11,2016
25,Chris Ivory\IvorCh00,RB,28.243,JAX,@,DET,17,39,2.290,0,11,2016
26,Tyrod Taylor\TaylTy00,QB,27.109,BUF,@,CIN,9,39,4.330,0,11,2016
27,LeSean McCoy\McCoLe01,RB,28.131,BUF,@,CIN,5,33,6.600,1,11,2016
28,Latavius Murray\MurrLa00,RB,26.308,OAK,,HOU,12,33,2.750,0,11,2016
29,Aaron Rodgers\RodgAa00,QB,32.354,GNB,@,WAS,3,33,11.000,0,11,2016
30,Colin Kaepernick\KaepCo00,QB,29.017,SFO,,NWE,4,32,8.000,0,11,2016
31,Ryan Mathews\MathRy00,RB,29.041,PHI,@,SEA,7,31,4.430,0,11,2016
32,Jonathan Stewart\StewJo00,RB,29.241,CAR,,NOR,18,31,1.720,1,11,2016
33,Marcus Mariota\MariMa01,QB,23.021,TEN,@,IND,5,29,5.800,0,11,2016
34,Mark Ingram\IngrMa01,RB,26.332,NOR,@,CAR,7,28,4.000,0,11,2016
35,Jonathan Williams\WillJo07,RB,22.292,BUF,@,CIN,4,26,6.500,0,11,2016
36,James Starks\StarJa00,RB,30.269,GNB,@,WAS,9,25,2.780,0,11,2016
37,Dion Lewis\LewiDi00,RB,26.054,NWE,@,SFO,5,23,4.600,0,11,2016
38,Peyton Barber\BarbPe01,RB,22.267,TAM,@,KAN,4,22,5.500,0,11,2016
39,Andrew Luck\LuckAn00,QB,27.069,IND,,TEN,8,22,2.750,0,11,2016
40,Jameis Winston\WinsJa00,QB,22.319,TAM,@,KAN,5,22,4.400,0,11,2016
41,Giovani Bernard\BernGi00,HB,24.364,CIN,,BUF,7,21,3.000,0,11,2016
42,Andre Ellington\ElliAn00,RB,27.291,ARI,@,MIN,5,21,4.200,0,11,2016
43,Denard Robinson\RobiDe00,RB,26.059,JAX,@,DET,3,21,7.000,0,11,2016
44,Matt Asiata\AsiaMa00,RB,29.119,MIN,,ARI,5,20,4.000,1,11,2016
45,Brock Osweiler\OsweBr00,QB,25.365,HOU,@,OAK,2,19,9.500,0,11,2016
46,Ryan Tannehill\TannRy00,QB,28.116,MIA,@,LAR,2,19,9.500,0,11,2016
47,Russell Wilson\WilsRu00,QB,27.357,SEA,,PHI,8,19,2.380,0,11,2016
48,Kenjon Barner\BarnKe00,RB,26.206,PHI,@,SEA,3,17,5.670,0,11,2016
49,Ty Montgomery\MontTy01,WR,23.303,GNB,@,WAS,4,17,4.250,0,11,2016
50,Paul Perkins\PerkPa00,RB,22.004,NYG,,CHI,4,16,4.000,0,11,2016
51,Dak Prescott\PresDa01,QB,23.114,DAL,,BAL,2,16,8.000,0,11,2016
52,T.J. Yeldon\YeldT.00,RB,23.049,JAX,@,DET,4,16,4.000,0,11,2016
53,Darren Sproles\SproDa00,RB,33.153,PHI,@,SEA,2,15,7.500,0,11,2016
54,Ted Ginn\GinnTe00,WR,31.219,CAR,,NOR,1,13,13.000,0,11,2016
55,Theo Riddick\RiddTh00,RB,25.200,DET,,JAX,4,13,3.250,0,11,2016
56,Mike Wallace\WallMi00,WR,30.111,BAL,@,DAL,1,13,13.000,0,11,2016
57,Tom Brady\BradTo00,QB,39.109,NWE,@,SFO,4,12,3.000,0,11,2016
58,Julian Edelman\EdelJu00,WR,30.182,NWE,@,SFO,2,12,6.000,0,11,2016
59,Jared Goff\GoffJa00,QB,22.037,LAR,,MIA,4,11,2.750,0,11,2016
60,Percy Harvin\HarvPe00,WR,28.176,BUF,@,CIN,1,11,11.000,0,11,2016
61,Josh McCown\McCoJo01,QB,37.139,CLE,,PIT,2,11,5.500,0,11,2016
