1,Lamar Miller\MillLa01,RB,24.183,MIA,,HOU,14,175,12.500,1,7,2015
2,Darren McFadden\McFaDa00,RB,28.059,DAL,@,NYG,29,152,5.240,1,7,2015
3,Mark Ingram\IngrMa01,RB,25.308,NOR,@,IND,14,143,10.210,1,7,2015
4,Doug Martin\MartDo00,RB,26.285,TAM,@,WAS,19,136,7.160,0,7,2015
5,Todd Gurley\GurlTo01,RB,21.083,STL,,CLE,19,128,6.740,2,7,2015
6,Jonathan Stewart\StewJo00,RB,28.218,CAR,,PHI,24,125,5.210,0,7,2015
7,Chris Johnson\JohnCh04,RB,30.033,ARI,,BAL,18,122,6.780,1,7,2015
8,Marshawn Lynch\LyncMa00,RB,29.183,SEA,@,SFO,27,122,4.520,1,7,2015
9,Le'Veon Bell\BellLe00,RB,23.249,PIT,@,KAN,17,121,7.120,0,7,2015
10,Devonta Freeman\FreeDe00,RB,23.224,ATL,@,TEN,25,116,4.640,0,7,2015
11,T.J. Yeldon\YeldT.00,RB,22.023,JAX,,BUF,20,115,5.750,1,7,2015
12,Charcandrick West\WestCh01,RB,24.145,KAN,,PIT,22,110,5.000,1,7,2015
13,Adrian Peterson\PeteAd01,HB,30.218,MIN,@,DET,19,98,5.160,0,7,2015
14,Ryan Mathews\MathRy00,RB,28.015,PHI,@,CAR,6,97,16.170,1,7,2015
15,Latavius Murray\MurrLa00,RB,25.280,OAK,@,SDG,15,85,5.670,1,7,2015
16,LeSean McCoy\McCoLe01,RB,27.105,BUF,@,JAX,18,68,3.780,0,7,2015
17,DeMarco Murray\MurrDe00,RB,27.255,PHI,@,CAR,18,65,3.610,0,7,2015
18,Arian Foster\FostAr00,RB,29.062,HOU,@,MIA,18,59,3.280,1,7,2015
19,Antonio Andrews\AndrAn00,RB,23.069,TEN,,ATL,10,57,5.700,0,7,2015
20,Shane Vereen\VereSh00,RB,26.176,NYG,,DAL,4,56,14.000,0,7,2015
21,Charles Sims\SimsCh00,RB,25.036,TAM,@,WAS,10,49,4.900,0,7,2015
22,Orleans Darkwa\DarkOr00,RB,23.239,NYG,,DAL,8,48,6.000,1,7,2015
23,Jonas Gray\GrayJo00,RB,25.120,MIA,,HOU,12,48,4.000,0,7,2015
24,Ameer Abdullah\AbduAm00,RB,22.134,DET,,MIN,8,43,5.380,0,7,2015
25,Ted Ginn\GinnTe00,WR,30.196,CAR,,PHI,1,43,43.000,0,7,2015
26,Frank Gore\GoreFr00,RB,32.164,IND,,NOR,9,43,4.780,0,7,2015
27,Chris Ivory\IvorCh00,RB,27.217,NYJ,@,NWE,17,41,2.410,0,7,2015
28,Carlos Hyde\HydeCa00,RB,25.032,SFO,,SEA,11,40,3.640,0,7,2015
29,EJ Manuel\ManuEJ00,QB,25.220,BUF,@,JAX,8,38,4.750,0,7,2015
30,Justin Forsett\ForsJu00,RB,30.012,BAL,@,ARI,12,36,3.000,1,7,2015
31,Jerick McKinnon\McKiJe00,RB,23.175,MIN,@,DET,9,36,4.000,0,7,2015
32,Taiwan Jones\JoneTa00,RB,27.091,OAK,@,SDG,3,35,11.670,0,7,2015
33,Branden Oliver\OlivBr01,RB,24.171,SDG,,OAK,9,35,3.890,0,7,2015
34,Lucky Whitehead\WhitLu00,WR,23.145,DAL,@,NYG,4,35,8.750,0,7,2015
35,Thomas Rawls\RawlTh00,RB,22.080,SEA,@,SFO,6,32,5.330,0,7,2015
36,Robert Turbin\TurbRo00,RB,25.327,CLE,@,STL,5,30,6.000,0,7,2015
37,Ryan Fitzpatrick\FitzRy00,QB,32.335,NYJ,@,NWE,5,29,5.800,0,7,2015
38,Melvin Gordon\GordMe00,RB,22.195,SDG,,OAK,7,29,4.140,0,7,2015
39,Matt Jones\JoneMa04,RB,22.232,WAS,,TAM,9,29,3.220,0,7,2015
40,Khiry Robinson\RobiKh00,RB,25.301,NOR,@,IND,14,28,2.000,2,7,2015
41,Andrew Luck\LuckAn00,QB,26.043,IND,,NOR,3,27,9.000,0,7,2015
42,Danny Woodhead\WoodDa02,RB,30.273,SDG,,OAK,5,26,5.200,0,7,2015
43,Javorius Allen\AlleJa01,RB,24.060,BAL,@,ARI,3,25,8.330,0,7,2015
44,Joseph Randle\RandJo01,RB,23.300,DAL,@,NYG,2,24,12.000,0,7,2015
45,Tavon Austin\AustTa00,WR,25.224,STL,,CLE,1,21,21.000,0,7,2015
46,Joique Bell\BellJo01,RB,29.082,DET,,MIN,3,21,7.000,0,7,2015
47,Reggie Bush\BushRe00,RB,30.234,SFO,,SEA,4,21,5.250,0,7,2015
48,Andre Ellington\ElliAn00,RB,26.265,ARI,,BAL,5,21,4.200,0,7,2015
49,Josh McCown\McCoJo01,QB,36.113,CLE,@,STL,4,21,5.250,0,7,2015
50,Dexter McCluster\McClDe00,RB,26.061,TEN,,ATL,5,20,4.000,0,7,2015
51,Cam Newton\NewtCa00,QB,26.167,CAR,,PHI,4,20,5.000,1,7,2015
52,Russell Wilson\WilsRu00,QB,26.327,SEA,@,SFO,7,20,2.860,0,7,2015
53,Rashad Jennings\JennRa00,RB,30.213,NYG,,DAL,5,19,3.800,0,7,2015
54,Zac Stacy\StacZa00,RB,24.199,NYJ,@,NWE,7,19,2.710,0,7,2015
55,Damien Williams\WillDa05,RB,23.205,MIA,,HOU,4,19,4.750,0,7,2015
56,Christine Michael\MichCh00,RB,24.350,DAL,@,NYG,5,18,3.600,0,7,2015
57,Duke Johnson\JohnDu00,RB,22.032,CLE,@,STL,6,17,2.830,0,7,2015
58,C.J. Spiller\SpilC.00,RB,28.081,NOR,@,IND,4,16,4.000,0,7,2015
59,Mike Tolbert\TolbMi00,FB,29.336,CAR,,PHI,3,16,5.330,1,7,2015
60,Tom Brady\BradTo00,QB,38.083,NWE,,NYJ,4,15,3.750,1,7,2015
61,Kirk Cousins\CousKi00,QB,27.067,WAS,,TAM,3,15,5.000,1,7,2015
62,Tevin Coleman\ColeTe01,RB,22.192,ATL,@,TEN,3,14,4.670,0,7,2015
