Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,David Johnson\JohnDa08,RB,24.295,2016-10-06,NFL,ARI,@,SFO,W 33-21,5,5,Thu,27,157,5.81,2
2,LeSean McCoy\McCoLe01,RB,28.089,2016-10-09,NFL,BUF,@,LAR,W 30-19,5,5,Sun,18,150,8.33,0
3,Ezekiel Elliott\ElliEz00,RB,21.079,2016-10-09,NFL,DAL,,CIN,W 28-14,5,5,Sun,15,134,8.93,2
4,DeMarco Murray\MurrDe00,RB,28.240,2016-10-09,NFL,TEN,@,MIA,W 30-17,5,5,Sun,27,121,4.48,0
5,Jordan Howard\HowaJo00,RB,21.342,2016-10-09,NFL,CHI,@,IND,L 23-29,5,5,Sun,16,118,7.38,0
6,Jacquizz Rodgers\RodgJa00,RB,26.247,2016-10-10,NFL,TAM,@,CAR,W 17-14,5,5,Mon,30,101,3.37,0
7,Terrance West\WestTe00,RB,25.255,2016-10-09,NFL,BAL,,WAS,L 10-16,5,5,Sun,11,95,8.64,0
8,Devonta Freeman\FreeDe00,RB,24.208,2016-10-09,NFL,ATL,@,DEN,W 23-16,5,5,Sun,23,88,3.83,1
9,Cameron Artis-Payne\ArtiCa00,RB,26.109,2016-10-10,NFL,CAR,,TAM,L 14-17,5,5,Mon,18,85,4.72,2
10,Eddie Lacy\LacyEd00,RB,26.129,2016-10-09,NFL,GNB,,NYG,W 23-16,4,5,Sun,11,81,7.36,0
11,Carlos Hyde\HydeCa00,RB,26.016,2016-10-06,NFL,SFO,,ARI,L 21-33,5,5,Thu,22,78,3.55,1
12,Frank Gore\GoreFr00,RB,33.148,2016-10-09,NFL,IND,,CHI,W 29-23,5,5,Sun,14,75,5.36,0
13,Todd Gurley\GurlTo01,HB,22.067,2016-10-09,NFL,LAR,,BUF,L 19-30,5,5,Sun,23,72,3.13,1
14,Blaine Gabbert\GabbBl00,QB,26.357,2016-10-06,NFL,SFO,,ARI,L 21-33,5,5,Thu,10,70,7.00,1
15,Melvin Gordon\GordMe00,RB,23.179,2016-10-09,NFL,SDG,@,OAK,L 31-34,5,5,Sun,16,69,4.31,0
16,Le'Veon Bell\BellLe00,RB,24.234,2016-10-09,NFL,PIT,,NYJ,W 31-13,5,5,Sun,20,66,3.30,0
17,Marcus Mariota\MariMa01,QB,22.345,2016-10-09,NFL,TEN,@,MIA,W 30-17,5,5,Sun,7,60,8.57,1
18,Matt Asiata\AsiaMa00,RB,29.077,2016-10-09,NFL,MIN,,HOU,W 31-13,5,5,Sun,14,55,3.93,1
19,Derrick Henry\HenrDe00,RB,22.279,2016-10-09,NFL,TEN,@,MIA,W 30-17,5,5,Sun,7,54,7.71,0
20,Matt Forte\FortMa00,RB,30.304,2016-10-09,NFL,NYJ,@,PIT,L 13-31,5,5,Sun,12,53,4.42,0
21,Giovani Bernard\BernGi00,HB,24.322,2016-10-09,NFL,CIN,@,DAL,L 14-28,5,5,Sun,9,50,5.56,0
22,Theo Riddick\RiddTh00,RB,25.158,2016-10-09,NFL,DET,,PHI,W 24-23,5,5,Sun,11,49,4.45,0
23,Darren Sproles\SproDa00,RB,33.111,2016-10-09,NFL,PHI,@,DET,L 23-24,4,5,Sun,5,45,9.00,0
