Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Devonta Freeman\FreeDe00,RB,23.196,2015-09-27,NFL,ATL,@,DAL,W 39-28,3,3,Sun,30,141,4.70,3
2,Alfred Blue\BlueAl00,RB,24.153,2015-09-27,NFL,HOU,,TAM,W 19-9,3,3,Sun,31,139,4.48,1
3,Latavius Murray\MurrLa00,RB,25.252,2015-09-27,NFL,OAK,@,CLE,W 27-20,3,3,Sun,26,139,5.35,1
4,Adrian Peterson\PeteAd01,HB,30.190,2015-09-27,NFL,MIN,,SDG,W 31-14,3,3,Sun,20,126,6.30,2
5,Chris Johnson\JohnCh04,RB,30.004,2015-09-27,NFL,ARI,,SFO,W 47-7,3,3,Sun,22,110,5.00,2
6,Karlos Williams\WillKa01,RB,22.146,2015-09-27,NFL,BUF,@,MIA,W 41-14,3,3,Sun,12,110,9.17,1
7,Ryan Mathews\MathRy00,RB,27.352,2015-09-27,NFL,PHI,@,NYJ,W 24-17,3,3,Sun,24,108,4.50,0
8,Thomas Rawls\RawlTh00,RB,22.055,2015-09-27,NFL,SEA,,CHI,W 26-0,3,3,Sun,16,104,6.50,0
9,Joseph Randle\RandJo01,RB,23.272,2015-09-27,NFL,DAL,,ATL,L 28-39,3,3,Sun,14,87,6.21,3
10,Frank Gore\GoreFr00,RB,32.136,2015-09-27,NFL,IND,@,TEN,W 35-33,3,3,Sun,14,86,6.14,2
11,LeGarrette Blount\BlouLe00,RB,28.296,2015-09-27,NFL,NWE,,JAX,W 51-17,3,3,Sun,18,78,4.33,3
12,Matt Forte\FortMa00,RB,29.291,2015-09-27,NFL,CHI,@,SEA,L 0-26,3,3,Sun,20,74,3.70,0
13,Le'Veon Bell\BellLe00,RB,23.221,2015-09-27,NFL,PIT,@,STL,W 12-6,3,3,Sun,19,62,3.26,1
14,Jonathan Stewart\StewJo00,RB,28.190,2015-09-27,NFL,CAR,,NOR,W 27-22,3,3,Sun,14,52,3.71,0
15,Melvin Gordon\GordMe00,RB,22.167,2015-09-27,NFL,SDG,@,MIN,L 14-31,3,3,Sun,14,51,3.64,0
16,Carlos Hyde\HydeCa00,RB,25.007,2015-09-27,NFL,SFO,@,ARI,L 7-47,3,3,Sun,15,51,3.40,0
17,Mark Ingram\IngrMa01,RB,25.280,2015-09-27,NFL,NOR,@,CAR,L 22-27,3,3,Sun,14,50,3.57,1
18,Antonio Andrews\AndrAn00,RB,23.041,2015-09-27,NFL,TEN,,IND,L 33-35,3,3,Sun,12,49,4.08,1
19,Giovani Bernard\BernGi00,HB,23.309,2015-09-27,NFL,CIN,@,BAL,W 28-24,3,3,Sun,13,49,3.77,0
20,Jamaal Charles\CharJa00,RB,28.275,2015-09-28,NFL,KAN,@,GNB,L 28-38,3,3,Mon,11,49,4.45,3
21,Jonas Gray\GrayJo00,RB,25.092,2015-09-27,NFL,MIA,,BUF,L 14-41,3,3,Sun,9,49,5.44,0
22,Colin Kaepernick\KaepCo00,QB,27.328,2015-09-27,NFL,SFO,@,ARI,L 7-47,3,3,Sun,7,46,6.57,1
23,Eddie Lacy\LacyEd00,RB,25.118,2015-09-28,NFL,GNB,,KAN,W 38-28,3,3,Mon,10,46,4.60,0
24,Doug Martin\MartDo00,RB,26.257,2015-09-27,NFL,TAM,@,HOU,L 9-19,3,3,Sun,14,46,3.29,0
25,Matt Jones\JoneMa04,RB,22.201,2015-09-24,NFL,WAS,@,NYG,L 21-32,3,3,Thu,11,38,3.45,0
26,Lamar Miller\MillLa01,RB,24.155,2015-09-27,NFL,MIA,,BUF,L 14-41,3,3,Sun,7,38,5.43,0
27,Dion Lewis\LewiDi00,RB,25.000,2015-09-27,NFL,NWE,,JAX,W 51-17,3,3,Sun,8,37,4.63,1
28,Isaiah Crowell\CrowIs00,RB,22.262,2015-09-27,NFL,CLE,,OAK,L 20-27,3,3,Sun,10,36,3.60,0
29,Darren McFadden\McFaDa00,RB,28.031,2015-09-27,NFL,DAL,,ATL,L 28-39,3,3,Sun,6,35,5.83,1
30,Cam Newton\NewtCa00,QB,26.139,2015-09-27,NFL,CAR,,NOR,W 27-22,3,3,Sun,7,33,4.71,1
