58,Tevin Coleman\ColeTe01,RB,24.231,ATL,,MIN,8,22,2.750,0,13,2017
59,Senorise Perry\PerrSe00,RB,26.075,MIA,,DEN,5,22,4.400,0,13,2017
60,Theo Riddick\RiddTh00,RB,26.213,DET,@,BAL,9,21,2.330,1,13,2017
61,Aaron Jones\JoneAa00,RB,23.001,GNB,,TAM,1,20,20.000,1,13,2017
62,Elijah McGuire\McGuEl00,RB,23.185,NYJ,,KAN,5,20,4.000,0,13,2017
63,Andy Dalton\DaltAn00,QB,30.036,CIN,,PIT,2,19,9.500,0,13,2017
64,Austin Ekeler\EkelAu00,RB,22.200,LAC,,CLE,4,19,4.750,0,13,2017
65,Josh McCown\McCoJo01,QB,38.152,NYJ,,KAN,7,19,2.710,2,13,2017
66,Mitchell Trubisky\TrubMi00,QB,23.105,CHI,,SFO,4,19,4.750,0,13,2017
67,James White\WhitJa02,RB,25.303,NWE,@,BUF,5,18,3.600,0,13,2017
68,Jameis Winston\WinsJa00,QB,23.331,TAM,@,GNB,5,18,3.600,0,13,2017
69,Christian McCaffrey\McCaCh01,RB,21.179,CAR,@,NOR,6,16,2.670,0,13,2017
70,Trevor Siemian\SiemTr00,QB,25.342,DEN,@,MIA,3,16,5.330,0,13,2017
71,Charles Sims\SimsCh00,RB,27.075,TAM,@,GNB,3,16,5.330,0,13,2017
72,DeAndre Washington\WashDe00,RB,24.284,OAK,,NYG,6,16,2.670,1,13,2017
73,Geno Smith\SmitGe00,QB,27.054,NYG,@,OAK,3,13,4.330,0,13,2017
74,Jamaal Charles\CharJa00,RB,30.341,DEN,@,MIA,3,12,4.000,0,13,2017
75,James Conner\ConnJa00,RB,22.213,PIT,@,CIN,3,12,4.000,0,13,2017
76,Blaine Gabbert\GabbBl00,QB,28.049,ARI,,LAR,4,12,3.000,0,13,2017
77,Chris Ivory\IvorCh00,RB,29.256,JAX,,IND,4,12,3.000,0,13,2017
78,Byron Marshall\MarsBy01,RB,23.290,WAS,@,DAL,4,12,3.000,0,13,2017
79,Paul Perkins\PerkPa00,RB,23.017,NYG,@,OAK,3,12,4.000,0,13,2017
80,Wayne Gallman\GallWa00,RB,23.063,NYG,@,OAK,3,11,3.670,0,13,2017
81,Jamize Olawale\OlawJa00,FB,28.230,OAK,,NYG,1,9,9.000,0,13,2017
82,Nathan Peterman\PeteNa00,QB,23.213,BUF,,NWE,1,9,9.000,0,13,2017
83,Danny Woodhead\WoodDa02,RB,32.312,BAL,,DET,3,9,3.000,0,13,2017
84,Tavon Austin\AustTa00,WR,27.263,LAR,@,ARI,3,8,2.670,0,13,2017
85,Devontae Booker\BookDe00,RB,25.190,DEN,@,MIA,2,8,4.000,0,13,2017
86,Jimmy Garoppolo\GaroJi00,QB,26.031,SFO,@,CHI,4,8,2.000,0,13,2017
87,Robby Anderson\AndeRo04,WR,24.208,NYJ,,KAN,1,7,7.000,0,13,2017
88,Corey Clement\ClemCo00,RB,23.031,PHI,@,SEA,3,7,2.330,0,13,2017
